date,open,high,low,close,volume,empty
2025-05-09T00:00:00+0530,1049,1049,955,955,20,0
2025-06-24T00:00:00+0530,955,985,955,985,4,0
2025-06-25T00:00:00+0530,985.01,985.01,985.01,985.01,11,0
2025-06-26T00:00:00+0530,990,990,990,990,1,0
2025-06-27T00:00:00+0530,990,990,990,990,7,0
2025-07-01T00:00:00+0530,995,995,995,995,1,0
2025-07-02T00:00:00+0530,995,995,995,995,10,0
2025-07-07T00:00:00+0530,975.1,990,975.1,990,10,0
2025-07-08T00:00:00+0530,985.21,990,985.21,990,21,0
2025-07-10T00:00:00+0530,990,990,990,990,1,0
2025-07-11T00:00:00+0530,1000,1000,1000,1000,1,0
2025-07-14T00:00:00+0530,1000,1000,1000,1000,20,0
2025-07-16T00:00:00+0530,1000,1000,1000,1000,1,0
2025-07-17T00:00:00+0530,956,956,950,952.25,52,0
2025-07-22T00:00:00+0530,966,990,966,990,8,0
2025-07-23T00:00:00+0530,988,988,988,988,1,0
2025-07-25T00:00:00+0530,988,988,987,988,202,0
2025-07-28T00:00:00+0530,968.24,988,968.24,980,43,0
2025-07-29T00:00:00+0530,980,981,980,980.13,153,0
2025-08-06T00:00:00+0530,980.13,989.5,967,967,123,0
2025-08-11T00:00:00+0530,988,1020,988,1020,204,0
2025-08-13T00:00:00+0530,999.6,999.6,983,983,7,0
2025-08-19T00:00:00+0530,983,1010,983,1000.05,21,0
2025-08-20T00:00:00+0530,1000,1000,995,995,105,0
2025-08-21T00:00:00+0530,995,999,995,999,4,0
2025-08-22T00:00:00+0530,991.62,999,981,999,47,0
2025-08-25T00:00:00+0530,992.49,997,992.49,997,33,0
2025-08-26T00:00:00+0530,997,997,988.46,993.5,220,0
2025-08-28T00:00:00+0530,999,1000,992,992,35,0
2025-08-29T00:00:00+0530,967.2,967.2,967.2,967.2,3,0
2025-09-02T00:00:00+0530,985,992,985,990.25,8,0
2025-09-03T00:00:00+0530,999,999,999,999,20,0
2025-09-04T00:00:00+0530,999,999,980,980,200,0
