date,open,high,low,close,volume,empty
2023-12-29T00:00:00+0530,970,970,970,970,10,0
2024-01-01T00:00:00+0530,970,970,970,970,2,0
2024-02-22T00:00:00+0530,820,820,820,820,15,0
2024-03-14T00:00:00+0530,984,984,984,984,50,0
2024-03-26T00:00:00+0530,975,975,975,975,250,0
2024-03-28T00:00:00+0530,975,975,975,975,10,0
2024-04-23T00:00:00+0530,1170,1170,1170,1170,5,0
2024-07-03T00:00:00+0530,980,980,980,980,5,0
2024-07-09T00:00:00+0530,945,945,945,945,10,0
2024-08-26T00:00:00+0530,815.95,1000,815.95,1000,10,0
2024-09-23T00:00:00+0530,815.95,972.3,815.95,972.3,3,0
2024-11-26T00:00:00+0530,990,993.5,990,993.5,20,0
2024-12-18T00:00:00+0530,990,990,990,990,10,0
2025-01-03T00:00:00+0530,1188,1188,1188,1188,1,0
2025-01-22T00:00:00+0530,1188,1188,1188,1188,10,0
2025-03-17T00:00:00+0530,990,990,990,990,10,0
2025-03-18T00:00:00+0530,990,990,990,990,5,0
2025-03-20T00:00:00+0530,990,990,990,990,5,0
2025-04-22T00:00:00+0530,990,990,990,990,10,0
2025-04-28T00:00:00+0530,990,990,990,990,10,0
2025-05-12T00:00:00+0530,990,990,990,990,100,0
2025-06-11T00:00:00+0530,1000,1017.42,1000,1017.42,20,0
2025-06-12T00:00:00+0530,1017,1017,1017,1017,10,0
2025-06-27T00:00:00+0530,1017,1017,1017,1017,30,0
2025-07-04T00:00:00+0530,1017,1017,1017,1017,10,0
2025-07-18T00:00:00+0530,1016,1016,1016,1016,40,0
2025-07-22T00:00:00+0530,1013.39,1020,1013.39,1020,20,0
2025-07-31T00:00:00+0530,950,950,926.25,926.25,10,0
2025-08-05T00:00:00+0530,1021.11,1021.11,1021.11,1021.11,5,0
