date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,444.25,452.85,443.35,445.8,104408,0
2023-01-03T00:00:00+0530,445.5,450.95,438.15,443.75,150992,0
2023-01-04T00:00:00+0530,443.05,451.65,443,444.7,26268,0
2023-01-05T00:00:00+0530,444.55,451.3,437.25,447.45,214640,0
2023-01-06T00:00:00+0530,447.5,448.45,438.55,443.8,44176,0
2023-01-09T00:00:00+0530,446,448.75,442.25,445.25,50728,0
2023-01-10T00:00:00+0530,443.85,449.5,442,447.05,53320,0
2023-01-11T00:00:00+0530,446.35,448.75,435,439.55,130392,0
2023-01-12T00:00:00+0530,471.75,476.75,444.25,449.85,1192752,0
2023-01-13T00:00:00+0530,450,453.95,444.45,445.8,255844,0
2023-01-16T00:00:00+0530,448.35,467.15,448.35,457.8,363292,0
2023-01-17T00:00:00+0530,460.3,464.45,453.75,460,182212,0
2023-01-18T00:00:00+0530,462.5,467.35,460.35,466.4,133416,0
2023-01-19T00:00:00+0530,468.75,487.5,467.5,485,815380,0
2023-01-20T00:00:00+0530,487.5,487.5,470.2,480.55,1584360,0
2023-01-23T00:00:00+0530,487.5,490,477.75,487.5,292876,0
2023-01-24T00:00:00+0530,488.55,490,485.5,486.95,131064,0
2023-01-25T00:00:00+0530,487.45,487.45,472.5,479.5,102116,0
2023-01-27T00:00:00+0530,482.25,486.6,459.25,467.85,205488,0
2023-01-30T00:00:00+0530,425.5,466.45,425.5,461.2,231740,0
2023-01-31T00:00:00+0530,460.5,464.4,450,456.75,266776,0
2023-02-01T00:00:00+0530,456.8,481.95,456.8,472.95,287452,0
2023-02-02T00:00:00+0530,472,481.25,458.75,471.65,117468,0
2023-02-03T00:00:00+0530,472.8,477.75,471.2,474.8,110180,0
2023-02-06T00:00:00+0530,476.75,478,462.15,465.4,424848,0
2023-02-07T00:00:00+0530,465.25,487.25,455.25,459.95,230876,0
2023-02-08T00:00:00+0530,453.75,461.45,451.9,459.55,105324,0
2023-02-09T00:00:00+0530,460.25,462.75,455,456.15,87940,0
2023-02-10T00:00:00+0530,455.25,467.2,453.15,464.2,123908,0
2023-02-13T00:00:00+0530,464.2,465,460,463.15,25416,0
2023-02-14T00:00:00+0530,467.25,467.25,451.4,459.25,80644,0
2023-02-15T00:00:00+0530,462.5,464.95,458.45,459.75,54912,0
2023-02-16T00:00:00+0530,459.75,461.2,452.6,455.65,61792,0
2023-02-17T00:00:00+0530,464.7,466.4,452.25,453.3,82340,0
2023-02-20T00:00:00+0530,457.5,474.5,452.5,457.8,207400,0
2023-02-21T00:00:00+0530,462.2,462.2,448.25,453.2,150316,0
2023-02-22T00:00:00+0530,451.25,452.5,442.5,446.3,368868,0
2023-02-23T00:00:00+0530,446.05,449.7,445.05,446.35,280060,0
2023-02-24T00:00:00+0530,450,450,440.85,444.15,282816,0
2023-02-27T00:00:00+0530,446.25,448.45,439,444.9,216972,0
2023-02-28T00:00:00+0530,447.45,449.15,427,430.85,273736,0
2023-03-01T00:00:00+0530,432.6,444.75,425,443.3,269088,0
2023-03-02T00:00:00+0530,489.95,489.95,435.55,441.05,215418,0
2023-03-03T00:00:00+0530,443.95,450.55,440.1,446.8,98417,0
2023-03-06T00:00:00+0530,445,455,440.05,446.6,123558,0
2023-03-08T00:00:00+0530,446,450.2,440,442.3,104280,0
2023-03-09T00:00:00+0530,442,448.9,435,440.1,147189,0
2023-03-10T00:00:00+0530,430.1,446.8,430.1,442.4,160061,0
2023-03-13T00:00:00+0530,440,443.8,425.05,430.2,246586,0
2023-03-14T00:00:00+0530,430.2,440,420.25,423.65,149544,0
2023-03-15T00:00:00+0530,429,434.95,425.05,432.3,94911,0
2023-03-16T00:00:00+0530,432.25,439.4,427.65,433.1,151171,0
2023-03-17T00:00:00+0530,435,435,423.05,424.4,158085,0
2023-03-20T00:00:00+0530,425,440,415,417.95,118805,0
2023-03-21T00:00:00+0530,419,423.65,395.1,401.45,279207,0
2023-03-22T00:00:00+0530,401,435,398.05,428.7,402438,0
2023-03-23T00:00:00+0530,427,432.55,413.2,429.6,175154,0
2023-03-24T00:00:00+0530,422,434.85,419.95,429.1,138825,0
2023-03-27T00:00:00+0530,427,432.85,411.15,428.65,119069,0
2023-03-28T00:00:00+0530,428.55,437.95,422,435.95,182283,0
2023-03-29T00:00:00+0530,436.4,440,425.1,438.6,157615,0
2023-03-31T00:00:00+0530,405,434.9,404.95,430.7,456185,0
2023-04-03T00:00:00+0530,427,435.5,418.3,422,82023,0
2023-04-05T00:00:00+0530,422,435.65,421.45,428.45,126199,0
2023-04-06T00:00:00+0530,440,444.4,429,439.8,1336993,0
2023-04-10T00:00:00+0530,442.95,442.95,431,432.2,905345,0
2023-04-11T00:00:00+0530,435.15,435.15,423,425.6,251213,0
2023-04-12T00:00:00+0530,425.6,429.6,420.65,427.45,41227,0
2023-04-13T00:00:00+0530,428,433.5,427,428.15,41075,0
2023-04-17T00:00:00+0530,428.15,442.4,395.8,403.4,6070499,0
2023-04-18T00:00:00+0530,403.5,414.95,403.5,407.5,276773,0
2023-04-19T00:00:00+0530,411.3,417.85,403.65,415.1,534435,0
2023-04-20T00:00:00+0530,416,416.9,408.9,409.85,183907,0
2023-04-21T00:00:00+0530,409.85,412.2,404.25,407,146745,0
2023-04-24T00:00:00+0530,412.25,416.95,407,415.95,141834,0
2023-04-25T00:00:00+0530,415.95,418.75,412.9,415.9,259300,0
2023-04-26T00:00:00+0530,417.95,417.95,403.2,411.05,163583,0
2023-04-27T00:00:00+0530,414.7,416.9,410.3,415.45,75452,0
2023-04-28T00:00:00+0530,417,420.9,412,419.85,323783,0
2023-05-02T00:00:00+0530,423,423.9,412.6,418.3,176212,0
2023-05-03T00:00:00+0530,416,423.85,410.15,417.05,153987,0
2023-05-04T00:00:00+0530,421,422.35,416.75,420.25,267906,0
2023-05-05T00:00:00+0530,411,419.75,408,413.9,150641,0
2023-05-08T00:00:00+0530,418,418,405.1,406.35,113009,0
2023-05-09T00:00:00+0530,412,412,399.7,401.35,589981,0
2023-05-10T00:00:00+0530,405,409.2,401.55,406,63146,0
2023-05-11T00:00:00+0530,406.95,408.35,400.05,402.9,137885,0
2023-05-12T00:00:00+0530,402,415.5,401,409.05,144530,0
2023-05-15T00:00:00+0530,414.75,416.95,406.75,410.15,379895,0
2023-05-16T00:00:00+0530,414.25,414.8,398,402.65,295027,0
2023-05-17T00:00:00+0530,404.65,418,399.1,405.85,1543786,0
2023-05-18T00:00:00+0530,408.75,408.75,399.15,402.2,1159692,0
2023-05-19T00:00:00+0530,402.2,407.95,399.15,403.3,349082,0
2023-05-22T00:00:00+0530,403,411.45,401,404.2,256281,0
2023-05-23T00:00:00+0530,405.3,417,404.05,415.45,630668,0
2023-05-24T00:00:00+0530,411,420.6,409.4,412,892116,0
2023-05-25T00:00:00+0530,412,419.8,410,415.75,72409,0
2023-05-26T00:00:00+0530,415.8,419.3,413.2,416.2,141289,0
2023-05-29T00:00:00+0530,419.95,420.5,416.35,419.75,77997,0
2023-05-30T00:00:00+0530,419.75,422.05,416.7,419.25,334526,0
2023-05-31T00:00:00+0530,419.25,421.95,415,418.5,467224,0
2023-06-01T00:00:00+0530,419.1,425,418.2,419.9,755519,0
2023-06-02T00:00:00+0530,423.8,426,416.1,419.1,269471,0
2023-06-05T00:00:00+0530,422.95,424.95,415,421.55,2471395,0
2023-06-06T00:00:00+0530,422,433,416.1,418.45,255272,0
2023-06-07T00:00:00+0530,422.2,427.5,419.5,422.75,225170,0
2023-06-08T00:00:00+0530,422.75,425.5,420,421.9,502785,0
2023-06-09T00:00:00+0530,422.35,427.2,417.35,419.7,532079,0
2023-06-12T00:00:00+0530,420,424,417.35,421.3,496823,0
2023-06-13T00:00:00+0530,421.75,435,421.7,433.7,1505776,0
2023-06-14T00:00:00+0530,433.75,440,432.85,438.5,672876,0
2023-06-15T00:00:00+0530,440.95,444,437.3,439.45,281156,0
2023-06-16T00:00:00+0530,443.45,445.1,438.1,440.65,85836,0
2023-06-19T00:00:00+0530,441.15,446,439.7,441.2,108424,0
