date,open,high,low,close,volume,empty
2025-01-28T00:00:00+0530,93.25,93.25,93.25,93.25,100,0
2025-02-20T00:00:00+0530,94,94,94,94,100,0
2025-02-21T00:00:00+0530,94.22,94.22,94.22,94.22,100,0
2025-03-10T00:00:00+0530,94.51,94.51,94.51,94.51,100,0
2025-03-11T00:00:00+0530,94.53,94.53,94.53,94.53,100,0
2025-04-01T00:00:00+0530,94.95,94.95,94.95,94.95,110000,0
2025-04-02T00:00:00+0530,94.56,94.56,94.56,94.56,100,0
2025-04-03T00:00:00+0530,95,95,95,95,55000,0
2025-04-15T00:00:00+0530,95,95,94.7,94.7,600,0
2025-04-25T00:00:00+0530,95.43,95.43,95.43,95.43,400,0
2025-04-29T00:00:00+0530,95.43,95.43,95.43,95.43,200,0
2025-07-11T00:00:00+0530,96.89,96.89,96.89,96.89,300,0
2025-07-25T00:00:00+0530,96.89,96.89,96.89,96.89,700,0
2025-09-04T00:00:00+0530,97.33,97.33,97.33,97.33,100,0
