date,open,high,low,close,volume,empty
2023-01-03T00:00:00+0530,96.15,96.15,95.1,95.1,2198,0
2023-01-04T00:00:00+0530,95.1,95.1,95.1,95.1,100,0
2023-01-11T00:00:00+0530,92.75,96,92.75,95.9,5258,0
2023-01-17T00:00:00+0530,97.05,97.05,95.55,95.55,146,0
2023-01-19T00:00:00+0530,95.75,95.75,95.75,95.75,4,0
2023-01-23T00:00:00+0530,95.75,96,95.75,96,90,0
2023-01-24T00:00:00+0530,96,96,96,96,101,0
2023-02-02T00:00:00+0530,96.6,96.6,96.4,96.4,2,0
2023-02-06T00:00:00+0530,96.35,96.35,96.3,96.3,15,0
2023-02-07T00:00:00+0530,96.2,96.2,96.2,96.2,84,0
2023-02-13T00:00:00+0530,96.5,96.5,96.5,96.5,467,0
2023-02-14T00:00:00+0530,96.5,96.5,96.35,96.35,327,0
2023-02-15T00:00:00+0530,96.01,96.05,96,96,16,0
2023-02-16T00:00:00+0530,96.5,96.5,96.12,96.12,1226,0
2023-02-17T00:00:00+0530,96.12,96.4,96.12,96.4,1763,0
2023-02-20T00:00:00+0530,96.25,96.25,96.25,96.25,433,0
2023-02-27T00:00:00+0530,96.15,96.15,96.15,96.15,510,0
2023-02-28T00:00:00+0530,96.15,96.15,96.15,96.15,522,0
2023-03-01T00:00:00+0530,96.15,96.15,96.15,96.15,10,0
2023-03-02T00:00:00+0530,92.5,96,92.5,96,12,0
2023-03-03T00:00:00+0530,96,96,96,96,5,0
2023-03-08T00:00:00+0530,96,96,96,96,45,0
2023-03-09T00:00:00+0530,96.5,96.5,96.4,96.4,409,0
2023-03-10T00:00:00+0530,96.5,96.5,96.5,96.5,200,0
2023-03-14T00:00:00+0530,96,96,96,96,6,0
2023-03-16T00:00:00+0530,95,95,95,95,1873,0
2023-03-21T00:00:00+0530,94.5,94.5,94.5,94.5,4000,0
2023-03-24T00:00:00+0530,97.89,97.89,96.35,96.63,17,0
2023-03-28T00:00:00+0530,95,95,95,95,10,0
2023-03-31T00:00:00+0530,97.39,97.39,93.51,93.51,2,0
2023-04-03T00:00:00+0530,95.6,95.6,95.6,95.6,100,0
2023-04-05T00:00:00+0530,97.5,97.5,97.5,97.5,20000,0
2023-04-06T00:00:00+0530,97.5,97.5,97.5,97.5,1025,0
2023-04-10T00:00:00+0530,94.01,95.25,94.01,95.25,800,0
2023-04-19T00:00:00+0530,95.25,95.3,95.2,95.2,3002,0
2023-04-21T00:00:00+0530,96.25,96.25,96.25,96.25,2000,0
2023-04-24T00:00:00+0530,96.25,96.25,96.25,96.25,100,0
2023-04-26T00:00:00+0530,96.25,96.25,96.25,96.25,200,0
2023-04-27T00:00:00+0530,97.5,97.99,97.5,97.89,500,0
2023-04-28T00:00:00+0530,97.25,97.5,97.25,97.5,3603,0
2023-05-03T00:00:00+0530,96.01,96.01,95,95,10000,0
2023-05-08T00:00:00+0530,97.4,98.6,97.4,98.6,1263,0
2023-05-09T00:00:00+0530,98.59,98.59,96.52,97.81,7699,0
2023-05-10T00:00:00+0530,98.54,98.54,98.54,98.54,100,0
2023-05-12T00:00:00+0530,98.25,98.25,98,98.15,6974,0
2023-05-15T00:00:00+0530,96.6,103.05,96.6,103.05,2999,0
2023-05-24T00:00:00+0530,97.93,99,97.93,99,394,0
2023-05-26T00:00:00+0530,97.93,99,97.92,98.75,4601,0
2023-05-30T00:00:00+0530,99.64,99.64,99.64,99.64,501,0
2023-05-31T00:00:00+0530,99,99,99,99,1102,0
2023-06-01T00:00:00+0530,103.95,103.95,98.03,99.99,4,0
2023-06-05T00:00:00+0530,99.96,99.96,99.96,99.96,46,0
2023-06-06T00:00:00+0530,99,99.49,96.53,99.49,3497,0
2023-06-08T00:00:00+0530,99.87,99.87,99.4,99.64,1705,0
2023-06-09T00:00:00+0530,99.8,99.8,99,99.69,5349,0
2023-06-12T00:00:00+0530,97.2,104.67,97.2,99.74,105,0
2023-06-13T00:00:00+0530,99.74,99.74,99.74,99.74,51,0
2023-06-14T00:00:00+0530,104.72,104.72,100.7,100.7,22,0
2023-06-16T00:00:00+0530,99.99,99.99,98,98,507,0
2023-06-19T00:00:00+0530,98,98,96.99,96.99,565,0
2023-06-20T00:00:00+0530,96.99,96.99,96,96,625,0
2023-06-21T00:00:00+0530,96.5,96.5,96,96,547,0
2023-06-22T00:00:00+0530,96,96.49,94.21,95.99,2000,0
2023-06-23T00:00:00+0530,95.99,95.99,95.98,95.98,5451,0
2023-06-26T00:00:00+0530,95.97,95.97,95.97,95.97,130,0
2023-06-27T00:00:00+0530,95.96,95.96,93.76,95.96,172,0
2023-06-28T00:00:00+0530,95.95,95.95,95.94,95.95,406,0
2023-06-30T00:00:00+0530,93.65,96.15,93.65,95.8,1124,0
2023-07-03T00:00:00+0530,96.25,96.25,96.25,96.25,553,0
2023-07-04T00:00:00+0530,96.24,96.25,96,96.09,3352,0
2023-07-05T00:00:00+0530,96.35,96.35,95.95,95.95,218,0
2023-07-06T00:00:00+0530,95.84,95.84,95.74,95.74,1900,0
2023-07-07T00:00:00+0530,95.75,95.75,95.75,95.75,598,0
2023-07-10T00:00:00+0530,95.81,96,95.8,95.8,802,0
2023-07-11T00:00:00+0530,95.8,96,95.01,95.92,105899,0
2023-07-12T00:00:00+0530,96.03,96.2,96,96.1,48794,0
2023-07-13T00:00:00+0530,95.85,96.31,95.85,96.02,46013,0
2023-07-14T00:00:00+0530,96.3,96.5,96.3,96.3,9530,0
2023-07-17T00:00:00+0530,96.4,96.4,95.82,95.85,80115,0
2023-07-18T00:00:00+0530,95.75,96.7,95.75,96.25,85010,0
2023-07-19T00:00:00+0530,96.5,96.7,96.5,96.7,11,0
2023-07-20T00:00:00+0530,96.22,96.68,95.9,96.5,117615,0
2023-07-21T00:00:00+0530,96.7,96.7,96,96.45,17336,0
2023-07-24T00:00:00+0530,95,96.5,95,96.3,35529,0
2023-07-25T00:00:00+0530,96.39,97,96.3,96.9,124,0
2023-07-26T00:00:00+0530,96.9,96.9,96.5,96.5,31206,0
2023-07-27T00:00:00+0530,96.57,96.57,96.5,96.5,22,0
2023-07-28T00:00:00+0530,95.25,96.5,95.25,96.5,157,0
2023-07-31T00:00:00+0530,94.16,96.49,94.16,95.5,200,0
2023-08-01T00:00:00+0530,95.5,96.21,95.5,95.81,9396,0
2023-08-02T00:00:00+0530,93.55,97,93.55,95.5,314,0
2023-08-03T00:00:00+0530,96.33,96.33,95,96,527,0
2023-08-04T00:00:00+0530,96.59,96.6,96,96.59,80569,0
2023-08-07T00:00:00+0530,96.15,96.15,96.15,96.15,7,0
2023-08-08T00:00:00+0530,96.35,96.35,96.35,96.35,1041,0
2023-08-09T00:00:00+0530,92.85,96.8,92.85,96.55,13295,0
2023-08-10T00:00:00+0530,96.77,96.77,96.77,96.77,5263,0
2023-08-11T00:00:00+0530,96.44,96.45,96.44,96.45,1050,0
2023-08-14T00:00:00+0530,95.8,96.35,95.8,96.35,8,0
2023-08-16T00:00:00+0530,96.35,96.35,95.99,95.99,115,0
2023-08-17T00:00:00+0530,96,96,95.6,96,9653,0
2023-08-18T00:00:00+0530,96,96,96,96,501,0
2023-08-21T00:00:00+0530,94.28,97.69,94.28,96,347,0
2023-08-22T00:00:00+0530,96,96.01,96,96,120,0
2023-08-23T00:00:00+0530,97,97,96,96,557,0
2023-08-24T00:00:00+0530,96,97,96,97,62349,0
2023-08-25T00:00:00+0530,99.42,99.42,96,97,2001,0
2023-08-28T00:00:00+0530,94.58,98,94.58,96.25,5,0
2023-08-29T00:00:00+0530,96.25,96.25,96,96,1200,0
2023-08-30T00:00:00+0530,96,98,96,98,605,0
2023-08-31T00:00:00+0530,96.25,98,96.25,97,32,0
