date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,1068,1068,1068,1068,5,0
2023-01-03T00:00:00+0530,1066,1066,1066,1066,35,0
2023-01-04T00:00:00+0530,1068.99,1068.99,1068.99,1068.99,25,0
2023-01-09T00:00:00+0530,1050,1063.79,1050,1057.28,1039,0
2023-01-10T00:00:00+0530,1057.28,1059.99,1047.21,1059.99,90,0
2023-01-12T00:00:00+0530,1050.21,1062.99,1050.15,1051.61,891,0
2023-01-18T00:00:00+0530,1047.21,1047.21,1047.21,1047.21,20,0
2023-01-23T00:00:00+0530,1063,1063,1063,1063,50,0
2023-01-24T00:00:00+0530,1063,1063,1063,1063,25,0
2023-01-27T00:00:00+0530,1065,1065,1065,1065,250,0
2023-01-30T00:00:00+0530,1048.41,1051.01,1048.41,1051.01,924,0
2023-01-31T00:00:00+0530,1052.17,1052.17,1052.17,1052.17,100,0
2023-02-02T00:00:00+0530,1051.11,1051.11,1051.11,1051.11,424,0
2023-02-06T00:00:00+0530,1076.19,1076.19,1076.19,1076.19,5,0
2023-02-07T00:00:00+0530,1055.5,1055.5,1054,1054,841,0
2023-02-08T00:00:00+0530,1050,1055.1,1047,1054.21,692,0
2023-02-09T00:00:00+0530,1054,1055,1054,1055,160,0
2023-02-10T00:00:00+0530,1078.79,1078.79,1051.15,1069.99,1842,0
2023-02-15T00:00:00+0530,1069.99,1074.59,1069.99,1074.59,1060,0
2023-02-16T00:00:00+0530,1074.54,1074.54,1074.54,1074.54,75,0
2023-02-21T00:00:00+0530,1069.99,1069.99,1069.99,1069.99,10,0
2023-02-22T00:00:00+0530,1067.94,1067.94,1067.94,1067.94,5,0
2023-02-24T00:00:00+0530,1067,1067,1067,1067,100,0
2023-02-27T00:00:00+0530,1070.11,1070.11,1067,1067,1135,0
2023-03-03T00:00:00+0530,1060,1074.59,1060,1074.59,81,0
2023-03-09T00:00:00+0530,1056,1056,1056,1056,79,0
2023-03-10T00:00:00+0530,1070,1070,1069.99,1069.99,40,0
2023-03-14T00:00:00+0530,1065,1065,1065,1065,40,0
2023-03-20T00:00:00+0530,1065,1065,1062,1062,1650,0
2023-03-23T00:00:00+0530,1062,1062,1062,1062,100,0
2023-03-24T00:00:00+0530,1075,1093.95,1061.2,1061.2,101,0
2023-03-27T00:00:00+0530,1061.2,1062.5,1061,1061.56,433,0
2023-03-28T00:00:00+0530,1063,1063,1063,1063,45,0
2023-03-29T00:00:00+0530,1056.65,1065,1056.65,1062.99,1148,0
2023-03-31T00:00:00+0530,1067,1067,1064,1064,260,0
2023-04-05T00:00:00+0530,1058.11,1070,1058.11,1070,303,0
2023-04-10T00:00:00+0530,1057.11,1070,1056,1068.36,5000,0
2023-04-11T00:00:00+0530,1068.51,1072.06,1068.5,1072.05,1220,0
2023-04-13T00:00:00+0530,1074.64,1074.79,1074.64,1074.66,900,0
2023-04-18T00:00:00+0530,1061.5,1061.5,1061.5,1061.5,791,0
2023-04-20T00:00:00+0530,1079.99,1079.99,1079.99,1079.99,5,0
2023-04-27T00:00:00+0530,1071,1071,1071,1071,79,0
2023-05-02T00:00:00+0530,1074,1075,1072.3,1073.46,322,0
2023-05-03T00:00:00+0530,1072.1,1072.1,1070,1071.07,935,0
2023-05-05T00:00:00+0530,1072,1079.79,1072,1079.79,285,0
2023-05-09T00:00:00+0530,1073,1074.69,1071.01,1074.5,586,0
2023-05-11T00:00:00+0530,1074,1074,1074,1074,42,0
