date,open,high,low,close,volume,empty
2023-01-17T00:00:00+0530,1194.1,1225.5,1194,1225.5,1838,0
2023-03-29T00:00:00+0530,1190,1190,1190,1190,1225,0
2023-05-15T00:00:00+0530,1428,1428,1428,1428,15,0
2023-06-12T00:00:00+0530,1426,1426,1426,1426,200,0
2023-06-13T00:00:00+0530,1426,1426,1426,1426,30,0
2023-06-16T00:00:00+0530,1426,1426,1426,1426,45,0
2023-06-19T00:00:00+0530,1426,1426,1426,1426,45,0
2023-06-20T00:00:00+0530,1426,1426,1426,1426,45,0
2023-07-13T00:00:00+0530,1260,1260,1260,1260,1,0
2023-08-14T00:00:00+0530,1011.5,1016.1,1011.5,1016.1,200,0
2023-09-01T00:00:00+0530,1051.1,1051.1,1051.1,1051.1,128,0
2024-01-08T00:00:00+0530,1000.1,1000.1,1000.1,1000.1,103,0
2024-01-20T00:00:00+0530,1175,1175,1175,1175,9,0
2024-02-02T00:00:00+0530,1410,1410,1410,1410,2,0
2024-02-05T00:00:00+0530,1691.9,1691.9,1691.79,1691.79,27,0
2024-02-20T00:00:00+0530,1356,1356,1356,1356,30,0
2024-02-21T00:00:00+0530,1310,1310,1310,1310,15,0
2024-02-22T00:00:00+0530,1196.3,1196.3,1196.3,1196.3,1,0
2024-02-23T00:00:00+0530,1196.6,1196.6,1196.6,1196.6,1,0
2024-02-28T00:00:00+0530,1310,1310,1310,1310,15,0
2024-02-29T00:00:00+0530,1310,1310,1310,1310,15,0
2024-03-04T00:00:00+0530,1310,1310,1310,1310,15,0
2024-03-05T00:00:00+0530,1050.2,1050.2,1050.2,1050.2,3,0
2024-03-12T00:00:00+0530,1213,1213,1213,1213,9,0
2024-03-15T00:00:00+0530,1455,1455,1455,1455,1,0
2024-03-18T00:00:00+0530,1165,1165,1165,1165,1,0
2024-03-26T00:00:00+0530,1230,1230,1230,1230,6,0
2024-03-28T00:00:00+0530,1300,1300,1300,1300,1,0
2024-04-04T00:00:00+0530,1300,1300,1300,1300,89,0
2024-04-08T00:00:00+0530,1300,1300,1300,1300,90,0
2024-04-12T00:00:00+0530,1040.2,1040.2,1040.2,1040.2,501,0
2024-06-03T00:00:00+0530,1242,1242,1242,1242,45,0
2024-06-05T00:00:00+0530,1260,1260,1260,1260,45,0
2024-06-06T00:00:00+0530,1260,1260,1260,1260,90,0
2024-06-11T00:00:00+0530,1300,1512,1300,1512,91,0
2024-06-12T00:00:00+0530,1300,1300,1300,1300,90,0
2024-06-13T00:00:00+0530,1300,1300,1300,1300,90,0
2024-06-19T00:00:00+0530,1310,1310,1310,1310,90,0
2024-07-24T00:00:00+0530,1050.3,1050.3,1050.3,1050.3,1,0
2024-08-14T00:00:00+0530,1135,1135,1135,1135,1000,0
2024-08-20T00:00:00+0530,1207,1207,1207,1207,363,0
2024-09-20T00:00:00+0530,1221,1221,1221,1221,103,0
2024-09-24T00:00:00+0530,1145,1221,1145,1221,6240,0
2024-10-28T00:00:00+0530,1165,1167,1165,1165,2166,0
2024-11-21T00:00:00+0530,1167,1167,1167,1167,1229,0
2025-01-08T00:00:00+0530,1170,1170,1170,1170,225,0
2025-01-13T00:00:00+0530,1170.01,1170.01,1170.01,1170.01,100,0
2025-04-16T00:00:00+0530,1187,1187,1186,1186,400,0
2025-04-21T00:00:00+0530,1170,1170,1170,1170,675,0
