date,open,high,low,close,volume,empty
2024-04-04T00:00:00+0530,103,103,103,103,100,0
2024-04-18T00:00:00+0530,100,100,97.85,97.85,800,0
2024-04-22T00:00:00+0530,99,99,99,99,100,0
2024-04-24T00:00:00+0530,97,97,97,97,200,0
2024-05-02T00:00:00+0530,97,97,97,97,100,0
2024-05-15T00:00:00+0530,97,97,97,97,10,0
2024-05-17T00:00:00+0530,97,97,97,97,90,0
2024-07-22T00:00:00+0530,101.85,101.85,101.85,101.85,1000,0
2024-07-30T00:00:00+0530,103,103,102.05,102.05,2000,0
2024-09-13T00:00:00+0530,99,99,99,99,900,0
2024-09-16T00:00:00+0530,103.9,103.9,103.9,103.9,50,0
2024-09-20T00:00:00+0530,100.9,100.9,100.9,100.9,10,0
2024-09-23T00:00:00+0530,100,100,97,97,1090,0
2024-09-25T00:00:00+0530,100.5,100.5,100.5,100.5,101,0
2024-09-26T00:00:00+0530,101,101,101,101,839,0
2024-10-01T00:00:00+0530,100,100,100,100,100,0
2025-02-28T00:00:00+0530,100,100,100,100,100,0
2025-04-08T00:00:00+0530,103,103,103,103,1090,0
2025-05-23T00:00:00+0530,98,98,98,98,100,0
