date,open,high,low,close,volume,empty
2023-06-01T00:00:00+0530,102,102,102,102,100,0
2023-07-07T00:00:00+0530,96.9,96.9,96.9,96.9,600,0
2023-07-12T00:00:00+0530,96.9,96.9,96.9,96.9,1000,0
2023-07-25T00:00:00+0530,92.05,92.05,92.05,92.05,1000,0
2023-08-03T00:00:00+0530,92.5,92.5,92.5,92.5,800,0
2023-08-10T00:00:00+0530,97,97,97,97,300,0
2023-09-06T00:00:00+0530,97,97,97,97,300,0
2023-09-26T00:00:00+0530,97,97,97,97,800,0
2023-11-10T00:00:00+0530,92.15,92.15,92.15,92.15,100,0
2024-01-03T00:00:00+0530,96.75,96.75,96.75,96.75,2000,0
2024-01-08T00:00:00+0530,92,92.5,92,92.5,2000,0
2024-08-21T00:00:00+0530,92.4,92.4,92.4,92.4,1000,0
