date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,1195,1195,1195,1195,1,0
2023-01-03T00:00:00+0530,1197,1198,1185,1188.5,1235,0
2023-01-04T00:00:00+0530,1185.5,1195.99,1185.5,1188.4,3119,0
2023-01-05T00:00:00+0530,1191.05,1193.5,1188.5,1191.5,1450,0
2023-01-06T00:00:00+0530,1190.01,1191,1189.9,1191,3540,0
2023-01-09T00:00:00+0530,1191.01,1192,1191,1191.18,230,0
2023-01-10T00:00:00+0530,1194,1217,1191.82,1193.33,1673,0
2023-01-11T00:00:00+0530,1197,1197,1192,1192.1,2226,0
2023-01-12T00:00:00+0530,1191.25,1194,1191.25,1193.88,1582,0
2023-01-13T00:00:00+0530,1190,1194,1190,1194,620,0
2023-01-16T00:00:00+0530,1195,1195,1194,1195,215,0
2023-01-17T00:00:00+0530,1195,1195,1195,1195,340,0
2023-01-18T00:00:00+0530,1195,1195,1194,1194,350,0
2023-01-19T00:00:00+0530,1196,1196,1196,1196,200,0
2023-01-20T00:00:00+0530,1198.9,1205,1198.08,1202.98,1003,0
2023-01-23T00:00:00+0530,1200,1200,1199.9,1199.98,604,0
2023-01-24T00:00:00+0530,1199,1199.99,1195,1195.46,3371,0
2023-01-25T00:00:00+0530,1195.5,1198,1195.5,1196.5,898,0
2023-01-27T00:00:00+0530,1198,1199.93,1196.56,1196.89,1313,0
2023-01-30T00:00:00+0530,1197.01,1197.01,1195,1195,3301,0
2023-01-31T00:00:00+0530,1198,1205.5,1195.2,1203.27,4671,0
2023-02-01T00:00:00+0530,1204,1205,1197,1198.48,968,0
2023-02-02T00:00:00+0530,1203.5,1205.97,1197,1197.16,576,0
2023-02-03T00:00:00+0530,1196.02,1201.98,1196,1199.19,494,0
2023-02-06T00:00:00+0530,1206.8,1206.9,1197.45,1199.61,13,0
2023-02-07T00:00:00+0530,1207,1208,1197.84,1205.04,697,0
2023-02-08T00:00:00+0530,1197.84,1197.84,1197.08,1197.08,300,0
2023-02-09T00:00:00+0530,1197,1197,1195,1195.24,161,0
2023-02-10T00:00:00+0530,1206.69,1206.69,1206.66,1206.66,51,0
2023-02-13T00:00:00+0530,1198,1208.95,1198,1204.38,523,0
2023-02-14T00:00:00+0530,1198.3,1201,1198.1,1200.01,1710,0
2023-02-15T00:00:00+0530,1200,1200,1200,1200,200,0
2023-02-16T00:00:00+0530,1199.99,1201.9,1198,1200.78,624,0
2023-02-17T00:00:00+0530,1202,1202,1197,1197.76,1545,0
2023-02-20T00:00:00+0530,1200,1200,1197.1,1198,1575,0
2023-02-21T00:00:00+0530,1198,1198,1195,1195,1151,0
2023-02-22T00:00:00+0530,1195,1197,1195,1197,1402,0
2023-02-23T00:00:00+0530,1197,1197,1195.01,1196.13,322,0
2023-02-24T00:00:00+0530,1196,1196.25,1191.6,1193.22,1156,0
2023-02-27T00:00:00+0530,1193.22,1197.5,1193.22,1195.03,2250,0
2023-02-28T00:00:00+0530,1195,1197,1194.99,1194.99,500,0
2023-03-01T00:00:00+0530,1198,1201,1197,1199.75,2463,0
2023-03-02T00:00:00+0530,1201.05,1203,1201,1201.65,1410,0
2023-03-03T00:00:00+0530,1199.9,1205,1199.9,1204.9,364,0
2023-03-06T00:00:00+0530,1204.9,1204.9,1204.9,1204.9,300,0
2023-03-08T00:00:00+0530,1204.8,1211,1204.8,1210.02,2882,0
2023-03-09T00:00:00+0530,1203.11,1210,1203.11,1209.99,1784,0
2023-03-10T00:00:00+0530,1210,1210,1203,1203.27,1587,0
2023-03-13T00:00:00+0530,1205,1205,1201.7,1204.99,2140,0
2023-03-14T00:00:00+0530,1202,1204.99,1201.05,1202.51,1314,0
2023-03-15T00:00:00+0530,1196.6,1200,1196.6,1198.5,294,0
2023-03-16T00:00:00+0530,1198.1,1200,1195,1197.18,1102,0
2023-03-17T00:00:00+0530,1183,1183,1125.5,1127.67,1792,0
2023-03-20T00:00:00+0530,1127.49,1127.5,1124.5,1124.5,900,0
2023-03-21T00:00:00+0530,1124.9,1127.34,1124.9,1126.03,10303,0
2023-03-22T00:00:00+0530,1121,1125,1120.1,1122,480,0
2023-03-23T00:00:00+0530,1124.4,1124.4,1115,1117.94,160,0
2023-03-24T00:00:00+0530,1117.94,1120,1117.94,1120,204,0
2023-03-27T00:00:00+0530,1090,1122.99,1090,1121.52,4414,0
2023-03-28T00:00:00+0530,1124,1124,1116.31,1122,1865,0
2023-03-29T00:00:00+0530,1125,1128,1125,1126.97,554,0
2023-03-31T00:00:00+0530,1121.35,1140,1121.35,1135,1830,0
2023-04-03T00:00:00+0530,1130,1130,1122,1124.01,1400,0
2023-04-05T00:00:00+0530,1123,1123,1118.5,1122.28,1409,0
2023-04-06T00:00:00+0530,1121.01,1125,1121,1124.85,6139,0
2023-04-10T00:00:00+0530,1125.3,1127,1124.85,1125,3180,0
