date,open,high,low,close,volume,empty
2023-12-14T00:00:00+0530,100,100,100,100,100,0
2023-12-19T00:00:00+0530,95,95,95,95,100,0
2023-12-20T00:00:00+0530,97,97,96,96,900,0
2024-02-06T00:00:00+0530,96,96,96,96,100,0
2024-02-08T00:00:00+0530,95,95,95,95,100,0
2024-02-14T00:00:00+0530,94,94,94,94,100,0
2024-02-23T00:00:00+0530,92,92,92,92,100,0
2024-03-07T00:00:00+0530,96,96,96,96,200,0
2024-04-12T00:00:00+0530,97,99,97,99,400,0
2024-06-06T00:00:00+0530,99,99,99,99,1100,0
2025-04-22T00:00:00+0530,99,99,99,99,200,0
2025-06-10T00:00:00+0530,101.65,101.65,101.65,101.65,500,0
