date,open,high,low,close,volume,empty
2023-12-15T00:00:00+0530,95,95,95,95,1000,0
2024-01-12T00:00:00+0530,95,95,95,95,100,0
2024-02-26T00:00:00+0530,99.75,99.75,99.75,99.75,100,0
2024-03-19T00:00:00+0530,99,99,99,99,100,0
2024-03-20T00:00:00+0530,99.1,99.1,99.1,99.1,100,0
2024-04-02T00:00:00+0530,99.1,100.05,99.1,100.05,200,0
2024-04-03T00:00:00+0530,100.1,100.1,100.1,100.1,600,0
2024-04-05T00:00:00+0530,100.15,100.15,100.15,100.15,100,0
2024-04-09T00:00:00+0530,96,96,96,96,100,0
2024-07-05T00:00:00+0530,93,93,93,93,100,0
2024-07-09T00:00:00+0530,97.65,97.65,97.65,97.65,100,0
2024-07-10T00:00:00+0530,97.88,97.88,97.88,97.88,1000,0
2024-07-19T00:00:00+0530,99.9,99.9,99.9,99.9,100,0
2024-08-05T00:00:00+0530,99.9,99.9,99.9,99.9,100,0
2024-08-14T00:00:00+0530,99.9,99.9,99.9,99.9,100,0
2024-08-21T00:00:00+0530,99.9,99.9,99.9,99.9,100,0
2025-04-07T00:00:00+0530,99.9,99.9,99.9,99.9,3800,0
2025-05-08T00:00:00+0530,104.89,104.89,104.89,104.89,4300,0
