date,open,high,low,close,volume,empty
2024-03-19T00:00:00+0530,99,99,99,99,100,0
2024-03-20T00:00:00+0530,99,99.1,99,99.1,200,0
2024-03-21T00:00:00+0530,99.99,99.99,99.99,99.99,200,0
2024-03-22T00:00:00+0530,100.09,100.09,100.09,100.09,100,0
2024-03-26T00:00:00+0530,100.15,100.15,100.15,100.15,100,0
2024-03-28T00:00:00+0530,100.2,100.35,100.2,100.35,300,0
2024-04-02T00:00:00+0530,100.37,100.4,100.37,100.4,300,0
2024-04-15T00:00:00+0530,100.2,100.2,100.2,100.2,100,0
2024-04-19T00:00:00+0530,100.2,100.2,100.2,100.2,100,0
2024-07-10T00:00:00+0530,98.4,98.4,98.4,98.4,1000,0
2024-08-16T00:00:00+0530,94,99,94,99,200,0
2025-01-10T00:00:00+0530,99,99,99,99,100,0
2025-02-28T00:00:00+0530,99,99,99,99,100,0
2025-06-25T00:00:00+0530,100.3,100.3,100.3,100.3,100,0
2025-06-26T00:00:00+0530,100.3,100.3,100.3,100.3,100,0
2025-07-30T00:00:00+0530,99.15,99.15,99.15,99.15,300,0
2025-08-04T00:00:00+0530,96.1,96.1,96.1,96.1,300,0
