date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,310,310,309.5,309.99,7087,0
2023-01-03T00:00:00+0530,309.51,310.42,309.51,309.93,7370,0
2023-01-04T00:00:00+0530,310.54,310.54,309.55,310.14,386,0
2023-01-05T00:00:00+0530,310,310.25,309.55,310,3568,0
2023-01-06T00:00:00+0530,309.8,310.35,309.8,310.19,9065,0
2023-01-09T00:00:00+0530,311,311,310.19,310.4,3731,0
2023-01-10T00:00:00+0530,310.4,310.99,310.39,310.99,1207,0
2023-01-11T00:00:00+0530,310.22,310.99,309.92,310.98,14145,0
2023-01-12T00:00:00+0530,311,311,310.01,310.98,3089,0
2023-01-13T00:00:00+0530,312,312,310.25,310.98,1482,0
2023-01-16T00:00:00+0530,310.25,311.5,310.25,311.4,11837,0
2023-01-17T00:00:00+0530,311.4,311.85,310.44,311.14,10244,0
2023-01-18T00:00:00+0530,311.14,313,311.01,311.01,1066,0
2023-01-19T00:00:00+0530,310.55,311.45,310.55,310.82,736,0
2023-01-20T00:00:00+0530,310.9,311,310.9,310.92,441,0
2023-01-23T00:00:00+0530,312.5,312.5,311,311.74,914,0
2023-01-24T00:00:00+0530,311.25,311.74,311.25,311.26,228,0
2023-01-25T00:00:00+0530,311.05,312.25,311.05,311.65,1361,0
2023-01-27T00:00:00+0530,312.1,312.1,310.81,311.02,2245,0
2023-01-30T00:00:00+0530,310.8,313.75,310.8,310.82,766,0
2023-01-31T00:00:00+0530,310.58,313.69,310.58,311.06,366,0
2023-02-01T00:00:00+0530,311,312,311,311.12,1365,0
2023-02-02T00:00:00+0530,311.1,313.49,311.1,311.15,311,0
2023-02-03T00:00:00+0530,311.13,312.05,311.13,311.9,2559,0
2023-02-06T00:00:00+0530,311.16,312.25,311,311.21,2532,0
2023-02-07T00:00:00+0530,310.65,312,310.65,311.95,1081,0
2023-02-08T00:00:00+0530,310.58,311.95,310.58,311.91,4837,0
2023-02-09T00:00:00+0530,311.11,313.45,311.11,311.5,233,0
2023-02-10T00:00:00+0530,312,312.85,311.14,311.2,1865,0
2023-02-13T00:00:00+0530,313.75,313.75,311.01,312.3,4070,0
2023-02-14T00:00:00+0530,312.4,313.25,312.4,313.1,6100,0
2023-02-15T00:00:00+0530,312.5,312.95,312.22,312.22,1120,0
2023-02-16T00:00:00+0530,314,314,314,314,4,0
2023-02-17T00:00:00+0530,312.01,313.49,312.01,313.49,339,0
2023-02-20T00:00:00+0530,313.49,313.49,312.75,313.23,2981,0
2023-02-21T00:00:00+0530,312.03,313.14,312.03,312.15,992,0
2023-02-22T00:00:00+0530,312.5,312.51,312.2,312.2,909,0
2023-02-23T00:00:00+0530,312.02,312.79,311,311.74,1426,0
2023-02-24T00:00:00+0530,311.5,312.99,311,312.5,619,0
2023-02-27T00:00:00+0530,313.19,313.19,311.51,312.01,1163,0
2023-02-28T00:00:00+0530,314,314,308,310.63,829,0
2023-03-01T00:00:00+0530,310.64,312.99,310.64,311.08,254,0
2023-03-02T00:00:00+0530,311.11,313.39,311.1,313,1481,0
2023-03-03T00:00:00+0530,313.56,313.65,311.31,312.02,12112,0
2023-03-06T00:00:00+0530,312.02,313.45,312.02,313.35,441,0
2023-03-08T00:00:00+0530,312,313.34,312,313,4466,0
2023-03-09T00:00:00+0530,312,313.45,312,313.45,250,0
2023-03-10T00:00:00+0530,311.15,313.49,311.15,313.49,273,0
2023-03-13T00:00:00+0530,314,314,311.3,311.63,365,0
2023-03-14T00:00:00+0530,311.45,314,311.45,311.62,411,0
2023-03-15T00:00:00+0530,310.51,312,310.51,311.28,579,0
2023-03-16T00:00:00+0530,311.28,313.95,311,313.53,360,0
2023-03-17T00:00:00+0530,313.5,313.96,313.5,313.56,3161,0
2023-03-20T00:00:00+0530,313,313,312.21,312.81,2076,0
2023-03-21T00:00:00+0530,312,313.05,312,312.71,9854,0
2023-03-22T00:00:00+0530,312.52,315,312.52,314,2395,0
2023-03-23T00:00:00+0530,310.35,313,310.35,312.71,794,0
2023-03-24T00:00:00+0530,312.2,313.5,312.2,313.5,3777,0
2023-03-27T00:00:00+0530,311.07,313.5,311.07,311.89,9137,0
2023-03-28T00:00:00+0530,310.1,312,310.1,311.02,5574,0
2023-03-29T00:00:00+0530,313,313,311,311,338,0
2023-03-31T00:00:00+0530,310.5,315.75,310.5,311.95,434,0
2023-04-03T00:00:00+0530,318.79,318.79,313,314,378,0
2023-04-05T00:00:00+0530,311,313.75,311,313.7,588,0
2023-04-06T00:00:00+0530,310.5,314,310.5,312.8,253,0
2023-04-10T00:00:00+0530,309.99,309.99,301.27,305.06,6199,0
2023-04-11T00:00:00+0530,305,305.98,303.4,305.84,1676,0
2023-04-12T00:00:00+0530,306.49,306.49,305.11,306.28,1319,0
2023-04-13T00:00:00+0530,309.99,309.99,304.01,305.16,1009,0
2023-04-17T00:00:00+0530,305.16,311,305,308.94,13730,0
2023-04-18T00:00:00+0530,305.1,308,305.1,306.46,1954,0
2023-04-19T00:00:00+0530,306,309.87,306,306.11,8309,0
2023-04-20T00:00:00+0530,306.11,308.25,306.11,306.32,9016,0
2023-04-21T00:00:00+0530,306.51,306.98,304.5,306.14,12865,0
2023-04-24T00:00:00+0530,305.99,305.99,304.3,304.94,3356,0
2023-04-25T00:00:00+0530,304.94,305.7,304.94,305.7,4563,0
2023-04-26T00:00:00+0530,305.4,308,305.4,307.99,2926,0
2023-04-27T00:00:00+0530,308,308,305.25,306.02,152,0
2023-04-28T00:00:00+0530,308.7,308.7,306.02,306.72,905,0
2023-05-02T00:00:00+0530,307,308,303,307.64,873,0
2023-05-03T00:00:00+0530,306,307.99,305.4,307.9,3069,0
2023-05-04T00:00:00+0530,305.5,308,305.5,307.5,2757,0
2023-05-05T00:00:00+0530,308,308,308,308,18690,0
2023-05-08T00:00:00+0530,301.1,309,301.1,309,1011,0
2023-05-09T00:00:00+0530,302,309,302,308,11002,0
2023-05-10T00:00:00+0530,308.2,308.5,307,307.13,4736,0
2023-05-11T00:00:00+0530,305.5,308,305.5,306.98,11793,0
2023-05-12T00:00:00+0530,306.25,307.65,306.25,307,4253,0
2023-05-15T00:00:00+0530,307.01,307.25,306.81,307,15495,0
2023-05-16T00:00:00+0530,307.1,307.6,306.82,307.3,5292,0
2023-05-17T00:00:00+0530,307.2,307.45,307,307.37,7120,0
2023-05-18T00:00:00+0530,307.6,307.6,307,307.52,929,0
2023-05-19T00:00:00+0530,307.85,307.85,307.02,307.6,931,0
2023-05-22T00:00:00+0530,307.99,307.99,307.35,307.65,2728,0
2023-05-23T00:00:00+0530,307.74,307.75,307.01,307.41,7019,0
2023-05-24T00:00:00+0530,308,308,307.11,307.15,6894,0
2023-05-25T00:00:00+0530,307.15,308.25,307.11,307.87,8995,0
2023-05-26T00:00:00+0530,307.1,308.34,307.1,307.99,17538,0
2023-05-29T00:00:00+0530,307.98,309,307.4,307.6,1223,0
2023-05-30T00:00:00+0530,307.8,308.75,307.62,308.74,765,0
2023-05-31T00:00:00+0530,308.65,308.98,307.8,308.61,331,0
2023-06-01T00:00:00+0530,308.1,308.8,308.1,308.65,6028,0
2023-06-02T00:00:00+0530,308.45,309,308.16,308.5,1732,0
2023-06-05T00:00:00+0530,308.2,308.7,308,308.3,5518,0
2023-06-06T00:00:00+0530,308.5,309,308.5,309,1106,0
2023-06-07T00:00:00+0530,309,309,307.95,308.3,2209,0
2023-06-08T00:00:00+0530,309.95,309.95,308.21,308.86,3705,0
2023-06-09T00:00:00+0530,308.86,309.9,308.23,309.45,1012,0
2023-06-12T00:00:00+0530,313.89,313.89,308.6,312.58,49,0
2023-06-13T00:00:00+0530,310,310.5,309.1,309.97,5246,0
2023-06-14T00:00:00+0530,312,312,309.2,311.49,403,0
2023-06-15T00:00:00+0530,309.7,310.2,309.7,310.08,541,0
2023-06-16T00:00:00+0530,309.81,311.85,309.81,310.5,2471,0
2023-06-19T00:00:00+0530,310.5,311,309,309,4100,0
2023-06-20T00:00:00+0530,309.25,310.5,309.25,310.5,344,0
2023-06-21T00:00:00+0530,310.5,310.5,309.35,309.82,2219,0
2023-06-22T00:00:00+0530,310.5,310.5,309.21,309.55,490,0
2023-06-23T00:00:00+0530,310.5,310.5,309.23,310,4479,0
2023-06-26T00:00:00+0530,309.51,310.9,308.53,309.34,3354,0
2023-06-27T00:00:00+0530,310,310,309.15,309.5,893,0
2023-06-28T00:00:00+0530,310.9,313.98,309.61,309.99,2842,0
2023-06-30T00:00:00+0530,306,311,306,311,258,0
2023-07-03T00:00:00+0530,309.22,310.85,309.22,310.5,827,0
2023-07-04T00:00:00+0530,310.5,310.5,309.23,310.01,486,0
2023-07-05T00:00:00+0530,310.5,310.5,310.01,310.02,20,0
2023-07-06T00:00:00+0530,310.02,311.2,309.5,311.2,104,0
2023-07-07T00:00:00+0530,311.78,311.78,310.1,310.26,627,0
2023-07-10T00:00:00+0530,309.62,312,309.62,309.9,324,0
2023-07-11T00:00:00+0530,309.01,314.8,309.01,310.5,1366,0
2023-07-13T00:00:00+0530,310.5,314.5,310.5,311.09,3240,0
