date,open,high,low,close,volume,empty
2023-01-03T00:00:00+0530,1350,1350,1350,1350,1,0
2023-02-01T00:00:00+0530,1460,1460,1460,1460,1,0
2023-03-02T00:00:00+0530,1238,1238,1238,1238,4,0
2023-03-06T00:00:00+0530,1245,1245,1245,1245,1,0
2023-03-21T00:00:00+0530,1245,1245,1245,1245,10,0
2023-04-05T00:00:00+0530,1300,1300,1300,1300,1,0
2023-04-20T00:00:00+0530,1200,1200,1200,1200,5,0
2023-06-15T00:00:00+0530,1155.1,1155.1,1155,1155.01,1769,0
2023-06-16T00:00:00+0530,1159,1162,1159,1159.05,353,0
2023-08-11T00:00:00+0530,1150,1155,1150,1155,6759,0
2024-01-02T00:00:00+0530,1383,1383.99,1382.85,1382.86,466,0
2024-01-03T00:00:00+0530,1382.86,1382.86,1380.45,1380.45,16,0
2024-01-05T00:00:00+0530,1380,1380,1369.99,1369.99,109,0
2024-01-10T00:00:00+0530,1368.99,1368.99,1367.99,1367.99,27,0
2024-01-11T00:00:00+0530,1367.99,1367.99,1367.99,1367.99,1,0
2024-01-15T00:00:00+0530,1367.99,1367.99,1354.99,1354.99,9,0
2024-01-16T00:00:00+0530,1354.99,1354.99,1354.99,1354.99,1,0
2024-01-18T00:00:00+0530,1354.99,1354.99,1342.05,1342.05,2,0
2024-01-24T00:00:00+0530,1193,1195,1193,1194,2,0
2024-01-29T00:00:00+0530,1193,1193,1193,1193,20,0
2024-01-31T00:00:00+0530,1193,1197,1193,1197,7,0
2024-02-05T00:00:00+0530,1200,1206,1200,1206,12,0
2024-02-06T00:00:00+0530,1210,1210,1210,1210,1250,0
2024-02-12T00:00:00+0530,1432,1432,1211.01,1427.75,52,0
2024-02-13T00:00:00+0530,1429,1429,1400,1400,78,0
2024-02-15T00:00:00+0530,1400,1400,1201.1,1268.8,201,0
2024-02-16T00:00:00+0530,1268.8,1268.8,1200.1,1200.1,20,0
2024-02-19T00:00:00+0530,1201.1,1201.1,1201.1,1201.1,3,0
2024-02-22T00:00:00+0530,1206.25,1214,1206.25,1206.7,120,0
2024-03-04T00:00:00+0530,1288.8,1288.8,1207,1207,2,0
2024-03-06T00:00:00+0530,1207,1207,1207,1207,3,0
2024-03-18T00:00:00+0530,1207,1207,1207,1207,1,0
2024-03-21T00:00:00+0530,1207,1207,1128,1128,24,0
2024-03-22T00:00:00+0530,1128,1128,1128,1128,3,0
2024-05-02T00:00:00+0530,1352.9,1352.9,1128,1128,2,0
2024-05-03T00:00:00+0530,1075.6,1075.6,1075.6,1075.6,1,0
2024-05-14T00:00:00+0530,1075.7,1075.7,1075.7,1075.7,43,0
2024-06-07T00:00:00+0530,1135,1135,1135,1135,10,0
2024-06-28T00:00:00+0530,1140,1140,1140,1140,4000,0
2024-10-08T00:00:00+0530,1140,1140,1140,1140,2,0
2024-10-23T00:00:00+0530,1151.33,1151.33,1151.33,1151.33,1000,0
2024-11-04T00:00:00+0530,1200,1200,1200,1200,5,0
2024-11-06T00:00:00+0530,1439,1439,1438,1438,37,0
2024-11-18T00:00:00+0530,1200,1200,1200,1200,5,0
2024-11-21T00:00:00+0530,1200,1200,1200,1200,1611,0
2024-11-22T00:00:00+0530,1200,1200,1200,1200,5,0
2024-11-26T00:00:00+0530,1439.9,1439.9,1439.9,1439.9,1,0
2024-12-05T00:00:00+0530,1151.92,1151.92,1151.92,1151.92,4,0
2024-12-06T00:00:00+0530,1152,1169,1152,1152,1397,0
2024-12-12T00:00:00+0530,1153.01,1153.01,1153.01,1153.01,2,0
2024-12-13T00:00:00+0530,1381.07,1381.07,1381.07,1381.07,2,0
2025-01-03T00:00:00+0530,1380,1380,1380,1380,136,0
2025-03-17T00:00:00+0530,1104,1104,1104,1104,15,0
2025-05-07T00:00:00+0530,1095.1,1096.12,1095.1,1096.12,600,0
2025-05-19T00:00:00+0530,1096.12,1098,1096.12,1098,800,0
2025-06-11T00:00:00+0530,1101.1,1101.1,1101.1,1101.1,1,0
2025-06-12T00:00:00+0530,1101.1,1101.1,1101.1,1101.1,303,0
