date,open,high,low,close,volume,empty
2024-02-02T00:00:00+0530,999.25,999.25,990,997.67,259465,0
2024-02-05T00:00:00+0530,980,998.25,980,998,385248,0
2024-02-08T00:00:00+0530,997,997,997,997,200,0
2024-02-09T00:00:00+0530,997.5,997.55,997,997,461,0
2024-02-13T00:00:00+0530,999,999,999,999,10,0
2024-02-16T00:00:00+0530,996.25,996.25,996.25,996.25,889,0
2024-06-05T00:00:00+0530,965,965,965,965,150,0
2024-07-10T00:00:00+0530,993,993,993,993,3,0
2024-08-14T00:00:00+0530,1010,1010,1010,1010,150,0
2024-11-11T00:00:00+0530,1021,1021,1021,1021,100,0
2025-02-18T00:00:00+0530,1000,1000,1000,1000,20,0
2025-02-20T00:00:00+0530,1000,1000,1000,1000,25,0
2025-03-24T00:00:00+0530,1039,1039,1039,1039,2,0
2025-04-22T00:00:00+0530,1000,1001,1000,1001,6,0
2025-04-30T00:00:00+0530,1012.25,1012.25,1012.25,1012.25,10,0
2025-05-15T00:00:00+0530,1001,1001,1001,1001,35,0
2025-05-29T00:00:00+0530,1003,1003,1003,1003,2,0
2025-06-25T00:00:00+0530,1001,1001,1001,1001,80,0
