date,open,high,low,close,volume,empty
2023-01-03T00:00:00+0530,6500,6500,6500,6500,1,0
2023-01-04T00:00:00+0530,6410,6410,6410,6410,5,0
2023-01-31T00:00:00+0530,6500,6500,6500,6500,4,0
2023-02-10T00:00:00+0530,6444.1,6444.1,6444,6444.04,5,0
2023-02-13T00:00:00+0530,6440.1,6440.1,6432,6433.31,49,0
2023-02-14T00:00:00+0530,6433,6433,6433,6433,57,0
2023-02-15T00:00:00+0530,6434,6434,6434,6434,11,0
2023-03-08T00:00:00+0530,6540,6540,6540,6540,2,0
2023-03-17T00:00:00+0530,6560,6560,6560,6560,5,0
2023-03-27T00:00:00+0530,6590,6600,6590,6600,50,0
2023-04-11T00:00:00+0530,6660,6670,6660,6665,9,0
2023-04-12T00:00:00+0530,6660,6660,6660,6660,6,0
2023-04-25T00:00:00+0530,6450,6450,6450,6450,1,0
2023-05-04T00:00:00+0530,6580,6580,6580,6580,49,0
2023-07-06T00:00:00+0530,6660,6660,6660,6660,6,0
2023-07-31T00:00:00+0530,6720,6720,6720,6720,4,0
2023-08-02T00:00:00+0530,6700,6700,6700,6700,1,0
2023-09-06T00:00:00+0530,6820,6820.1,6820,6820.1,9,0
2023-09-07T00:00:00+0530,6820,6820,6820,6820,9,0
2023-09-08T00:00:00+0530,6821,6821,6821,6821,4,0
2023-09-13T00:00:00+0530,6822,6822,6822,6822,5,0
2023-09-14T00:00:00+0530,6822,6822,6822,6822,4,0
2024-01-11T00:00:00+0530,6800,6800,6800,6800,1,0
2024-01-20T00:00:00+0530,6365,6365,6365,6365,100,0
2024-02-01T00:00:00+0530,6405.89,6405.89,6405.89,6405.89,722,0
2024-02-06T00:00:00+0530,6500,6500,6500,6500,9,0
2024-02-07T00:00:00+0530,6500,6500,6500,6500,4,0
2024-02-08T00:00:00+0530,6500,6500,6325.5,6325.5,9000,0
2024-02-13T00:00:00+0530,6420,6420,6420,6420,75,0
2024-02-14T00:00:00+0530,6500,6500,6500,6500,5,0
2024-02-16T00:00:00+0530,6450,6450,6450,6450,16,0
2024-02-19T00:00:00+0530,6450.2,6450.2,6450.2,6450.2,3,0
2024-02-21T00:00:00+0530,6415,6415,6415,6415,10,0
2024-03-01T00:00:00+0530,6550,6550,6550,6550,5,0
2024-05-02T00:00:00+0530,6580,6580,6580,6580,10,0
2024-05-03T00:00:00+0530,5271.1,5271.1,5271.1,5271.1,5,0
2024-05-07T00:00:00+0530,6325,6325,6325,6325,3,0
2024-05-10T00:00:00+0530,5150,5150,5149,5149,57,0
2024-05-24T00:00:00+0530,5900,5900,5900,5900,1,0
2024-06-13T00:00:00+0530,6610,6660,6610,6660,10,0
2024-06-14T00:00:00+0530,6710,6710,6710,6710,2,0
2024-06-24T00:00:00+0530,6520,6520,6520,6520,2,0
2024-06-26T00:00:00+0530,6500,6500,6500,6500,2,0
2024-06-28T00:00:00+0530,6450,6450,6450,6450,882,0
2024-07-02T00:00:00+0530,6535,6535,6525,6525,150,0
2024-08-05T00:00:00+0530,6710,6770,6710,6770,8,0
2024-09-20T00:00:00+0530,6825,6825,6825,6825,3,0
2024-11-12T00:00:00+0530,6572.48,6572.48,6572.48,6572.48,400,0
2025-02-10T00:00:00+0530,6400,6400,6400,6400,10,0
2025-05-23T00:00:00+0530,6177.1,6177.1,6177.1,6177.1,23,0
2025-06-02T00:00:00+0530,6499,6499,6499,6499,1,0
2025-07-25T00:00:00+0530,6350,6350,6350,6350,1,0
2025-07-31T00:00:00+0530,6292.1,6295.1,6292.1,6295.1,160,0
2025-08-04T00:00:00+0530,6330,6414,6293.33,6293.33,54,0
2025-08-21T00:00:00+0530,6550,6550,6550,6550,1,0
