date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,1197,1197,1182.98,1182.98,10,0
2023-01-03T00:00:00+0530,1197,1197,1178.1,1178.1,382,0
2023-01-04T00:00:00+0530,1178.1,1182,1178,1178,460,0
2023-01-05T00:00:00+0530,1181.99,1183,1181.99,1182.98,933,0
2023-01-06T00:00:00+0530,1190,1194.99,1190,1194,26,0
2023-01-09T00:00:00+0530,1194,1200,1180,1180.01,1468,0
2023-01-10T00:00:00+0530,1186,1190,1186,1189.26,100,0
2023-01-11T00:00:00+0530,1188.99,1188.99,1183.5,1183.5,52,0
2023-01-12T00:00:00+0530,1182,1189.98,1180.2,1184,210,0
2023-01-13T00:00:00+0530,1186,1195,1183,1183,500,0
2023-01-16T00:00:00+0530,1183,1198,1183,1190,1217,0
2023-01-17T00:00:00+0530,1189.99,1190,1189.99,1190,1000,0
2023-01-18T00:00:00+0530,1185,1189,1185,1185.6,1224,0
2023-01-19T00:00:00+0530,1186.5,1188.99,1180.1,1183.5,428,0
2023-01-20T00:00:00+0530,1187.85,1190,1187.79,1188.44,937,0
2023-01-23T00:00:00+0530,1202,1202,1190,1190,11,0
2023-01-24T00:00:00+0530,1204,1204,1204,1204,1,0
2023-01-25T00:00:00+0530,1204,1204,1182,1189.28,1195,0
2023-01-27T00:00:00+0530,1191,1191,1180.01,1180.01,1035,0
2023-01-30T00:00:00+0530,1185.5,1185.55,1183,1183.03,1477,0
2023-01-31T00:00:00+0530,1183,1184.78,1180,1184.5,1105,0
2023-02-01T00:00:00+0530,1187.97,1194,1185.1,1189.38,1621,0
2023-02-02T00:00:00+0530,1183,1190,1180.01,1190,1575,0
2023-02-03T00:00:00+0530,1190,1193,1190,1193,1055,0
2023-02-06T00:00:00+0530,1193.99,1194,1185.1,1186.02,510,0
2023-02-07T00:00:00+0530,1195,1195,1186.7,1187.21,50,0
2023-02-08T00:00:00+0530,1190,1190,1187.1,1190,130,0
2023-02-09T00:00:00+0530,1190,1190,1190,1190,184,0
2023-02-10T00:00:00+0530,1185.01,1185.01,1185,1185,85,0
2023-02-13T00:00:00+0530,1185,1190,1180,1187.97,400,0
2023-02-14T00:00:00+0530,1188,1188,1182,1182,292,0
2023-02-17T00:00:00+0530,1185,1185,1182,1184.33,75,0
2023-02-20T00:00:00+0530,1182,1184.33,1182,1184.33,920,0
2023-02-21T00:00:00+0530,1185,1185,1165,1181.49,2341,0
2023-02-22T00:00:00+0530,1180,1182.25,1175,1179,1461,0
2023-02-23T00:00:00+0530,1179,1182,1179,1182,270,0
2023-02-24T00:00:00+0530,1195,1199,1183.1,1194.75,915,0
2023-02-27T00:00:00+0530,1190,1192,1182,1183.25,1318,0
2023-02-28T00:00:00+0530,1183.25,1183.25,1178.01,1180.01,780,0
2023-03-01T00:00:00+0530,1180.01,1185,1180.01,1180.98,252,0
2023-03-02T00:00:00+0530,1188.85,1188.85,1188.85,1188.85,1,0
2023-03-03T00:00:00+0530,1188.85,1192,1188.84,1190.74,187,0
2023-03-06T00:00:00+0530,1189.99,1191,1189.99,1191,38,0
2023-03-08T00:00:00+0530,1191,1191,1191,1191,40,0
2023-03-09T00:00:00+0530,1191,1191,1180.2,1180.2,142,0
2023-03-10T00:00:00+0530,1180.2,1191,1180,1190,694,0
2023-03-13T00:00:00+0530,1190,1190,1185,1189.75,220,0
2023-03-14T00:00:00+0530,1180.2,1188.85,1180,1182.13,555,0
2023-03-15T00:00:00+0530,1182.13,1189,1182.13,1189,41,0
2023-03-16T00:00:00+0530,1189,1189,1189,1189,150,0
2023-03-17T00:00:00+0530,1183.01,1188.99,1183.01,1188.98,101,0
2023-03-20T00:00:00+0530,1188.97,1188.97,1181.01,1182.15,901,0
2023-03-21T00:00:00+0530,1182,1186.5,1180.11,1180.11,1926,0
2023-03-22T00:00:00+0530,1180.11,1183.8,1177,1180,631,0
2023-03-23T00:00:00+0530,1177.25,1180,1176,1177.52,450,0
2023-03-24T00:00:00+0530,1175,1177.5,1174,1174.79,571,0
2023-03-27T00:00:00+0530,1176,1179.85,1175,1179.18,529,0
2023-03-28T00:00:00+0530,1179,1179,1178,1178,1187,0
2023-03-29T00:00:00+0530,1175.05,1176,1172,1176,1010,0
2023-03-31T00:00:00+0530,1188,1188,1188,1188,350,0
2023-04-03T00:00:00+0530,1179,1180.01,1175,1180,765,0
2023-04-05T00:00:00+0530,1180,1199,1180,1183,1726,0
2023-04-06T00:00:00+0530,1183,1183,1176.1,1181,871,0
2023-04-10T00:00:00+0530,1183,1198,1180.99,1182.74,642,0
2023-04-11T00:00:00+0530,1199.9,1200,1190,1190,727,0
2023-04-12T00:00:00+0530,1187,1190,1187,1190,744,0
2023-04-13T00:00:00+0530,1183.1,1190,1183.1,1190,586,0
2023-04-17T00:00:00+0530,1188,1188,1184.02,1184.02,322,0
2023-04-18T00:00:00+0530,1184.01,1184.5,1180,1183.89,4553,0
2023-04-19T00:00:00+0530,1186.79,1186.79,1184.39,1186.39,707,0
2023-04-20T00:00:00+0530,1189.9,1189.9,1187.01,1188.77,863,0
2023-04-21T00:00:00+0530,1188.77,1197,1187,1189.96,1552,0
2023-04-24T00:00:00+0530,1190,1190,1189.99,1190,720,0
2023-04-25T00:00:00+0530,1194,1194,1186,1187.44,87,0
2023-04-26T00:00:00+0530,1190.25,1190.25,1187.01,1190.1,201,0
2023-04-28T00:00:00+0530,1194.9,1194.9,1187.5,1187.5,129,0
2023-05-02T00:00:00+0530,1186,1195,1186,1195,225,0
2023-05-03T00:00:00+0530,1192,1195,1183.01,1192.99,538,0
2023-05-04T00:00:00+0530,1192,1194.99,1192,1194.79,56,0
2023-05-05T00:00:00+0530,1197.99,1198,1196.84,1196.88,1235,0
2023-05-08T00:00:00+0530,1195,1199,1195,1199,498,0
2023-05-09T00:00:00+0530,1199.9,1205,1199.9,1204.99,165,0
2023-05-10T00:00:00+0530,1204.99,1204.99,1198.6,1198.6,36,0
2023-05-11T00:00:00+0530,1198.62,1198.62,1198.62,1198.62,10,0
2023-05-12T00:00:00+0530,1200,1201,1200,1201,85,0
2023-05-15T00:00:00+0530,1209.79,1209.79,1202,1203,319,0
2023-05-16T00:00:00+0530,1205,1205,1198.29,1200.01,175,0
2023-05-17T00:00:00+0530,1208.5,1208.5,1208.5,1208.5,25,0
2023-05-18T00:00:00+0530,1208.99,1209,1208.99,1209,150,0
2023-05-19T00:00:00+0530,1205,1205,1204,1204,325,0
2023-05-22T00:00:00+0530,1204,1205,1204,1205,90,0
2023-05-23T00:00:00+0530,1205,1205,1204,1204,218,0
2023-05-24T00:00:00+0530,1205,1205,1184,1201.31,2030,0
2023-05-25T00:00:00+0530,1203,1204,1195,1204,420,0
2023-05-26T00:00:00+0530,1205,1205,1205,1205,192,0
2023-05-29T00:00:00+0530,1204,1204,1204,1204,130,0
2023-05-30T00:00:00+0530,1200,1200,1194.1,1195.1,210,0
2023-05-31T00:00:00+0530,1195,1198.9,1195,1195,60,0
2023-06-01T00:00:00+0530,1195,1195.99,1190.5,1193.97,280,0
2023-06-02T00:00:00+0530,1195,1195,1194.99,1195,557,0
2023-06-05T00:00:00+0530,1198,1198,1195.11,1195.5,870,0
2023-06-06T00:00:00+0530,1200,1200,1195.1,1196,1205,0
2023-06-07T00:00:00+0530,1205,1205,1198,1198,323,0
2023-06-08T00:00:00+0530,1196.5,1202.75,1195,1195,401,0
2023-06-09T00:00:00+0530,1202.5,1202.5,1199.8,1200,318,0
2023-06-12T00:00:00+0530,1197,1207.98,1195.69,1201,1198,0
2023-06-13T00:00:00+0530,1204.5,1204.5,1204.5,1204.5,400,0
2023-06-14T00:00:00+0530,1202,1202,1198.14,1200.55,32,0
2023-06-15T00:00:00+0530,1201,1201,1201,1201,100,0
2023-06-16T00:00:00+0530,1204,1205,1204,1204.99,235,0
