date,open,high,low,close,volume,empty
2023-02-06T00:00:00+0530,900,925,900,925,126,0
2023-02-10T00:00:00+0530,920,920,920,920,1,0
2023-02-16T00:00:00+0530,920,920,920,920,1,0
2023-02-17T00:00:00+0530,930,930,930,930,10,0
2023-02-22T00:00:00+0530,930,930,930,930,5,0
2023-02-27T00:00:00+0530,930,930,930,930,10,0
2023-02-28T00:00:00+0530,930,940,930,940,40,0
2023-03-02T00:00:00+0530,940,940,940,940,8,0
2023-03-03T00:00:00+0530,940,940,940,940,10,0
2023-03-08T00:00:00+0530,941,941,940,940,5,0
2023-03-14T00:00:00+0530,939,940,939,939.83,24,0
2023-03-16T00:00:00+0530,940,940,940,940,500,0
2023-03-28T00:00:00+0530,940,940,860,909,111,0
2023-03-31T00:00:00+0530,910,910,890,900,510,0
2023-04-03T00:00:00+0530,900,900,900,900,34,0
2023-04-10T00:00:00+0530,925,950,925,950,34,0
2023-04-11T00:00:00+0530,950,950,945,945,185,0
2023-04-13T00:00:00+0530,944,944,944,944,7,0
2023-05-08T00:00:00+0530,950,950,950,950,500,0
2023-05-09T00:00:00+0530,955,955,955,955,100,0
2023-05-10T00:00:00+0530,945,950,945,945,200,0
2023-05-16T00:00:00+0530,980,980,980,980,100,0
2023-06-01T00:00:00+0530,980,980,980,980,1,0
2023-06-05T00:00:00+0530,975,975,960,960,60,0
2023-06-14T00:00:00+0530,960,960,956,957.05,19,0
2023-06-19T00:00:00+0530,978,978,965,965,5,0
2023-07-04T00:00:00+0530,965,965,965,965,5,0
2023-07-17T00:00:00+0530,978,978,965,965,36,0
2023-08-01T00:00:00+0530,987,987,970,987,852,0
2023-08-02T00:00:00+0530,990,1000,990,1000,800,0
2023-08-03T00:00:00+0530,1000,1060,1000,1060,24,0
2023-08-04T00:00:00+0530,1060,1060,1060,1060,150,0
2023-08-09T00:00:00+0530,1025,1025,1025,1025,10,0
2023-08-10T00:00:00+0530,1020,1020,1020,1020,20,0
2023-08-17T00:00:00+0530,1015,1018,1000,1006,35,0
2023-08-18T00:00:00+0530,1002,1002,970,986,600,0
2023-08-28T00:00:00+0530,986,986,986,986,600,0
2023-08-29T00:00:00+0530,1005.8,1005.8,1005.8,1005.8,187,0
2023-08-31T00:00:00+0530,1004,1010,1000,1010,496,0
2023-09-14T00:00:00+0530,933,933,933,933,33,0
2023-09-15T00:00:00+0530,933.5,933.5,933.5,933.5,3067,0
2023-09-18T00:00:00+0530,935,935,935,935,1321,0
2023-09-22T00:00:00+0530,937,937,937,937,4,0
2023-09-25T00:00:00+0530,938,938,938,938,1072,0
2023-09-26T00:00:00+0530,938,938,938,938,10,0
2023-09-27T00:00:00+0530,939,939,938,938.5,20,0
2023-10-03T00:00:00+0530,949.9,949.9,949.9,949.9,10,0
2023-10-04T00:00:00+0530,930,930,930,930,450,0
2023-10-05T00:00:00+0530,941.5,941.5,937,937,172,0
2023-10-23T00:00:00+0530,932,932,932,932,13,0
2023-10-26T00:00:00+0530,932,932,932,932,2,0
2023-10-31T00:00:00+0530,930,930,930,930,2,0
2023-11-01T00:00:00+0530,915,915,915,915,90,0
2023-11-02T00:00:00+0530,914,920,914,920,85,0
2023-11-03T00:00:00+0530,919,919,919,919,5,0
2023-11-06T00:00:00+0530,919,919,919,919,40,0
2023-11-08T00:00:00+0530,920,925,915,915,29,0
2023-11-09T00:00:00+0530,920,935,920,935,31,0
2023-11-10T00:00:00+0530,935,935,935,935,30,0
2023-11-13T00:00:00+0530,935,935,935,935,20,0
2023-11-15T00:00:00+0530,920,920,920,920,62,0
2023-11-16T00:00:00+0530,925,925,925,925,83,0
2023-11-17T00:00:00+0530,930,930,925.5,925.5,1034,0
2023-11-21T00:00:00+0530,935,935,935,935,35,0
2023-11-22T00:00:00+0530,935.01,935.01,935,935,20,0
2023-11-29T00:00:00+0530,935,935,935,935,300,0
2023-12-04T00:00:00+0530,950,955,950,955,70,0
2023-12-15T00:00:00+0530,955,955,955,955,80,0
2023-12-26T00:00:00+0530,950,950,950,950,3,0
2023-12-27T00:00:00+0530,955,955,955,955,30,0
2023-12-28T00:00:00+0530,955,955,955,955,10,0
2024-01-02T00:00:00+0530,955,955,955,955,10,0
2024-01-23T00:00:00+0530,950,950,950,950,500,0
2024-01-24T00:00:00+0530,950,950,950,950,50,0
2024-02-01T00:00:00+0530,950,950,949,949,171,0
2024-02-02T00:00:00+0530,950,950,950,950,30,0
2024-02-05T00:00:00+0530,963,963,963,963,5,0
2024-02-06T00:00:00+0530,950,952,948,952,253,0
2024-02-07T00:00:00+0530,952,952,952,952,200,0
2024-02-08T00:00:00+0530,949,949,949,949,100,0
2024-02-13T00:00:00+0530,949,949,949,949,100,0
2024-02-20T00:00:00+0530,949,949,949,949,100,0
2024-02-21T00:00:00+0530,928.59,928.59,928.59,928.59,78,0
2024-02-28T00:00:00+0530,969,975.04,969,970,45,0
2024-03-01T00:00:00+0530,966.19,966.19,966.19,966.19,10,0
2024-03-04T00:00:00+0530,942.04,971.5,942.04,971.5,1042,0
2024-03-05T00:00:00+0530,947.22,966.8,947.22,966.8,132,0
2024-03-12T00:00:00+0530,970,970,968.95,968.95,70,0
2024-03-14T00:00:00+0530,969,969,969,969,300,0
2024-03-15T00:00:00+0530,970,970,970,970,10,0
2024-03-18T00:00:00+0530,968,970,968,970,900,0
2024-03-20T00:00:00+0530,970,970,970,970,11,0
2024-03-21T00:00:00+0530,965,965,938.3,964.38,189,0
2024-03-22T00:00:00+0530,965,965,965,965,5,0
2024-03-27T00:00:00+0530,966,966,965.45,965.45,22,0
2024-04-09T00:00:00+0530,980,980,980,980,25,0
2024-04-12T00:00:00+0530,980,980,980,980,213,0
2024-04-23T00:00:00+0530,985,985,985,985,100,0
2024-04-30T00:00:00+0530,984,985,984,984,208,0
2024-05-06T00:00:00+0530,984,984,984,984,100,0
2024-05-09T00:00:00+0530,975,975,975,975,52,0
2024-05-10T00:00:00+0530,985,985,985,985,16,0
2024-05-14T00:00:00+0530,975,975,975,975,300,0
2024-05-23T00:00:00+0530,988.52,988.52,980,980,170,0
2024-05-31T00:00:00+0530,1000,1000,975,975.01,3,0
2024-06-04T00:00:00+0530,975,975,957.46,975,26,0
2024-06-05T00:00:00+0530,971,971,967.51,971,6,0
2024-06-14T00:00:00+0530,971,971,971,971,104,0
2024-06-18T00:00:00+0530,985,985,968.76,980,148,0
2024-06-19T00:00:00+0530,986,986,986,986,31,0
2024-07-24T00:00:00+0530,999,999,999,999,3,0
2024-08-01T00:00:00+0530,999,999,999,999,300,0
2024-08-07T00:00:00+0530,999,999,999,999,1,0
2024-08-08T00:00:00+0530,1000,1003,1000,1003,55,0
2024-08-22T00:00:00+0530,1003,1003,1003,1003,49,0
