date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,1190,1190,1179.3,1180,916,0
2023-01-03T00:00:00+0530,1180.13,1180.13,1180.13,1180.13,18,0
2023-01-05T00:00:00+0530,1186,1186,1186,1186,388,0
2023-01-06T00:00:00+0530,1190,1225,1190,1205,12,0
2023-01-09T00:00:00+0530,1228.69,1228.69,1200,1200,4,0
2023-01-10T00:00:00+0530,1176.2,1238.99,1176.2,1238.99,101,0
2023-01-11T00:00:00+0530,1218.99,1218.99,1218.99,1218.99,10,0
2023-01-13T00:00:00+0530,1182.43,1229.4,1182.43,1227.48,376,0
2023-01-16T00:00:00+0530,1220,1228.89,1220,1228.89,350,0
2023-01-17T00:00:00+0530,1220,1220,1215,1215,503,0
2023-01-18T00:00:00+0530,1215,1223.9,1215,1223.84,246,0
2023-01-19T00:00:00+0530,1220,1220,1200,1200,1113,0
2023-01-20T00:00:00+0530,1200,1215,1200,1205,598,0
2023-01-23T00:00:00+0530,1220,1226.85,1220,1226.77,160,0
2023-01-24T00:00:00+0530,1226,1226,1220,1220,54,0
2023-01-25T00:00:00+0530,1220,1220,1220,1220,50,0
2023-01-30T00:00:00+0530,1188.2,1236,1188.2,1236,12,0
2023-01-31T00:00:00+0530,1220,1220,1220,1220,10,0
2023-02-02T00:00:00+0530,1215,1215,1210,1210,200,0
2023-02-03T00:00:00+0530,1200,1200,1189.6,1189.6,204,0
2023-02-06T00:00:00+0530,1190.3,1190.3,1190.3,1190.3,244,0
2023-02-07T00:00:00+0530,1190.3,1190.3,1190.3,1190.3,2,0
2023-02-09T00:00:00+0530,1220,1220,1220,1220,50,0
2023-02-10T00:00:00+0530,1210,1210,1210,1210,100,0
2023-02-13T00:00:00+0530,1192.4,1200,1192.4,1200,17,0
2023-02-17T00:00:00+0530,1211,1211,1211,1211,1,0
2023-02-20T00:00:00+0530,1200,1200,1200,1200,52,0
2023-02-21T00:00:00+0530,1215,1215,1200,1200,8,0
2023-02-22T00:00:00+0530,1200,1200,1200,1200,47,0
2023-02-24T00:00:00+0530,1200,1200,1200,1200,107,0
2023-02-27T00:00:00+0530,1200,1200,1187.31,1192.83,133,0
2023-02-28T00:00:00+0530,1188.1,1188.1,1188.1,1188.1,2,0
2023-03-02T00:00:00+0530,1191,1191,1191,1191,4,0
2023-03-08T00:00:00+0530,1188.5,1188.5,1188.5,1188.5,300,0
2023-03-14T00:00:00+0530,1188.6,1188.6,1188.6,1188.6,25,0
2023-03-16T00:00:00+0530,1229.94,1229.94,1229.94,1229.94,5,0
2023-03-28T00:00:00+0530,1185.1,1185.25,1185.1,1185.25,31,0
2023-03-31T00:00:00+0530,1195,1209.9,1195,1209.9,116,0
2023-04-06T00:00:00+0530,1239.3,1239.4,1239.3,1239.4,305,0
2023-04-10T00:00:00+0530,1210,1210,1210,1210,68,0
2023-04-13T00:00:00+0530,1239.5,1239.5,1239.5,1239.5,1,0
2023-04-17T00:00:00+0530,1190,1205,1190,1205,134,0
2023-04-20T00:00:00+0530,1190.63,1191.62,1190.63,1191.62,325,0
2023-04-28T00:00:00+0530,1200,1205,1200,1205,210,0
2023-05-08T00:00:00+0530,1209.99,1209.99,1209.99,1209.99,24,0
2023-05-12T00:00:00+0530,1186.15,1186.15,1186.15,1186.15,102,0
2023-05-16T00:00:00+0530,1210,1215,1210,1210.1,310,0
2023-05-19T00:00:00+0530,1200,1210,1200,1210,110,0
2023-05-22T00:00:00+0530,1208,1210,1208,1210,15,0
2023-05-23T00:00:00+0530,1210,1210,1208,1208,160,0
2023-05-24T00:00:00+0530,1208,1208,1208,1208,10,0
2023-05-29T00:00:00+0530,1210,1210,1210,1210,300,0
2023-05-30T00:00:00+0530,1210,1210,1210,1210,20,0
2023-06-05T00:00:00+0530,1192,1192,1192,1192,300,0
2023-06-07T00:00:00+0530,1193.1,1227,1193.1,1227,70,0
2023-06-08T00:00:00+0530,1225.5,1225.5,1225.5,1225.5,20,0
2023-06-13T00:00:00+0530,1214.99,1219.87,1214.99,1219.87,739,0
2023-06-21T00:00:00+0530,1220,1220,1220,1220,74,0
2023-06-22T00:00:00+0530,1220,1220,1220,1220,200,0
2023-06-23T00:00:00+0530,1220,1220,1218,1218,200,0
2023-06-26T00:00:00+0530,1230,1230,1230,1230,40,0
2023-06-27T00:00:00+0530,1220,1220,1220,1220,100,0
2023-06-30T00:00:00+0530,1239,1239,1239,1239,50,0
2023-07-03T00:00:00+0530,1239.9,1239.9,1239.9,1239.9,1,0
2023-07-04T00:00:00+0530,1239.9,1239.9,1239.9,1239.9,50,0
2023-07-05T00:00:00+0530,1239.9,1239.9,1239.9,1239.9,50,0
2023-07-13T00:00:00+0530,1240,1240,1240,1240,30,0
2023-07-17T00:00:00+0530,1227,1227,1227,1227,200,0
2023-07-24T00:00:00+0530,1208.6,1208.6,1208.6,1208.6,300,0
2023-07-26T00:00:00+0530,1209.53,1246,1209.53,1246,1101,0
2023-07-27T00:00:00+0530,1250,1250,1250,1250,500,0
2023-08-03T00:00:00+0530,1208.14,1208.14,1208.14,1208.14,190,0
2023-08-04T00:00:00+0530,1210.7,1213.36,1210.7,1213.36,410,0
2023-08-09T00:00:00+0530,1215,1215,1215,1215,515,0
2023-08-10T00:00:00+0530,1224,1224,1220,1220,2140,0
2023-08-21T00:00:00+0530,1220,1220,1220,1220,50,0
2023-08-28T00:00:00+0530,1210,1210,1210,1210,50,0
2023-08-30T00:00:00+0530,1210.01,1210.01,1210.01,1210.01,50,0
2023-09-01T00:00:00+0530,1220.01,1220.01,1220.01,1220.01,25,0
2023-09-04T00:00:00+0530,1229,1229,1229,1229,50,0
2023-09-05T00:00:00+0530,1209.8,1215,1209,1215,730,0
2023-09-08T00:00:00+0530,1240,1240,1234,1234,161,0
2023-09-13T00:00:00+0530,1190,1200.38,1190,1200.38,301,0
2023-09-15T00:00:00+0530,1217.99,1224,1217.99,1223.1,1010,0
2023-09-21T00:00:00+0530,1223.5,1223.5,1223.5,1223.5,100,0
2023-09-25T00:00:00+0530,1223.5,1230,1223.5,1230,100,0
2023-09-29T00:00:00+0530,1243.99,1243.99,1201.15,1220,113,0
2023-10-03T00:00:00+0530,1152.1,1215,1152.1,1215,42,0
2023-10-04T00:00:00+0530,1201,1214,1200,1214,333,0
2023-10-06T00:00:00+0530,1219.01,1219.01,1219.01,1219.01,10,0
2023-10-17T00:00:00+0530,1160.01,1160.01,1159.9,1159.9,100,0
2023-10-20T00:00:00+0530,1206.11,1206.11,1206.11,1206.11,100,0
2023-10-25T00:00:00+0530,1259.99,1259.99,1249.29,1249.29,195,0
2023-10-27T00:00:00+0530,1248.99,1248.99,1247.3,1247.3,1300,0
2023-10-30T00:00:00+0530,1249,1249.8,1249,1249.8,106,0
2023-11-01T00:00:00+0530,1222.01,1239,1200,1238.77,1260,0
2023-11-08T00:00:00+0530,1238.55,1248.7,1238.55,1248.7,39,0
2023-11-09T00:00:00+0530,1245,1245,1243.99,1244.66,400,0
2023-11-16T00:00:00+0530,1185,1185,1185,1185,50,0
2023-11-17T00:00:00+0530,1185,1185,1185,1185,100,0
2023-11-20T00:00:00+0530,1126,1151.5,1126,1151.02,425,0
2023-11-21T00:00:00+0530,1152,1178.39,1152,1178.39,110,0
2023-11-22T00:00:00+0530,1173.99,1173.99,1173.99,1173.99,10,0
2023-11-23T00:00:00+0530,1184.99,1184.99,1184.99,1184.99,20,0
2023-11-30T00:00:00+0530,1179.79,1179.79,1179.77,1179.77,10,0
2023-12-01T00:00:00+0530,1140,1157,1140,1156,665,0
2023-12-04T00:00:00+0530,1140.51,1159.99,1140.5,1159.99,1340,0
