date,open,high,low,close,volume,empty
2025-07-21T00:00:00+0530,998.99,998.99,992.5,993.67,11289,0
2025-07-22T00:00:00+0530,995.9,996.9,990.6,995.08,3083,0
2025-07-23T00:00:00+0530,996.49,997.49,995,995.14,3507,0
2025-07-24T00:00:00+0530,997,999.7,996.99,998.25,4740,0
2025-07-25T00:00:00+0530,999.9,999.9,998,998.18,418,0
2025-07-28T00:00:00+0530,999.5,999.5,998,998,315,0
2025-07-29T00:00:00+0530,1000,1000.35,997,1000,2550,0
2025-07-30T00:00:00+0530,1000,1000,1000,1000,1339,0
2025-07-31T00:00:00+0530,1000,1001.25,999.65,1000,2859,0
2025-08-01T00:00:00+0530,1003.5,1003.5,1001,1001,160,0
2025-08-04T00:00:00+0530,1000,1004,1000,1003.36,1824,0
2025-08-05T00:00:00+0530,1001.5,1003.76,1001.05,1001.68,2341,0
2025-08-06T00:00:00+0530,1001.71,1003,1001.71,1003,109,0
2025-08-07T00:00:00+0530,1003.15,1003.15,1001.7,1002.16,1289,0
2025-08-08T00:00:00+0530,1003,1004.11,1003,1004.11,635,0
2025-08-11T00:00:00+0530,1009.1,1009.1,1009.1,1009.1,495,0
2025-08-12T00:00:00+0530,1013.34,1013.34,1005.11,1005.11,320,0
2025-08-13T00:00:00+0530,1005.2,1005.25,1005.05,1005.2,971,0
2025-08-19T00:00:00+0530,1006,1007.01,1006,1007,191,0
2025-08-20T00:00:00+0530,1007,1007,1007,1007,15,0
2025-08-21T00:00:00+0530,1011.4,1011.4,1011.4,1011.4,105,0
2025-08-22T00:00:00+0530,1007,1007.11,1001.12,1004.04,260,0
2025-08-25T00:00:00+0530,1008,1008,1007.9,1007.9,140,0
2025-08-26T00:00:00+0530,1007.9,1008,1006,1007.99,318,0
2025-08-28T00:00:00+0530,1014.99,1014.99,1006,1006,250,0
2025-08-29T00:00:00+0530,1006.1,1006.1,1006,1006,209,0
2025-09-01T00:00:00+0530,1008,1011,1006.11,1008,252,0
2025-09-02T00:00:00+0530,1009.01,1009.01,1008,1008.32,280,0
2025-09-03T00:00:00+0530,1008,1008,1008,1008,208,0
2025-09-04T00:00:00+0530,1008.3,1010,1008.3,1009,116,0
2025-09-05T00:00:00+0530,1010,1010,1009,1009,533,0
