date,open,high,low,close,volume,empty
2024-05-16T00:00:00+0530,991.13,991.13,991,991,500,0
2024-05-21T00:00:00+0530,1000,1000,995.05,995.05,105,0
2024-05-22T00:00:00+0530,995.1,1000,995.1,1000,261,0
2024-05-23T00:00:00+0530,1000,1000.23,1000,1000.21,400,0
2024-05-28T00:00:00+0530,1001,1001,1001,1001,15,0
2024-05-30T00:00:00+0530,1005,1010,1000.54,1010,151,0
2024-05-31T00:00:00+0530,1005,1005,1000.66,1005,285,0
2024-06-05T00:00:00+0530,991.4,991.4,991.4,991.4,3,0
2024-06-06T00:00:00+0530,1005,1005,997,997,300,0
2024-06-10T00:00:00+0530,1005,1005,1005,1005,11,0
2024-06-11T00:00:00+0530,1000,1000,1000,1000,10,0
2024-06-14T00:00:00+0530,1005,1005,1005,1005,5,0
2024-06-19T00:00:00+0530,1000.5,1000.5,995.11,995.11,104,0
2024-06-20T00:00:00+0530,1000,1000.1,1000,1000,1060,0
2024-06-21T00:00:00+0530,995,999.95,855.2,992.5,269,0
2024-06-25T00:00:00+0530,1000,1000,1000,1000,121,0
2024-06-26T00:00:00+0530,1001,1001,1000,1000,608,0
2024-06-27T00:00:00+0530,1000,1000,1000,1000,10,0
2024-07-05T00:00:00+0530,1000.01,1000.01,1000.01,1000.01,50,0
2024-07-08T00:00:00+0530,995.1,995.1,995,995,100,0
2024-07-10T00:00:00+0530,1010,1010,1010,1010,20,0
2024-07-15T00:00:00+0530,1005,1006,1000,1001.63,916,0
2024-07-16T00:00:00+0530,1000.17,1000.17,1000.15,1000.15,609,0
2024-07-19T00:00:00+0530,1000.1,1000.1,1000.1,1000.1,8,0
2024-07-25T00:00:00+0530,1000.2,1000.2,1000.2,1000.2,10,0
2024-07-26T00:00:00+0530,1001.1,1001.1,1001,1001,100,0
2024-07-31T00:00:00+0530,1001,1001,1001,1001,1000,0
2024-08-01T00:00:00+0530,1001,1001,1001,1001,50,0
2024-08-05T00:00:00+0530,1004.85,1004.85,1004.85,1004.85,100,0
2024-08-06T00:00:00+0530,1006,1006,1006,1006,306,0
2024-08-07T00:00:00+0530,1009,1009,1002.5,1009,65,0
2024-08-08T00:00:00+0530,1009,1009,1009,1009,3,0
2024-08-12T00:00:00+0530,1009,1009,1009,1009,117,0
2024-08-20T00:00:00+0530,1010,1010,1010,1010,79,0
2024-08-21T00:00:00+0530,1010,1010,1002.9,1010,576,0
2024-08-22T00:00:00+0530,1010,1010,1010,1010,20,0
2024-08-26T00:00:00+0530,1010,1010,1010,1010,221,0
2024-08-27T00:00:00+0530,1024,1024,1020,1021,20,0
2024-08-28T00:00:00+0530,1020,1020,1020,1020,13,0
2024-09-03T00:00:00+0530,1015,1015,1015,1015,15,0
2024-09-10T00:00:00+0530,1024.6,1024.6,1010,1010,55,0
2024-09-17T00:00:00+0530,1024,1024,1020,1020,500,0
2024-09-19T00:00:00+0530,1026.86,1026.86,1026.86,1026.86,22,0
2024-09-24T00:00:00+0530,864.8,1010,864.8,1010,121,0
2024-09-25T00:00:00+0530,1010,1010,1010,1010,45,0
2024-09-26T00:00:00+0530,1010,1010,1010,1010,25,0
