date,open,high,low,close,volume,empty
2025-05-16T00:00:00+0530,989,989,986,988.84,95,0
2025-05-19T00:00:00+0530,1000,1000,977,977,55,0
2025-05-23T00:00:00+0530,995,995,995,995,5,0
2025-06-03T00:00:00+0530,999,999,999,999,1,0
2025-06-04T00:00:00+0530,1050,1050,1050,1050,1,0
2025-06-17T00:00:00+0530,1050,1260,1050,1200,5,0
2025-07-15T00:00:00+0530,995,995,990.5,990.5,14,0
2025-07-16T00:00:00+0530,1000,1000,1000,1000,988,0
2025-07-17T00:00:00+0530,1000,1000,1000,1000,1,0
2025-07-21T00:00:00+0530,1000,1000,1000,1000,8,0
2025-07-23T00:00:00+0530,991,991,985,985,20,0
2025-07-25T00:00:00+0530,987,987,987,987,18,0
2025-07-28T00:00:00+0530,1049.99,1049.99,1049.99,1049.99,1,0
2025-07-29T00:00:00+0530,995,995,995,995,3,0
2025-08-01T00:00:00+0530,953,953,953,953,19,0
2025-08-06T00:00:00+0530,990,990,990,990,5,0
2025-08-13T00:00:00+0530,990,990,990,990,9,0
2025-08-18T00:00:00+0530,990,990,990,990,38,0
2025-08-21T00:00:00+0530,981,981,966,971,611,0
2025-08-22T00:00:00+0530,985,985,980,980,40,0
2025-09-01T00:00:00+0530,980,980,980,980,86,0
2025-09-05T00:00:00+0530,990,990,986.41,986.41,2007,0
