date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,1150,1150,1150,1150,35,0
2023-01-03T00:00:00+0530,1146,1150,1146,1150,250,0
2023-01-09T00:00:00+0530,1160,1160,1160,1160,2,0
2023-01-12T00:00:00+0530,1155,1179,1155,1155,20,0
2023-01-13T00:00:00+0530,1160,1165,1160,1165,80,0
2023-01-16T00:00:00+0530,1165,1179,1165,1179,44,0
2023-01-18T00:00:00+0530,1179,1179,1179,1179,55,0
2023-01-23T00:00:00+0530,1162,1162,1160,1160,107,0
2023-01-24T00:00:00+0530,1177,1177,1177,1177,7,0
2023-02-01T00:00:00+0530,1177,1177,1177,1177,6,0
2023-02-07T00:00:00+0530,1152,1152,1150,1150,300,0
2023-02-08T00:00:00+0530,1168,1168,1168,1168,20,0
2023-02-09T00:00:00+0530,1173,1173,1173,1173,5,0
2023-02-10T00:00:00+0530,1151.3,1155,1151.3,1155,2,0
2023-02-14T00:00:00+0530,1165,1165,1151.01,1162,370,0
2023-02-15T00:00:00+0530,1172,1172,1165,1165,6,0
2023-02-20T00:00:00+0530,1161,1161,1161,1161,2,0
2023-02-21T00:00:00+0530,1180,1180,1180,1180,4,0
2023-02-22T00:00:00+0530,1170,1170,1170,1170,300,0
2023-02-23T00:00:00+0530,1170,1170,1170,1170,20,0
2023-02-24T00:00:00+0530,1118.8,1118.8,1091.5,1094.54,457,0
2023-02-27T00:00:00+0530,1094.54,1094.54,1094.54,1094.54,2,0
2023-02-28T00:00:00+0530,1080.1,1088,1080.05,1084,180,0
2023-03-01T00:00:00+0530,1084,1084,1084,1084,1,0
2023-03-06T00:00:00+0530,1082,1090.9,1073,1085,600,0
2023-03-08T00:00:00+0530,1099,1099,1098.99,1098.99,554,0
2023-03-09T00:00:00+0530,1099,1100,1096,1096,821,0
2023-03-10T00:00:00+0530,1096,1097.99,1084.05,1086.07,477,0
2023-03-13T00:00:00+0530,1097,1097,1084.99,1085.95,160,0
2023-03-14T00:00:00+0530,1089.99,1089.99,1089.99,1089.99,15,0
2023-03-15T00:00:00+0530,1089.99,1089.99,1083,1083.1,229,0
2023-03-16T00:00:00+0530,1083.5,1100,1083.5,1100,581,0
2023-03-17T00:00:00+0530,1100,1100,1091,1100,502,0
2023-03-20T00:00:00+0530,1100,1100,1094.8,1094.99,252,0
2023-03-21T00:00:00+0530,1092.99,1093,1092,1093,290,0
2023-03-22T00:00:00+0530,1090,1090,1090,1090,11,0
2023-03-23T00:00:00+0530,1092,1092,1089,1089,7,0
2023-03-24T00:00:00+0530,1100,1100,1080,1085,122,0
2023-03-27T00:00:00+0530,1080,1080,1080,1080,10,0
2023-03-28T00:00:00+0530,1078,1078,1070,1070,160,0
