date,open,high,low,close,volume,empty
2023-12-06T00:00:00+0530,1025,1025,1025,1025,1,0
2023-12-20T00:00:00+0530,922.1,923.02,922.1,923,37,0
2023-12-21T00:00:00+0530,923.05,923.05,923.05,923.05,20,0
2023-12-22T00:00:00+0530,923.05,1080,923.05,1080,178,0
2023-12-26T00:00:00+0530,981,981,940,968.45,631,0
2023-12-28T00:00:00+0530,950.2,950.2,950.2,950.2,2,0
2024-01-15T00:00:00+0530,988,988,988,988,2,0
2024-01-16T00:00:00+0530,975,975,975,975,10,0
2024-02-02T00:00:00+0530,975,975,975,975,18,0
2024-02-09T00:00:00+0530,976,976,976,976,10,0
2024-02-20T00:00:00+0530,976,976,976,976,500,0
2024-02-22T00:00:00+0530,976,976,976,976,11,0
2024-02-23T00:00:00+0530,976,976,976,976,50,0
2024-03-01T00:00:00+0530,976,976,976,976,15,0
2024-03-05T00:00:00+0530,975,975,975,975,10,0
2024-03-18T00:00:00+0530,975,975,975,975,100,0
2024-03-19T00:00:00+0530,986.12,986.12,986.12,986.12,2,0
2024-03-21T00:00:00+0530,976.79,986.12,976.79,986.12,95,0
2024-03-22T00:00:00+0530,986.44,986.44,986.44,986.44,3,0
2024-04-01T00:00:00+0530,989,989,989,989,90,0
2024-04-26T00:00:00+0530,989,989,989,989,10,0
2024-05-06T00:00:00+0530,989,990,989,990,110,0
2024-05-08T00:00:00+0530,990,990,990,990,10,0
2024-05-09T00:00:00+0530,1003.11,1003.11,1003.11,1003.11,10,0
2024-05-17T00:00:00+0530,1003.11,1003.11,1002,1002,210,0
2024-06-05T00:00:00+0530,1020,1020,1020,1020,30,0
2024-06-10T00:00:00+0530,1001.64,1001.64,1001.64,1001.64,20,0
2024-06-24T00:00:00+0530,818.85,1010.5,818.85,1010.5,30,0
2024-06-26T00:00:00+0530,1010.5,1010.5,1010,1010,2,0
2024-07-12T00:00:00+0530,1005,1015.81,1005,1014.71,40,0
2024-07-18T00:00:00+0530,1014.71,1035,1014.71,1035,29,0
2024-08-23T00:00:00+0530,1030.99,1030.99,1030.99,1030.99,10,0
2024-09-18T00:00:00+0530,1045,1045,1045,1045,1,0
2024-09-26T00:00:00+0530,1045,1045,1035.2,1035.2,10,0
2024-09-27T00:00:00+0530,1035.2,1050,1035.2,1050,11,0
2024-10-07T00:00:00+0530,1070,1070,1070,1070,1,0
2024-10-08T00:00:00+0530,1035.2,1035.2,1035.2,1035.2,15,0
2024-10-10T00:00:00+0530,1035.5,1035.5,1035.2,1035.2,10,0
2024-10-14T00:00:00+0530,1035.5,1035.5,1035.5,1035.5,10,0
2024-10-16T00:00:00+0530,1056.8,1070,1056.8,1056.8,50,0
2024-10-21T00:00:00+0530,1070,1070,1070,1070,1,0
2024-10-22T00:00:00+0530,1035.9,1053.3,1035.9,1050,90,0
2024-10-24T00:00:00+0530,1035.9,1035.9,1035.9,1035.9,1,0
2025-01-15T00:00:00+0530,927,999,927,980,45,0
2025-01-22T00:00:00+0530,927,927,927,927,10,0
2025-01-28T00:00:00+0530,998,1000,998,1000,100,0
2025-02-07T00:00:00+0530,1000,1000,1000,1000,2,0
2025-02-13T00:00:00+0530,996.82,996.82,996.82,996.82,10,0
2025-02-21T00:00:00+0530,971.9,995.91,971.9,995.91,60,0
2025-03-03T00:00:00+0530,995,995,995,995,10,0
2025-03-25T00:00:00+0530,1000.91,1000.91,1000.91,1000.91,10,0
2025-03-28T00:00:00+0530,1003.5,1003.5,1000.7,1000.7,100,0
2025-04-01T00:00:00+0530,1000.7,1000.7,1000.7,1000.7,25,0
2025-04-08T00:00:00+0530,1005,1005,1005,1005,10,0
2025-05-15T00:00:00+0530,1019,1019,1018.8,1018.8,100,0
2025-05-16T00:00:00+0530,1040,1040,1040,1040,25,0
2025-05-20T00:00:00+0530,1039.8,1039.8,1039.8,1039.8,50,0
2025-06-05T00:00:00+0530,1040,1040,1030.2,1030.2,220,0
2025-06-12T00:00:00+0530,1030.2,1030.2,1030.2,1030.2,50,0
2025-06-17T00:00:00+0530,1049.8,1049.8,1049.8,1049.8,70,0
2025-06-20T00:00:00+0530,1031.2,1043,1031.2,1043,66,0
2025-07-03T00:00:00+0530,1040.2,1040.2,1040.2,1040.2,1,0
2025-07-04T00:00:00+0530,1051.3,1051.3,1051.3,1051.3,10,0
2025-07-07T00:00:00+0530,1054,1054,1054,1054,53,0
2025-07-08T00:00:00+0530,1051,1051,1051,1051,9,0
2025-07-09T00:00:00+0530,1054.7,1054.7,1047,1047,17,0
2025-07-15T00:00:00+0530,1056.6,1056.6,1056.6,1056.6,10,0
2025-07-16T00:00:00+0530,1050,1057,1050,1057,55,0
2025-07-17T00:00:00+0530,1050,1057.3,1050,1057.3,29,0
2025-07-21T00:00:00+0530,1050.5,1052,1050.5,1052,8,0
2025-07-23T00:00:00+0530,1059.3,1059.3,1059.3,1059.3,8,0
2025-07-24T00:00:00+0530,1057,1057,1057,1057,5,0
2025-08-08T00:00:00+0530,1054.25,1054.25,1054.25,1054.25,10,0
2025-08-12T00:00:00+0530,1063.17,1063.17,1063.17,1063.17,10,0
2025-08-28T00:00:00+0530,1063.17,1064.4,1063.17,1064.4,10,0
2025-08-29T00:00:00+0530,1064,1070,1064,1070,20,0
2025-09-01T00:00:00+0530,1062.5,1062.5,1062.5,1062.5,8,0
2025-09-03T00:00:00+0530,1064,1064,1064,1064,74,0
2025-09-04T00:00:00+0530,1073.7,1073.7,1073.7,1073.7,8,0
