date,open,high,low,close,volume,empty
2023-01-05T00:00:00+0530,960,960,960,960,50,0
2023-01-10T00:00:00+0530,912,912,912,912,20,0
2023-01-11T00:00:00+0530,950,965,950,965,40,0
2023-01-12T00:00:00+0530,1150,1150,901,974,42,0
2023-01-16T00:00:00+0530,974.9,974.9,974.9,974.9,5,0
2023-01-17T00:00:00+0530,974.9,974.9,973,973,38,0
2023-01-23T00:00:00+0530,974.9,977,974.9,977,40,0
2023-01-25T00:00:00+0530,980,980,980,980,50,0
2023-01-27T00:00:00+0530,930,930,930,930,15,0
2023-02-01T00:00:00+0530,906,906,906,906,20,0
2023-02-07T00:00:00+0530,989,989,989,989,20,0
2023-02-10T00:00:00+0530,881,881,881,881,20,0
2023-02-13T00:00:00+0530,1040,1040,1040,1040,20,0
2023-02-20T00:00:00+0530,885.25,885.25,885.25,885.25,10,0
2023-02-22T00:00:00+0530,886,886,886,886,7,0
2023-02-23T00:00:00+0530,1040,1040,1040,1040,7,0
2023-02-24T00:00:00+0530,912,916,912,915,117,0
2023-02-28T00:00:00+0530,916,916,916,916,20,0
2023-03-01T00:00:00+0530,916.01,916.01,916,916,40,0
2023-03-02T00:00:00+0530,955,960,920.01,938,133,0
2023-03-03T00:00:00+0530,920,920,920,920,125,0
2023-03-09T00:00:00+0530,925,925,925,925,5,0
2023-03-23T00:00:00+0530,750,750,750,750,12,0
2023-03-24T00:00:00+0530,900,900,900,900,15,0
2023-03-28T00:00:00+0530,1050,1050,1050,1050,12,0
2023-03-29T00:00:00+0530,950,950,950,950,12,0
2023-03-31T00:00:00+0530,851,905,851,905,35,0
2023-04-03T00:00:00+0530,906,906,906,906,12,0
2023-04-06T00:00:00+0530,850,850,850,850,12,0
2023-04-10T00:00:00+0530,938,938,938,938,50,0
2023-04-11T00:00:00+0530,938,941,938,941,68,0
2023-04-12T00:00:00+0530,941,941,938,941,312,0
2023-04-13T00:00:00+0530,926,926,926,926,6,0
2023-04-17T00:00:00+0530,892,911,892,911,39,0
2023-04-18T00:00:00+0530,916,920,916,920,25,0
2023-04-19T00:00:00+0530,916,930,916,930,293,0
2023-04-20T00:00:00+0530,930,930,930,930,10,0
2023-04-21T00:00:00+0530,964,964,964,964,24,0
2023-04-24T00:00:00+0530,974,974,950,950,64,0
2023-04-25T00:00:00+0530,902,902,902,902,24,0
2023-04-26T00:00:00+0530,902,902,902,902,24,0
2023-04-27T00:00:00+0530,913,913,913,913,50,0
2023-04-28T00:00:00+0530,903,903,903,903,24,0
2023-05-02T00:00:00+0530,930,930,930,930,20,0
2023-05-03T00:00:00+0530,903,966,903,966,109,0
2023-05-04T00:00:00+0530,950,951,950,951,55,0
2023-05-08T00:00:00+0530,902,966,902,966,124,0
2023-05-09T00:00:00+0530,902,902,902,902,24,0
2023-05-10T00:00:00+0530,904,904,904,904,24,0
2023-05-15T00:00:00+0530,1000,1000,1000,1000,24,0
2023-05-19T00:00:00+0530,999,999,999,999,24,0
2023-05-22T00:00:00+0530,968,968,950,950,26,0
2023-05-23T00:00:00+0530,973,973,973,973,24,0
2023-05-25T00:00:00+0530,968.92,973,968.92,973,100,0
2023-05-26T00:00:00+0530,950,950,950,950,78,0
2023-05-29T00:00:00+0530,969,969,969,969,24,0
2023-05-30T00:00:00+0530,969,969,960,960,65,0
2023-05-31T00:00:00+0530,902,925,902,925,295,0
2023-06-05T00:00:00+0530,926,969,926,960,56,0
2023-06-06T00:00:00+0530,960,960,960,960,46,0
2023-06-07T00:00:00+0530,971,972,971,972,40,0
2023-06-08T00:00:00+0530,950,950,950,950,50,0
2023-06-09T00:00:00+0530,926,926,926,926,40,0
2023-06-13T00:00:00+0530,881,881,881,881,40,0
2023-06-14T00:00:00+0530,826,826,826,826,45,0
2023-06-15T00:00:00+0530,920,955,916,945.01,188,0
2023-06-19T00:00:00+0530,977,977,970,970,65,0
2023-06-20T00:00:00+0530,980,980,980,980,45,0
2023-06-22T00:00:00+0530,980,980,972.99,972.99,46,0
2023-06-23T00:00:00+0530,921,921,921,921,45,0
2023-06-26T00:00:00+0530,1000,1000,1000,1000,45,0
2023-06-27T00:00:00+0530,974,974,973,974,60,0
2023-06-30T00:00:00+0530,968,968,950,950,55,0
2023-07-03T00:00:00+0530,975,975,945,945,75,0
2023-07-05T00:00:00+0530,827,954.99,827,954.99,16,0
2023-07-06T00:00:00+0530,830,830,830,830,31,0
2023-07-10T00:00:00+0530,826,900,826,900,46,0
2023-07-11T00:00:00+0530,940,950,940,950,17,0
2023-07-12T00:00:00+0530,826,956,826,955.66,245,0
2023-07-13T00:00:00+0530,833,955.3,833,935,84,0
2023-07-17T00:00:00+0530,950,950,950,950,30,0
2023-07-18T00:00:00+0530,950,950,950,950,10,0
2023-07-19T00:00:00+0530,950,950,949,950,65,0
2023-07-20T00:00:00+0530,1000,1000,930,930,56,0
2023-07-21T00:00:00+0530,999,999,999,999,10,0
2023-07-24T00:00:00+0530,1000,1000,1000,1000,10,0
2023-07-25T00:00:00+0530,977,977,977,977,10,0
2023-07-26T00:00:00+0530,959,959,959,959,10,0
2023-07-28T00:00:00+0530,959,959,925,930,80,0
