date,open,high,low,close,volume,empty
2024-07-12T00:00:00+0530,816,816,816,816,10,0
2024-07-16T00:00:00+0530,979,979,979,979,10,0
2024-09-18T00:00:00+0530,925,979,900.7,975,461,0
2024-10-25T00:00:00+0530,870.3,950,870,950,112,0
2024-11-18T00:00:00+0530,900.3,959,900.3,950,424,0
2025-01-17T00:00:00+0530,950,950,950,950,47,0
2025-01-28T00:00:00+0530,950,950,950,950,53,0
2025-02-27T00:00:00+0530,960,960,960,960,114,0
2025-02-28T00:00:00+0530,940,999,936,985.79,1000,0
2025-03-19T00:00:00+0530,902.2,902.2,902.2,902.2,10,0
2025-03-26T00:00:00+0530,980,980,980,980,10,0
2025-04-01T00:00:00+0530,960,960,960,960,64,0
2025-04-02T00:00:00+0530,955,955,955,955,75,0
2025-04-03T00:00:00+0530,960,960,960,960,43,0
2025-04-08T00:00:00+0530,960,960,960,960,112,0
2025-04-11T00:00:00+0530,965,965,965,965,271,0
2025-05-06T00:00:00+0530,965,965,965,965,30,0
2025-05-19T00:00:00+0530,964,964,963,963,33,0
2025-05-20T00:00:00+0530,962,962,962,962,90,0
2025-05-21T00:00:00+0530,961,961,961,961,7,0
2025-06-04T00:00:00+0530,950,950,950,950,10,0
2025-07-24T00:00:00+0530,950,950,948,948,6,0
2025-08-08T00:00:00+0530,900.3,900.3,900.3,900.3,10,0
