date,open,high,low,close,volume,empty
2024-06-11T00:00:00+0530,900.3,900.3,900.3,900.3,10,0
2024-07-08T00:00:00+0530,923.25,923.25,923.25,923.25,10,0
2024-07-10T00:00:00+0530,974.7,974.7,974.7,974.7,10,0
2024-07-19T00:00:00+0530,973.6,973.6,973.6,973.6,10,0
2024-08-14T00:00:00+0530,973.6,973.6,973.6,973.6,10,0
2024-10-21T00:00:00+0530,949.26,966,949.26,966,20,0
2024-11-11T00:00:00+0530,941.85,941.85,941.85,941.85,50,0
2025-01-07T00:00:00+0530,941.85,941.85,941.85,941.85,15,0
2025-01-08T00:00:00+0530,995,995,995,995,15,0
2025-01-30T00:00:00+0530,995,1005.7,995,1004,256,0
2025-02-19T00:00:00+0530,1004,1013.36,1004,1012.28,200,0
2025-05-05T00:00:00+0530,992.03,1050,992.03,1050,40,0
2025-06-13T00:00:00+0530,980,980,980,980,10,0
2025-07-14T00:00:00+0530,940.3,940.3,940.3,940.3,18,0
2025-07-23T00:00:00+0530,943.2,977.8,943.2,977.8,40,0
2025-08-04T00:00:00+0530,999,999,999,999,15,0
2025-08-14T00:00:00+0530,980,1000.89,980,1000.89,20,0
