date,open,high,low,close,volume,empty
2023-07-04T00:00:00+0530,901,931.01,901,925.51,33,0
2023-07-05T00:00:00+0530,940,950.1,940,950,30,0
2023-07-06T00:00:00+0530,990,990,990,990,50,0
2023-07-07T00:00:00+0530,990,990,990,990,10,0
2023-07-10T00:00:00+0530,980,980,980,980,20,0
2023-07-11T00:00:00+0530,979,979,965,965,47,0
2023-07-13T00:00:00+0530,970,970.05,967,967,88,0
2023-07-14T00:00:00+0530,970,970,970,970,10,0
2023-07-17T00:00:00+0530,990,990,990,990,4,0
2023-07-18T00:00:00+0530,990,990,990,990,31,0
2023-07-19T00:00:00+0530,990,990,980,980,265,0
2023-07-20T00:00:00+0530,980,980,980,980,51,0
2023-07-21T00:00:00+0530,975,975,970,970,248,0
2023-07-24T00:00:00+0530,970,970,901,950,475,0
2023-07-25T00:00:00+0530,951.1,951.1,946.11,950,360,0
2023-07-26T00:00:00+0530,950,950,950,950,68,0
2023-07-27T00:00:00+0530,950,950,923,950,99,0
2023-07-28T00:00:00+0530,950,950,950,950,9,0
2023-07-31T00:00:00+0530,950,950,950,950,70,0
2023-08-01T00:00:00+0530,950,969,950,969,10,0
2023-08-02T00:00:00+0530,950,950,941.1,941.26,700,0
2023-08-04T00:00:00+0530,950.25,950.3,950.25,950.3,12,0
2023-08-07T00:00:00+0530,970,970,970,970,230,0
2023-08-09T00:00:00+0530,959.4,959.4,955,955,15,0
2023-08-10T00:00:00+0530,955,955,954,955,485,0
2023-08-11T00:00:00+0530,955,955,955,955,517,0
2023-08-14T00:00:00+0530,940.1,955,940.1,955,15,0
2023-08-17T00:00:00+0530,960,960,955,955,21,0
2023-08-18T00:00:00+0530,940.1,942.1,940.1,942.1,19,0
2023-08-21T00:00:00+0530,942.1,950,941,943.02,51,0
2023-08-22T00:00:00+0530,940.1,940.1,940.1,940.1,29,0
2023-08-24T00:00:00+0530,943.1,943.2,943.1,943.1,71,0
2023-08-25T00:00:00+0530,950,950,950,950,39,0
2023-08-28T00:00:00+0530,955,955,955,955,100,0
2023-08-29T00:00:00+0530,956,956,955,955,79,0
2023-08-30T00:00:00+0530,960,960,960,960,20,0
2023-08-31T00:00:00+0530,964,964,964,964,5,0
2023-09-04T00:00:00+0530,964,964,964,964,1,0
2023-09-05T00:00:00+0530,941.2,941.27,941.2,941.22,110,0
2023-09-07T00:00:00+0530,941.95,999,940,999,1162,0
2023-09-08T00:00:00+0530,999,999,999,999,148,0
2023-09-11T00:00:00+0530,902,950,902,945,210,0
2023-09-12T00:00:00+0530,940.1,940.1,920,920,491,0
2023-09-13T00:00:00+0530,920,940,920,935,583,0
2023-09-14T00:00:00+0530,950,950,950,950,66,0
2023-09-21T00:00:00+0530,950,960,950,960,40,0
2023-09-22T00:00:00+0530,960,960,960,960,23,0
2023-09-26T00:00:00+0530,955,955,955,955,10,0
2023-09-28T00:00:00+0530,930,930,920.01,928,25,0
2023-09-29T00:00:00+0530,960,960,960,960,10,0
2023-10-03T00:00:00+0530,920.1,935,920,935,550,0
2023-10-06T00:00:00+0530,926,926,920.01,920.01,145,0
2023-10-10T00:00:00+0530,920.02,958,920.02,940,91,0
2023-10-11T00:00:00+0530,971.98,1000,971.98,980,111,0
2023-10-12T00:00:00+0530,981,981,981,981,10,0
2023-10-13T00:00:00+0530,931.1,931.1,931.1,931.1,9,0
2023-10-16T00:00:00+0530,935.35,935.35,935.35,935.35,5,0
2023-10-26T00:00:00+0530,923.7,923.7,901.4,901.4,58,0
2023-11-06T00:00:00+0530,950,950,950,950,5,0
2023-11-07T00:00:00+0530,950,950,950,950,50,0
2023-11-08T00:00:00+0530,950,950,930,950,32,0
2023-11-15T00:00:00+0530,915.11,915.11,910,910,105,0
2023-11-16T00:00:00+0530,950,950,950,950,33,0
2023-11-20T00:00:00+0530,935,935,935,935,1,0
2023-11-24T00:00:00+0530,935,935,935,935,1,0
2023-11-30T00:00:00+0530,950,950,950,950,6,0
2023-12-01T00:00:00+0530,950,950,950,950,5,0
2023-12-04T00:00:00+0530,951,951,920,920,510,0
2023-12-05T00:00:00+0530,920.5,920.5,920.01,920.1,10,0
2023-12-13T00:00:00+0530,920.1,920.1,920.1,920.1,10,0
2023-12-18T00:00:00+0530,923,923,923,923,10,0
2023-12-19T00:00:00+0530,940,940,940,940,10,0
2023-12-26T00:00:00+0530,940,940,940,940,10,0
2023-12-27T00:00:00+0530,987.7,987.7,987.7,987.7,14,0
2024-01-01T00:00:00+0530,987.5,987.5,987.5,987.5,120,0
2024-01-03T00:00:00+0530,987.5,987.5,987.5,987.5,16,0
2024-01-05T00:00:00+0530,960,960,950,950,65,0
2024-01-08T00:00:00+0530,924.13,935,924.13,935,185,0
2024-01-09T00:00:00+0530,936.25,936.25,936.2,936.2,30,0
2024-01-10T00:00:00+0530,970,987.5,970,983.67,435,0
2024-01-11T00:00:00+0530,923.7,987.4,923.7,987.4,40,0
2024-01-16T00:00:00+0530,975,987.4,975,987.4,235,0
2024-01-18T00:00:00+0530,950.2,950.2,930,930,225,0
2024-01-19T00:00:00+0530,967.8,967.8,967.8,967.8,20,0
2024-01-23T00:00:00+0530,967.8,967.8,967.8,967.8,13,0
2024-01-24T00:00:00+0530,967.8,967.8,967.8,967.8,1,0
2024-01-25T00:00:00+0530,967.8,967.8,967.8,967.8,13,0
2024-01-29T00:00:00+0530,967.8,967.8,967.8,967.8,20,0
2024-01-30T00:00:00+0530,967.8,967.8,967.8,967.8,222,0
2024-02-06T00:00:00+0530,967.8,967.8,951.2,951.36,210,0
2024-02-08T00:00:00+0530,953.21,953.21,953.21,953.21,13,0
2024-02-09T00:00:00+0530,952.21,960,952.21,960,550,0
2024-02-12T00:00:00+0530,960,971.8,960,971.8,559,0
2024-02-13T00:00:00+0530,960,971.8,960,971.8,84,0
2024-02-14T00:00:00+0530,971.8,971.8,971.8,971.8,80,0
2024-02-15T00:00:00+0530,975,975,970,975,423,0
2024-02-16T00:00:00+0530,975,975,975,975,327,0
2024-02-20T00:00:00+0530,975.5,975.5,975.5,975.5,2,0
2024-02-21T00:00:00+0530,976,976,972,976,835,0
2024-02-22T00:00:00+0530,976,976,976,976,937,0
2024-02-23T00:00:00+0530,976,976,975.8,976,608,0
2024-02-28T00:00:00+0530,942.7,942.7,942.7,942.7,10,0
2024-03-01T00:00:00+0530,985,985,985,985,5,0
2024-03-04T00:00:00+0530,960.2,960.2,960.2,960.2,1,0
2024-03-05T00:00:00+0530,960.2,960.2,960.2,960.2,190,0
2024-03-06T00:00:00+0530,871,940,871,930,200,0
2024-03-07T00:00:00+0530,969.8,970,969.8,969.95,261,0
2024-03-11T00:00:00+0530,969.7,969.7,950.2,950.2,110,0
2024-03-18T00:00:00+0530,945.2,945.2,945.2,945.2,472,0
2024-03-20T00:00:00+0530,923.2,924.19,915,917.84,1275,0
2024-03-21T00:00:00+0530,930,930,920,920,700,0
2024-03-22T00:00:00+0530,939.8,939.8,938,938,33,0
2024-03-26T00:00:00+0530,925,930,925,930,231,0
2024-03-27T00:00:00+0530,938.8,938.8,925,925,227,0
2024-03-28T00:00:00+0530,930,939.8,930,939.8,88,0
2024-04-03T00:00:00+0530,939,939,930,931,400,0
2024-04-05T00:00:00+0530,941.8,941.8,924,924,325,0
2024-04-08T00:00:00+0530,941.8,941.8,941.8,941.8,65,0
2024-04-09T00:00:00+0530,955.8,955.8,955.8,955.8,1,0
2024-04-10T00:00:00+0530,958,958,958,958,20,0
2024-04-12T00:00:00+0530,958.8,958.8,958.8,958.8,125,0
2024-04-15T00:00:00+0530,958.8,958.8,950,950.38,138,0
2024-04-16T00:00:00+0530,950,950,940,940.1,529,0
2024-04-18T00:00:00+0530,945,948,945,945.3,110,0
2024-04-19T00:00:00+0530,945,945,945,945,295,0
2024-04-22T00:00:00+0530,956.8,956.8,956.8,956.8,63,0
2024-04-23T00:00:00+0530,957,957,956.8,956.8,152,0
2024-04-24T00:00:00+0530,956.8,956.8,956.8,956.8,1,0
2024-04-25T00:00:00+0530,945.2,945.2,945.2,945.2,1,0
2024-04-26T00:00:00+0530,956.8,956.8,956.8,956.8,23,0
2024-05-13T00:00:00+0530,968,968,968,968,400,0
2024-05-16T00:00:00+0530,963.2,979.95,963.2,979.95,1075,0
2024-05-21T00:00:00+0530,970.1,970.2,970.1,970.14,35,0
2024-05-22T00:00:00+0530,965.2,965.2,965.2,965.2,50,0
2024-05-23T00:00:00+0530,965.2,965.2,965.2,965.2,52,0
2024-05-24T00:00:00+0530,970,970.2,970,970.2,192,0
2024-05-28T00:00:00+0530,980,980,980,980,540,0
2024-05-29T00:00:00+0530,975,975,975,975,59,0
2024-05-31T00:00:00+0530,979.8,979.8,979.8,979.8,33,0
2024-06-03T00:00:00+0530,980,980,970.2,970.2,115,0
2024-06-04T00:00:00+0530,980,980,980,980,20,0
2024-06-06T00:00:00+0530,980,980,980,980,20,0
2024-06-10T00:00:00+0530,975,980,970.2,980,210,0
2024-06-12T00:00:00+0530,950,950,950,950,107,0
2024-06-13T00:00:00+0530,950,950,925,930,125,0
2024-06-14T00:00:00+0530,932,932,920,922.33,27,0
2024-06-18T00:00:00+0530,920,920,901,920,177,0
2024-06-19T00:00:00+0530,928,928,928,928,16,0
2024-06-21T00:00:00+0530,928,928,928,928,93,0
2024-06-24T00:00:00+0530,901,901,901,901,87,0
2024-06-27T00:00:00+0530,918,918,907.1,915,246,0
2024-06-28T00:00:00+0530,920,920,913,913.83,152,0
2024-07-01T00:00:00+0530,916,916,913.83,913.83,85,0
2024-07-02T00:00:00+0530,913,914,886,910,183,0
2024-07-03T00:00:00+0530,911,911,906,906,50,0
2024-07-04T00:00:00+0530,915,920,906,906,131,0
2024-07-05T00:00:00+0530,910,910,910,910,50,0
2024-07-09T00:00:00+0530,910,910,910,910,50,0
2024-07-10T00:00:00+0530,910,910,910,910,103,0
2024-07-11T00:00:00+0530,915,915,915,915,39,0
2024-07-15T00:00:00+0530,915,916,915,915.23,20,0
2024-07-16T00:00:00+0530,916,916,915,916,145,0
2024-07-22T00:00:00+0530,916,916,916,916,5,0
2024-07-23T00:00:00+0530,912,912,912,912,50,0
2024-07-25T00:00:00+0530,912,912,909.05,909.27,57,0
2024-07-30T00:00:00+0530,906,906,902,902.25,580,0
2024-07-31T00:00:00+0530,910,910,910,910,5,0
2024-08-01T00:00:00+0530,903,905,900,905,901,0
2024-08-05T00:00:00+0530,901,901,900.05,900.36,15,0
2024-08-06T00:00:00+0530,902,902,900.05,901.67,6,0
2024-08-09T00:00:00+0530,960.35,960.35,960.35,960.35,5,0
2024-08-12T00:00:00+0530,925,925,900,900.59,84,0
2024-08-13T00:00:00+0530,905,905,905,905,26,0
2024-08-14T00:00:00+0530,905,905,905,905,32,0
2024-08-16T00:00:00+0530,906,906.2,905,905.18,48,0
2024-08-19T00:00:00+0530,910,910,905.65,907.1,75,0
2024-08-20T00:00:00+0530,901,901.2,900.8,901.2,200,0
2024-08-22T00:00:00+0530,910,910,910,910,290,0
2024-08-23T00:00:00+0530,903,903,902.2,902.67,50,0
2024-08-26T00:00:00+0530,912,912,905,905,40,0
2024-08-28T00:00:00+0530,912,912,907,907,67,0
2024-08-29T00:00:00+0530,907,907,907,907,10,0
2024-09-10T00:00:00+0530,907,907,907,907,50,0
2024-09-13T00:00:00+0530,905.2,916.8,900,914,850,0
2024-09-16T00:00:00+0530,914,916.8,904.8,916.8,300,0
2024-09-20T00:00:00+0530,939,939,900,918,653,0
2024-09-23T00:00:00+0530,925.2,925.2,925.2,925.2,15,0
2024-10-08T00:00:00+0530,907.2,907.2,907.2,907.2,10,0
2024-10-10T00:00:00+0530,930,930,930,930,100,0
2024-10-14T00:00:00+0530,930,930,930,930,10,0
2024-10-21T00:00:00+0530,930,930,930,930,136,0
2024-10-23T00:00:00+0530,930,930,930,930,40,0
2024-10-24T00:00:00+0530,932,932,930,930,56,0
2024-10-28T00:00:00+0530,932,932,921.2,921.21,105,0
2024-10-29T00:00:00+0530,932,932,932,932,418,0
2024-10-30T00:00:00+0530,920.2,940,920.2,940,50,0
2024-10-31T00:00:00+0530,1099.99,1099.99,939,939,20,0
2024-11-07T00:00:00+0530,950,951,950,951,30,0
2024-11-13T00:00:00+0530,936.21,936.21,936.21,936.21,10,0
2024-11-14T00:00:00+0530,936,960,936,940.21,260,0
2024-11-19T00:00:00+0530,950,950,950,950,167,0
2024-11-21T00:00:00+0530,936.2,950,936,950,210,0
2024-11-22T00:00:00+0530,951.8,951.8,935.21,951,291,0
2024-11-25T00:00:00+0530,963,963,963,963,40,0
2024-11-26T00:00:00+0530,945.95,950,945.95,950,57,0
2024-11-27T00:00:00+0530,960,960,960,960,5,0
2024-11-29T00:00:00+0530,942.2,955.8,942,955.8,400,0
2024-12-03T00:00:00+0530,964,964,964,964,30,0
2024-12-04T00:00:00+0530,965,965,965,965,307,0
2024-12-10T00:00:00+0530,970.25,970.25,970.25,970.25,2,0
2024-12-17T00:00:00+0530,973.25,973.25,973.25,973.25,10,0
2024-12-23T00:00:00+0530,955.2,956.2,922,956.2,285,0
2024-12-26T00:00:00+0530,973.8,980,973.8,980,2310,0
2024-12-27T00:00:00+0530,971.01,971.01,971.01,971.01,4,0
2024-12-31T00:00:00+0530,970,974.5,970,974.5,605,0
2025-01-01T00:00:00+0530,974.5,974.5,963.2,963.2,280,0
2025-01-02T00:00:00+0530,974.5,974.5,974.5,974.5,101,0
2025-01-03T00:00:00+0530,972,972,972,972,20,0
2025-01-06T00:00:00+0530,969,969,969,969,52,0
2025-01-08T00:00:00+0530,967.8,967.8,967.51,967.51,500,0
2025-01-09T00:00:00+0530,971.9,971.9,971,971,207,0
2025-01-10T00:00:00+0530,972.4,972.4,971,971,100,0
2025-01-13T00:00:00+0530,973.1,973.1,920,930,700,0
2025-01-15T00:00:00+0530,974.8,975,974.8,975,395,0
2025-01-17T00:00:00+0530,980,980,980,980,20,0
2025-01-20T00:00:00+0530,980,980,980,980,25,0
2025-01-23T00:00:00+0530,976.26,976.26,976.26,976.26,50,0
2025-01-24T00:00:00+0530,977.16,977.16,977.16,977.16,70,0
2025-01-31T00:00:00+0530,985,985,980,980,195,0
2025-02-03T00:00:00+0530,978.4,978.4,973.2,973.5,137,0
2025-02-04T00:00:00+0530,980,980,979.84,979.84,225,0
2025-02-05T00:00:00+0530,980,980,980,980,50,0
2025-02-06T00:00:00+0530,981,981,981,981,20,0
2025-02-07T00:00:00+0530,982,982,981.9,981.95,55,0
2025-02-11T00:00:00+0530,981.9,982,981.9,982,125,0
2025-02-17T00:00:00+0530,975.2,984,975.2,984,190,0
2025-02-18T00:00:00+0530,984,984,984,984,500,0
2025-02-19T00:00:00+0530,976.8,985,976.8,976.8,581,0
2025-02-20T00:00:00+0530,985,990.2,985,990.2,210,0
2025-02-28T00:00:00+0530,992,992,992,992,4,0
2025-03-04T00:00:00+0530,992.95,995,992.95,995,51,0
2025-03-05T00:00:00+0530,992,992,984.6,984.6,210,0
2025-03-24T00:00:00+0530,1000,1000,1000,1000,10,0
2025-03-25T00:00:00+0530,1003.9,1003.9,995.2,995.2,36,0
2025-03-26T00:00:00+0530,1004.2,1006,1004.2,1006,70,0
2025-03-27T00:00:00+0530,1006,1006.3,1006,1006.04,66,0
2025-03-28T00:00:00+0530,1000,1000,1000,1000,600,0
2025-04-02T00:00:00+0530,997.2,997.2,997.2,997.2,10,0
2025-04-07T00:00:00+0530,1001,1001,1001,1001,60,0
2025-04-08T00:00:00+0530,1001,1001.2,1000,1000.32,850,0
2025-04-17T00:00:00+0530,1003.21,1003.21,1003.21,1003.21,10,0
2025-04-21T00:00:00+0530,1005.5,1005.5,1003.21,1003.21,250,0
2025-04-22T00:00:00+0530,1012.8,1013,1012.8,1012.92,500,0
2025-04-23T00:00:00+0530,1007,1013,1007,1013,105,0
2025-04-25T00:00:00+0530,1006.5,1022.75,1006.5,1020,137,0
2025-04-30T00:00:00+0530,1020,1020.4,1020,1020.33,12,0
2025-05-02T00:00:00+0530,1020.9,1020.9,1020.9,1020.9,10,0
2025-05-05T00:00:00+0530,1021.7,1021.7,1021.7,1021.7,10,0
2025-05-07T00:00:00+0530,1021.79,1021.79,1008,1010.32,2225,0
2025-05-16T00:00:00+0530,1020.51,1020.51,1020.51,1020.51,30,0
2025-05-20T00:00:00+0530,1022.29,1022.29,1022,1022,420,0
2025-05-21T00:00:00+0530,1017.2,1017.2,1017.2,1017.2,100,0
2025-06-03T00:00:00+0530,1026.2,1026.2,1026.2,1026.2,10,0
2025-06-11T00:00:00+0530,1033.6,1033.6,1033.6,1033.6,3,0
2025-06-12T00:00:00+0530,999.8,999.8,990,990,40,0
2025-06-13T00:00:00+0530,983,983,980,980.8,80,0
2025-06-20T00:00:00+0530,980,980,980,980,5,0
2025-06-24T00:00:00+0530,980,980,980,980,18,0
2025-07-01T00:00:00+0530,976,980,970,970,51,0
2025-07-02T00:00:00+0530,970,971,960.05,960.05,250,0
2025-07-03T00:00:00+0530,975.05,975.05,975.05,975.05,1,0
2025-07-04T00:00:00+0530,975,976,975,976,62,0
2025-07-07T00:00:00+0530,975,975,975,975,52,0
2025-07-08T00:00:00+0530,976,976,976,976,11,0
2025-07-11T00:00:00+0530,975.5,975.5,975.5,975.5,135,0
2025-07-23T00:00:00+0530,975.5,975.5,975.5,975.5,100,0
2025-07-24T00:00:00+0530,975.5,975.5,975.5,975.5,60,0
2025-07-29T00:00:00+0530,980,980,980,980,400,0
2025-07-31T00:00:00+0530,975,975,975,975,100,0
2025-08-06T00:00:00+0530,975.15,975.15,975,975,50,0
2025-08-11T00:00:00+0530,975,975,975,975,1000,0
2025-08-12T00:00:00+0530,975,975.05,970.5,975.05,1002,0
2025-08-18T00:00:00+0530,946,975,946,974.97,406,0
2025-08-20T00:00:00+0530,974.97,974.97,974.97,974.97,7,0
2025-08-21T00:00:00+0530,970,970,970,970,3,0
2025-08-26T00:00:00+0530,970,970,970,970,200,0
2025-08-28T00:00:00+0530,972,972,972,972,55,0
2025-08-29T00:00:00+0530,972,972,972,972,200,0
