date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,24.3,24.6,23.75,24.05,14439,0
2023-01-03T00:00:00+0530,25.35,25.8,23,25.35,43517,0
2023-01-04T00:00:00+0530,25.3,27.7,25,27.1,233029,0
2023-01-05T00:00:00+0530,28,28,26,26.35,39416,0
2023-01-06T00:00:00+0530,26.65,26.95,25,26,28565,0
2023-01-09T00:00:00+0530,27.15,27.15,24.4,25.05,30555,0
2023-01-10T00:00:00+0530,25.3,25.35,24.05,24.4,22609,0
2023-01-11T00:00:00+0530,25.85,25.85,24.25,24.9,17398,0
2023-01-12T00:00:00+0530,24.5,26,24.5,25.05,34183,0
2023-01-13T00:00:00+0530,24.35,25.1,24.3,24.75,12393,0
2023-01-16T00:00:00+0530,24.2,29.7,24.2,26.2,647602,0
2023-01-17T00:00:00+0530,25.7,27.5,25.6,26.65,66149,0
2023-01-18T00:00:00+0530,26.95,27.45,25.6,26,19511,0
2023-01-19T00:00:00+0530,26,26.05,25.45,25.55,12932,0
2023-01-20T00:00:00+0530,25.7,26.5,25.2,25.85,7671,0
2023-01-23T00:00:00+0530,25.9,27.85,25.2,25.7,34396,0
2023-01-24T00:00:00+0530,26.35,26.9,25.7,26,27027,0
2023-01-25T00:00:00+0530,26.4,26.4,24.3,25.1,25847,0
2023-01-27T00:00:00+0530,25.45,25.5,24.35,24.8,22094,0
2023-01-30T00:00:00+0530,25.25,25.5,24.55,24.8,19164,0
2023-01-31T00:00:00+0530,25.3,25.4,24.55,24.75,8616,0
2023-02-01T00:00:00+0530,25,26.4,24.6,25.45,7767,0
2023-02-02T00:00:00+0530,24.55,25.5,24.35,24.55,19460,0
2023-02-03T00:00:00+0530,25.4,25.4,22.8,24,26467,0
2023-02-06T00:00:00+0530,23.35,24.9,23.35,24.35,8366,0
2023-02-07T00:00:00+0530,24.45,24.45,23.1,23.95,8153,0
2023-02-08T00:00:00+0530,24.25,25.4,23.15,24.75,68082,0
2023-02-09T00:00:00+0530,24.8,25.4,24.2,24.4,13282,0
2023-02-10T00:00:00+0530,24.8,24.9,24.25,24.65,5523,0
2023-02-13T00:00:00+0530,24.85,24.9,22.75,24,23363,0
2023-02-14T00:00:00+0530,24,24.4,23.4,23.7,4804,0
2023-02-15T00:00:00+0530,23.65,24.25,22.75,23.35,12482,0
2023-02-16T00:00:00+0530,23.75,23.8,23.1,23.3,8062,0
2023-02-17T00:00:00+0530,23.85,23.85,22.9,23.05,5914,0
2023-02-20T00:00:00+0530,23.8,23.8,22.25,23.15,4629,0
2023-02-21T00:00:00+0530,23.85,23.85,22.7,22.8,1906,0
2023-02-22T00:00:00+0530,23.05,23.6,21.35,21.95,8702,0
2023-02-23T00:00:00+0530,22.2,22.65,20.8,21.3,7385,0
2023-02-24T00:00:00+0530,21.35,22.45,21.15,21.55,4945,0
2023-02-27T00:00:00+0530,21.8,21.8,20.2,20.9,9074,0
2023-02-28T00:00:00+0530,20.9,21.9,19.5,20.6,9716,0
2023-03-01T00:00:00+0530,20.6,22.1,20.15,20.65,26302,0
2023-03-02T00:00:00+0530,20.65,21.65,20.6,20.85,3401,0
2023-03-03T00:00:00+0530,20.85,21.85,20.85,21.55,4054,0
2023-03-06T00:00:00+0530,21.45,21.9,20.7,21.05,4040,0
2023-03-08T00:00:00+0530,21.45,21.45,20.55,20.95,10626,0
2023-03-09T00:00:00+0530,21.4,21.75,20.65,21.25,6387,0
2023-03-10T00:00:00+0530,21.45,21.75,20.6,20.9,10443,0
2023-03-13T00:00:00+0530,22.45,22.45,20.2,20.45,7482,0
2023-03-14T00:00:00+0530,21.45,21.45,20.2,20.35,10098,0
2023-03-15T00:00:00+0530,21.45,21.45,19.75,19.9,15625,0
2023-03-16T00:00:00+0530,19.35,20.6,19.35,19.9,1960,0
2023-03-17T00:00:00+0530,20.5,20.5,18.5,18.9,13150,0
2023-03-20T00:00:00+0530,18.4,19.35,18.4,18.85,7568,0
2023-03-21T00:00:00+0530,19.65,19.65,18.5,19.25,4607,0
2023-03-22T00:00:00+0530,19.8,19.8,19,19.55,3829,0
2023-03-23T00:00:00+0530,19.7,19.7,18.65,18.85,8094,0
2023-03-24T00:00:00+0530,19.15,19.7,18.2,18.65,10063,0
2023-03-27T00:00:00+0530,19.2,19.2,17.3,17.85,28861,0
2023-03-28T00:00:00+0530,18.35,18.35,17.05,17.3,13831,0
2023-03-29T00:00:00+0530,17.5,17.8,16.25,17.25,15041,0
2023-03-31T00:00:00+0530,17.9,18.5,17.2,18.15,15539,0
2023-04-03T00:00:00+0530,18.4,21,17.9,20.5,24812,0
2023-04-05T00:00:00+0530,22,23.9,19.35,22.25,71771,0
2023-04-06T00:00:00+0530,23.55,23.8,21.7,22.35,30212,0
2023-04-10T00:00:00+0530,23.35,23.8,22.2,23.45,30558,0
2023-04-11T00:00:00+0530,24.3,24.6,22.4,22.9,15019,0
2023-04-12T00:00:00+0530,23.4,23.4,22.4,22.8,5635,0
2023-04-13T00:00:00+0530,23.15,24.7,22.3,22.95,25903,0
2023-04-17T00:00:00+0530,23,23,21.9,22.2,6652,0
2023-04-18T00:00:00+0530,22.85,22.85,21.6,22.25,4607,0
2023-04-19T00:00:00+0530,22.9,22.9,21.8,22.15,5668,0
2023-04-20T00:00:00+0530,22.75,23.4,22.4,22.75,13101,0
2023-04-21T00:00:00+0530,23.3,23.3,22.6,22.75,4530,0
2023-04-24T00:00:00+0530,22.1,22.8,22.1,22.6,1922,0
2023-04-25T00:00:00+0530,22.7,22.9,21.15,21.6,46066,0
2023-04-26T00:00:00+0530,22.35,22.35,21.2,22.25,5174,0
2023-04-27T00:00:00+0530,22.7,22.7,21.3,21.85,8153,0
2023-04-28T00:00:00+0530,21.75,22.65,21.6,22.3,9883,0
2023-05-02T00:00:00+0530,22.8,23.15,21.75,22.5,23537,0
2023-05-03T00:00:00+0530,23.15,23.15,20.5,21.6,12872,0
2023-05-04T00:00:00+0530,22.35,22.35,21.15,21.9,6033,0
2023-05-05T00:00:00+0530,21.85,22.3,21.2,21.5,7130,0
2023-05-08T00:00:00+0530,21.5,22.2,20.2,21.45,28581,0
2023-05-09T00:00:00+0530,21.8,21.8,21.2,21.4,2560,0
2023-05-10T00:00:00+0530,21.3,21.8,21.25,21.4,2084,0
2023-05-11T00:00:00+0530,21.3,22.35,21.2,21.65,5162,0
2023-05-12T00:00:00+0530,22.1,22.15,21.3,21.45,2623,0
2023-05-15T00:00:00+0530,21.25,22.85,21.25,21.4,11165,0
2023-05-16T00:00:00+0530,21.3,21.9,20.6,20.9,32268,0
2023-05-17T00:00:00+0530,21.4,21.4,20.5,20.75,5863,0
2023-05-18T00:00:00+0530,21.75,21.75,20.65,20.8,3651,0
2023-05-19T00:00:00+0530,20.95,21.35,20.3,20.95,6054,0
2023-05-22T00:00:00+0530,21.35,21.4,19.85,20.4,27130,0
2023-05-23T00:00:00+0530,20.85,20.85,20.25,20.45,4228,0
2023-05-24T00:00:00+0530,20.75,20.8,20.1,20.4,7001,0
2023-05-25T00:00:00+0530,20.15,20.85,20.15,20.35,5451,0
2023-05-26T00:00:00+0530,20.65,21.6,20.1,20.55,9416,0
2023-05-29T00:00:00+0530,20.8,21,20.2,20.5,7088,0
2023-05-30T00:00:00+0530,20.85,20.85,20.4,20.7,2413,0
2023-05-31T00:00:00+0530,19.85,20.85,19.85,20,15077,0
2023-06-01T00:00:00+0530,20.55,21,20.05,20.5,17012,0
2023-06-02T00:00:00+0530,21.45,22.4,20.45,21.4,26492,0
2023-06-05T00:00:00+0530,21,21.25,20.6,21,10484,0
2023-06-06T00:00:00+0530,21.65,21.65,20.55,20.75,7197,0
2023-06-07T00:00:00+0530,20.9,22.45,20.4,21.25,12803,0
2023-06-08T00:00:00+0530,22.2,22.2,20.45,20.5,14123,0
2023-06-09T00:00:00+0530,21.25,21.25,20.2,20.8,9881,0
2023-06-12T00:00:00+0530,21.25,21.25,20.7,20.75,3162,0
2023-06-13T00:00:00+0530,20.75,21.05,20.7,21,10454,0
2023-06-14T00:00:00+0530,21.3,21.3,20.35,20.55,7834,0
2023-06-15T00:00:00+0530,20.55,20.85,20.05,20.4,21017,0
2023-06-16T00:00:00+0530,20.9,20.9,20.3,20.5,8362,0
2023-06-19T00:00:00+0530,20.2,20.8,19.8,20.1,8488,0
2023-06-20T00:00:00+0530,20,22,19.65,20.5,70039,0
2023-06-21T00:00:00+0530,20.95,21.65,20.5,20.55,25332,0
2023-06-22T00:00:00+0530,21,21,20.3,20.4,8997,0
2023-06-23T00:00:00+0530,21.15,21.15,19.5,20.2,25535,0
2023-06-26T00:00:00+0530,20.85,20.85,19.95,20.05,6382,0
2023-06-27T00:00:00+0530,20.8,20.8,20.05,20.1,12054,0
2023-06-28T00:00:00+0530,20.2,20.25,19.95,20,11758,0
2023-06-30T00:00:00+0530,20,20.65,19.75,20.05,9116,0
2023-07-03T00:00:00+0530,19.85,20.45,19.85,20.3,7804,0
2023-07-04T00:00:00+0530,20.65,20.65,19.9,20.05,6516,0
2023-07-05T00:00:00+0530,20.55,20.55,19.9,20.05,2985,0
2023-07-06T00:00:00+0530,20.5,20.5,20.15,20.2,6859,0
2023-07-07T00:00:00+0530,20.55,20.55,20.15,20.35,5162,0
2023-07-10T00:00:00+0530,20,20.6,20,20.5,13562,0
2023-07-11T00:00:00+0530,20.75,20.75,20.05,20.15,3062,0
2023-07-12T00:00:00+0530,20.35,20.4,20.1,20.25,7445,0
2023-07-13T00:00:00+0530,20.5,20.55,20,20.05,10597,0
2023-07-14T00:00:00+0530,20.6,20.6,20,20.2,12955,0
2023-07-17T00:00:00+0530,20.45,20.45,20.25,20.3,4784,0
2023-07-18T00:00:00+0530,20.5,24.35,20.1,24.35,866242,0
2023-07-19T00:00:00+0530,25.45,26,22.2,22.7,560483,0
2023-07-20T00:00:00+0530,23,23.7,21.35,21.7,79914,0
2023-07-21T00:00:00+0530,21.95,23.4,21.75,22.85,71394,0
2023-07-24T00:00:00+0530,23.35,23.5,21.9,22.05,48781,0
2023-07-25T00:00:00+0530,22.1,22.9,21.25,21.65,31770,0
2023-07-26T00:00:00+0530,21.65,22.4,21.2,21.75,35913,0
2023-07-27T00:00:00+0530,22.65,22.65,21.7,22.3,24791,0
2023-07-28T00:00:00+0530,22.7,23.85,21.8,22.65,110738,0
2023-07-31T00:00:00+0530,22.95,23.05,21.5,22.1,51163,0
2023-08-01T00:00:00+0530,22.05,22.85,21.9,22.1,20191,0
2023-08-02T00:00:00+0530,22.9,24.55,22.1,23.2,246106,0
2023-08-03T00:00:00+0530,23.2,23.3,22.65,22.85,20974,0
2023-08-04T00:00:00+0530,23.45,23.6,22.85,23,17274,0
2023-08-07T00:00:00+0530,23.2,23.85,22.6,23,13523,0
2023-08-08T00:00:00+0530,23,23.65,22.7,22.85,10830,0
2023-08-09T00:00:00+0530,23.65,23.65,22.6,22.7,19850,0
2023-08-10T00:00:00+0530,23.4,23.4,22.4,22.8,21548,0
2023-08-11T00:00:00+0530,22.8,24.7,22.65,23.85,184428,0
2023-08-14T00:00:00+0530,24.2,24.9,22.65,23.25,188477,0
2023-08-16T00:00:00+0530,23.25,23.4,22,22.6,40318,0
2023-08-17T00:00:00+0530,22.85,22.95,22.3,22.35,33489,0
2023-08-18T00:00:00+0530,22.35,24.15,22.35,23.65,72534,0
2023-08-21T00:00:00+0530,23.65,24.25,23.25,23.95,87645,0
2023-08-22T00:00:00+0530,24.15,24.5,23.45,24,110736,0
2023-08-23T00:00:00+0530,24.4,24.5,23.45,23.75,56869,0
2023-08-24T00:00:00+0530,23.7,24.35,23.5,23.75,45186,0
2023-08-25T00:00:00+0530,23.75,24.15,23.45,23.75,31917,0
2023-08-28T00:00:00+0530,24,24.45,23.05,23.2,58836,0
2023-08-29T00:00:00+0530,23.5,24.25,23.15,23.45,52873,0
2023-08-30T00:00:00+0530,23.8,23.8,23.1,23.15,49678,0
2023-08-31T00:00:00+0530,23.35,23.4,20.2,22.5,98943,0
2023-09-01T00:00:00+0530,22.95,23.9,22.65,23.2,64347,0
2023-09-04T00:00:00+0530,23.8,23.8,22.9,23.15,36365,0
2023-09-05T00:00:00+0530,23.2,24.5,23,23.7,112658,0
2023-09-06T00:00:00+0530,24.2,24.2,23.45,23.8,20242,0
2023-09-07T00:00:00+0530,24.15,26.45,23.6,25.8,1064871,0
2023-09-08T00:00:00+0530,26.2,27.05,26,26.95,328161,0
2023-09-11T00:00:00+0530,27.15,27.15,25.85,26.05,97862,0
2023-09-12T00:00:00+0530,26.45,26.45,24,24,112948,0
2023-09-13T00:00:00+0530,24.2,25.5,23.8,24.55,34938,0
2023-09-14T00:00:00+0530,24.1,25.75,24.1,25.3,23393,0
2023-09-15T00:00:00+0530,25.05,25.9,24.85,25.15,43482,0
2023-09-18T00:00:00+0530,24.6,26.7,24.6,25.6,139031,0
2023-09-20T00:00:00+0530,25.6,25.95,24.4,24.6,50665,0
2023-09-21T00:00:00+0530,24.6,25.35,24.25,24.85,52476,0
2023-09-22T00:00:00+0530,25.2,25.2,24.25,24.55,29968,0
