date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,62.05,62.5,62.05,62.5,675,0
2023-01-03T00:00:00+0530,63.75,63.75,62.25,62.25,13,0
2023-01-04T00:00:00+0530,62.25,65.35,60.25,65.35,1018,0
2023-01-05T00:00:00+0530,68.6,68.6,64,67,210,0
2023-01-06T00:00:00+0530,70.35,70.35,67.5,67.5,516,0
2023-01-10T00:00:00+0530,70,70,67.9,67.9,259,0
2023-01-11T00:00:00+0530,71.25,71.25,68.5,68.5,296,0
2023-01-12T00:00:00+0530,68.5,68.5,68.5,68.5,504,0
2023-01-16T00:00:00+0530,68,68,65.1,65.1,2,0
2023-01-17T00:00:00+0530,68.35,68.35,65.1,65.1,153,0
2023-01-18T00:00:00+0530,61.85,61.85,61.85,61.85,1382,0
2023-01-19T00:00:00+0530,63.7,63.7,58.75,61.8,259,0
2023-01-20T00:00:00+0530,61.85,61.85,61.8,61.8,34,0
2023-01-23T00:00:00+0530,60.6,63.05,58.75,60.6,627,0
2023-01-24T00:00:00+0530,60,60,59,60,445,0
2023-01-25T00:00:00+0530,59.3,60,59,59.95,92,0
2023-01-27T00:00:00+0530,59.95,60,58,58.2,204,0
2023-01-30T00:00:00+0530,55.35,58.2,55.3,58.2,43,0
2023-01-31T00:00:00+0530,58.5,58.5,58.5,58.5,85,0
2023-02-01T00:00:00+0530,58.5,58.5,57.3,57.3,38,0
2023-02-02T00:00:00+0530,57.3,57.3,54.5,57.3,56,0
2023-02-03T00:00:00+0530,57,57,55,55,435,0
2023-02-06T00:00:00+0530,55,55,52.25,52.5,183,0
2023-02-07T00:00:00+0530,53.55,53.55,52.5,52.5,2,0
2023-02-08T00:00:00+0530,51,51,49.9,51,502,0
2023-02-09T00:00:00+0530,51,51,49,49.1,114,0
2023-02-10T00:00:00+0530,49.1,49.1,46.65,46.65,586,0
2023-02-13T00:00:00+0530,46.7,46.7,44.35,44.35,396,0
2023-02-14T00:00:00+0530,44.35,44.35,42.15,42.15,1030,0
2023-02-15T00:00:00+0530,42.15,42.15,40.05,40.05,1034,0
2023-02-16T00:00:00+0530,40.05,40.5,38.05,40.15,938,0
2023-02-17T00:00:00+0530,40.15,40.15,38.15,38.15,111,0
2023-02-20T00:00:00+0530,38.15,38.15,36.25,36.45,588,0
2023-02-21T00:00:00+0530,38,38.25,36.25,36.25,58,0
2023-02-22T00:00:00+0530,36.25,38,34.5,34.5,391,0
2023-02-23T00:00:00+0530,34.45,34.45,34.45,34.45,840,0
