date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,487.4,487.4,480.5,482.2,29674,0
2023-01-03T00:00:00+0530,485,489.2,478,479.8,62138,0
2023-01-04T00:00:00+0530,482.2,486.8,478.3,484.3,219860,0
2023-01-05T00:00:00+0530,484,493.6,470.9,473.8,86058,0
2023-01-06T00:00:00+0530,475,477.5,470.1,473,43100,0
2023-01-09T00:00:00+0530,474,476,462.8,464.1,83478,0
2023-01-10T00:00:00+0530,467.2,471,459.2,462.6,60752,0
2023-01-11T00:00:00+0530,462.6,466.8,458.1,459.9,57174,0
2023-01-12T00:00:00+0530,459.9,463.6,457.5,459.6,76450,0
2023-01-13T00:00:00+0530,462,462,455.3,458.1,61656,0
2023-01-16T00:00:00+0530,458,461.9,457,458.9,82056,0
2023-01-17T00:00:00+0530,459.5,459.5,442.1,444.2,153220,0
2023-01-18T00:00:00+0530,445,455,445,448.6,83012,0
2023-01-19T00:00:00+0530,449.2,455.5,447.6,451.2,57308,0
2023-01-20T00:00:00+0530,451,453.7,445.8,448,42568,0
2023-01-23T00:00:00+0530,451,451.8,442.5,444.6,26890,0
2023-01-24T00:00:00+0530,446,450,438,440.6,34294,0
2023-01-25T00:00:00+0530,440.6,447.4,435,445,55064,0
2023-01-27T00:00:00+0530,449,450,437.2,439.3,66522,0
2023-01-30T00:00:00+0530,440.5,450,434,436.2,45004,0
2023-01-31T00:00:00+0530,437,448.5,435.9,446.8,41258,0
2023-02-01T00:00:00+0530,452,452,423.7,432.8,59530,0
2023-02-02T00:00:00+0530,432.5,450,432.3,446,99410,0
2023-02-03T00:00:00+0530,446,449.7,431,435.9,78208,0
2023-02-06T00:00:00+0530,438,453,437,446.8,151230,0
2023-02-07T00:00:00+0530,446.8,458.5,444.3,454.2,110050,0
2023-02-08T00:00:00+0530,454.2,458.7,450.1,453.4,58076,0
2023-02-09T00:00:00+0530,455.4,457.4,450,452.3,57400,0
2023-02-10T00:00:00+0530,454.4,455,446.6,452.7,34882,0
2023-02-13T00:00:00+0530,455,455.8,449,453.6,34468,0
2023-02-14T00:00:00+0530,458.6,465,447.5,461.9,112284,0
2023-02-15T00:00:00+0530,464,465,450.6,453.8,45162,0
