date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,823,826.75,816.3,822.3,2042294,0
2023-01-03T00:00:00+0530,822.25,826.4,817.8,820.45,2166531,0
2023-01-04T00:00:00+0530,820.8,822,806.5,810,3260112,0
2023-01-05T00:00:00+0530,814.05,821.6,797,819.6,3119740,0
2023-01-06T00:00:00+0530,819.9,824.4,803.5,806.1,2892006,0
2023-01-09T00:00:00+0530,810.45,820.25,809.1,816.65,2040072,0
2023-01-10T00:00:00+0530,817,820.65,781.1,796.4,4545808,0
2023-01-11T00:00:00+0530,800,803.1,789.05,796.45,3618663,0
2023-01-12T00:00:00+0530,796.7,799.45,786.1,792.95,2670641,0
2023-01-13T00:00:00+0530,795.6,800.25,786,794.65,4059998,0
2023-01-16T00:00:00+0530,797,797.5,784.4,787.05,3601251,0
2023-01-17T00:00:00+0530,788.35,791.45,778.1,784.75,2948618,0
2023-01-18T00:00:00+0530,784,795.85,776.6,786.5,5585785,0
2023-01-19T00:00:00+0530,783.95,783.95,771.75,776.05,5086667,0
2023-01-20T00:00:00+0530,776,786.6,772.45,774.45,3328697,0
2023-01-23T00:00:00+0530,778.35,778.35,762.4,769.05,4283589,0
2023-01-24T00:00:00+0530,769.15,774,758,761.2,3011438,0
2023-01-25T00:00:00+0530,753,756.9,706,713.15,17085455,0
2023-01-27T00:00:00+0530,699,699.85,537,596.95,64194046,0
2023-01-30T00:00:00+0530,620,656.6,566.95,597,58256575,0
2023-01-31T00:00:00+0530,600,626.9,588.1,612.65,33272489,0
2023-02-01T00:00:00+0530,627,629,459.5,495.15,46557720,0
2023-02-02T00:00:00+0530,510,534,424.05,462.45,115517458,0
2023-02-03T00:00:00+0530,459,507,395.1,498.85,89662866,0
2023-02-06T00:00:00+0530,498,548.7,476.7,545.45,38363919,0
2023-02-07T00:00:00+0530,550,598.45,543,553.15,46650736,0
2023-02-08T00:00:00+0530,564,605,563,599.25,31111885,0
2023-02-09T00:00:00+0530,587.25,589,546.2,582.3,22494005,0
2023-02-10T00:00:00+0530,573.6,599.9,560,583.95,12527188,0
2023-02-13T00:00:00+0530,587.9,596.1,537.4,553.7,19528545,0
2023-02-14T00:00:00+0530,551,581.25,538.3,565.1,17976429,0
2023-02-15T00:00:00+0530,567.8,578.85,561.9,569.05,9259895,0
2023-02-16T00:00:00+0530,580,590.8,573.3,577.2,9909820,0
2023-02-17T00:00:00+0530,579,586,569.1,578.65,8880620,0
2023-02-20T00:00:00+0530,567.3,581.65,560,579.7,9507162,0
2023-02-21T00:00:00+0530,585,593.8,579.2,583.2,7702230,0
2023-02-22T00:00:00+0530,583.5,583.55,540,547.1,10994235,0
2023-02-23T00:00:00+0530,539.5,558.15,533.65,551.85,10711597,0
2023-02-24T00:00:00+0530,557,565.9,543.2,558.9,8631548,0
2023-02-27T00:00:00+0530,559,571.95,553.1,562,8484384,0
2023-02-28T00:00:00+0530,563,614.45,551.95,592.45,25360275,0
2023-03-01T00:00:00+0530,598,616,594.6,602.1,18661166,0
2023-03-02T00:00:00+0530,603.95,625,585.6,622.9,21080489,0
2023-03-03T00:00:00+0530,663,704,650.55,684.65,42832968,0
2023-03-06T00:00:00+0530,690,722.75,681.1,690.75,37435406,0
2023-03-08T00:00:00+0530,700,715,682,712.05,20232587,0
2023-03-09T00:00:00+0530,713.9,716.6,686,697.25,17041388,0
2023-03-10T00:00:00+0530,684.8,701.75,680.65,697.8,12138642,0
2023-03-13T00:00:00+0530,703.7,710.55,677.15,681.2,9693337,0
2023-03-14T00:00:00+0530,681.2,684.55,638.6,654.5,18147337,0
2023-03-15T00:00:00+0530,661.55,687.85,657.25,679.35,15514873,0
2023-03-16T00:00:00+0530,686.9,692.35,675.15,679.6,12992236,0
2023-03-17T00:00:00+0530,688.5,691.75,671.3,680.35,7625895,0
2023-03-20T00:00:00+0530,671,677.75,659.3,666.75,5250369,0
2023-03-21T00:00:00+0530,671.5,674.4,661.2,664.8,5011027,0
2023-03-22T00:00:00+0530,669.9,671.9,654.15,657.15,4457720,0
