date,open,high,low,close,volume,empty
2025-06-02T00:00:00+0530,220,242,220,242,27206468,0
2025-06-03T00:00:00+0530,249,264.9,236.06,255.31,14051020,0
2025-06-04T00:00:00+0530,258.49,268.5,250.45,266.46,5617178,0
2025-06-05T00:00:00+0530,266,266.24,254.05,260.17,2138915,0
2025-06-06T00:00:00+0530,258,259,252.07,256.99,1691722,0
2025-06-09T00:00:00+0530,257.1,262,253,258.08,2123712,0
2025-06-10T00:00:00+0530,264,265.5,248.57,254.18,1436592,0
2025-06-11T00:00:00+0530,254.5,255.14,239.91,251.73,1951880,0
2025-06-12T00:00:00+0530,248,251.58,238.49,240.97,1172229,0
2025-06-13T00:00:00+0530,233,239.53,230,235.7,1441586,0
2025-06-16T00:00:00+0530,234.81,237.99,227.63,235.03,967118,0
2025-06-17T00:00:00+0530,239.7,241.73,234.91,238.69,525867,0
2025-06-18T00:00:00+0530,239.35,247.8,237,246.66,1088994,0
2025-06-19T00:00:00+0530,246.66,251.3,240.41,246.8,814675,0
2025-06-20T00:00:00+0530,241.02,246.74,241.02,245.13,2595060,0
2025-06-23T00:00:00+0530,242,246.99,238.56,245.66,1576791,0
2025-06-24T00:00:00+0530,246.09,255.5,244,252.26,933748,0
2025-06-25T00:00:00+0530,251.99,253.03,249.21,250.06,780274,0
2025-06-26T00:00:00+0530,254,263.5,250.46,252.22,3713455,0
2025-06-27T00:00:00+0530,252.99,257.81,252.46,254.8,1307013,0
2025-06-30T00:00:00+0530,252.05,253.09,243.97,245.37,3169116,0
2025-07-01T00:00:00+0530,245.99,251.8,242.66,244.03,994302,0
2025-07-02T00:00:00+0530,244.03,247.89,241.39,243.44,902297,0
2025-07-03T00:00:00+0530,243.81,250,241.53,244.27,2148030,0
2025-07-04T00:00:00+0530,245,246.17,234.43,240.48,883907,0
2025-07-07T00:00:00+0530,240.5,252.72,238.16,249.75,1004720,0
2025-07-08T00:00:00+0530,249.75,252,242.35,250.05,541627,0
2025-07-09T00:00:00+0530,250.5,264,248.77,260.61,2802272,0
2025-07-10T00:00:00+0530,260.74,266.36,255.93,261.3,2077945,0
2025-07-11T00:00:00+0530,265.5,267.25,254.15,260.1,1478667,0
2025-07-14T00:00:00+0530,259.39,268,256,258.3,1679118,0
2025-07-15T00:00:00+0530,257.11,269.4,257.11,266.6,2670473,0
2025-07-16T00:00:00+0530,271,282.3,263.21,278.95,3065911,0
2025-07-17T00:00:00+0530,287.99,296.8,281.25,293.37,4781113,0
2025-07-18T00:00:00+0530,292,302,285.77,291.05,1800958,0
2025-07-21T00:00:00+0530,290.99,294.9,280.4,292.1,725147,0
2025-07-22T00:00:00+0530,293.98,294.6,277.21,284.71,1289294,0
2025-07-23T00:00:00+0530,284.45,284.45,275.3,278.27,882774,0
2025-07-24T00:00:00+0530,278.8,278.8,267,268.95,536672,0
2025-07-25T00:00:00+0530,268,268.79,254.25,256.87,1028912,0
2025-07-28T00:00:00+0530,256.87,256.87,244.5,247.94,819705,0
2025-07-29T00:00:00+0530,244,247.68,238.96,241.87,720603,0
2025-07-30T00:00:00+0530,245.9,249.34,241.26,247.55,807897,0
2025-07-31T00:00:00+0530,243.1,245.76,237.12,239.76,783052,0
2025-08-01T00:00:00+0530,239.4,241.1,227.41,228.92,744233,0
2025-08-04T00:00:00+0530,230,251.81,226.25,251.81,888106,0
2025-08-05T00:00:00+0530,254.3,258.74,244,246.53,658041,0
2025-08-06T00:00:00+0530,248.94,249.71,239.99,243.35,604106,0
2025-08-07T00:00:00+0530,244.55,252,235.1,240.78,1338049,0
2025-08-08T00:00:00+0530,242,249.99,234.75,246.87,1050486,0
2025-08-11T00:00:00+0530,249,249,237.71,240.66,396695,0
2025-08-12T00:00:00+0530,238.52,247.8,238.52,246.84,315361,0
2025-08-13T00:00:00+0530,246.61,250,241.41,245.34,390354,0
2025-08-14T00:00:00+0530,245.01,245.9,238,239.76,670615,0
2025-08-18T00:00:00+0530,242,247.94,240.98,244.41,403953,0
2025-08-19T00:00:00+0530,243.99,252.5,243.45,251.62,340757,0
2025-08-20T00:00:00+0530,251.1,254.73,246.5,253.15,388175,0
2025-08-21T00:00:00+0530,255.85,263.7,248.61,251.97,1089758,0
2025-08-22T00:00:00+0530,253.8,255.55,249.13,253.58,174548,0
2025-08-25T00:00:00+0530,252.31,260.74,248.6,258.87,386643,0
2025-08-26T00:00:00+0530,257,260,243.66,255.19,587387,0
2025-08-28T00:00:00+0530,250.25,252.77,245.51,247.87,226034,0
2025-08-29T00:00:00+0530,249.1,250,244.51,247.77,639286,0
2025-09-01T00:00:00+0530,247.1,250.79,239.67,242.87,335191,0
2025-09-02T00:00:00+0530,243.85,248.6,242,243.35,224375,0
2025-09-03T00:00:00+0530,243,248,241.35,243.98,457380,0
2025-09-04T00:00:00+0530,245.8,246.67,240.05,241.19,613870,0
2025-09-05T00:00:00+0530,241.5,243.64,236,237.05,369422,0
