date,open,high,low,close,volume,empty
2024-09-19T00:00:00+0530,975,975,974.98,974.98,40,0
2024-09-23T00:00:00+0530,974,982.25,974,982.25,47,0
2024-09-24T00:00:00+0530,986.01,986.01,986,986,15,0
2024-11-06T00:00:00+0530,1000,1005,1000,1000,89,0
2024-11-11T00:00:00+0530,1000,1000,1000,1000,10,0
2024-11-14T00:00:00+0530,1005,1005,1005,1005,7,0
2024-11-18T00:00:00+0530,1005,1005,1005,1005,74,0
2024-12-17T00:00:00+0530,1004.98,1005,1004.98,1005,30,0
2025-01-06T00:00:00+0530,1005,1005,1005,1005,11,0
2025-01-07T00:00:00+0530,1005,1005,1005,1005,50,0
2025-01-09T00:00:00+0530,1005,1005,1005,1005,50,0
2025-01-17T00:00:00+0530,851,851,851,851,25,0
2025-01-20T00:00:00+0530,1018.8,1018.8,1018.8,1018.8,25,0
2025-01-29T00:00:00+0530,1015,1015,1015,1015,10,0
2025-02-10T00:00:00+0530,861.4,986.64,861.4,986.64,102,0
2025-02-17T00:00:00+0530,1000,1050,1000,1000.05,128,0
2025-02-18T00:00:00+0530,1050,1050,1050,1050,5,0
2025-02-27T00:00:00+0530,1010,1010,1010,1010,2,0
2025-04-23T00:00:00+0530,1010,1010,1010,1010,10,0
2025-05-27T00:00:00+0530,1010,1010,1010,1010,30,0
2025-06-30T00:00:00+0530,1010,1010,1010,1010,1,0
2025-07-25T00:00:00+0530,1072.1,1072.1,1072.1,1072.1,10,0
2025-07-28T00:00:00+0530,862.1,862.1,862.1,862.1,25,0
2025-08-18T00:00:00+0530,1034.52,1034.52,1034.52,1034.52,108,0
2025-08-20T00:00:00+0530,1060,1060,1060,1060,7,0
