date,open,high,low,close,volume,empty
2023-08-31T00:00:00+0530,190,196.35,162.3,163.25,36098037,0
2023-09-01T00:00:00+0530,164.9,171.45,158.5,165,9720028,0
2023-09-04T00:00:00+0530,165,167.25,160.35,161.2,3010366,0
2023-09-05T00:00:00+0530,160.5,162.5,153.5,154.15,3460816,0
2023-09-06T00:00:00+0530,155,162.5,154.2,159.1,2759974,0
2023-09-07T00:00:00+0530,160.5,161.45,156.25,156.7,1515649,0
2023-09-08T00:00:00+0530,158.45,159,155.4,156.6,1008534,0
2023-09-11T00:00:00+0530,158.5,158.9,154.5,154.95,1107364,0
2023-09-12T00:00:00+0530,156,157.4,147.2,148.65,1383190,0
2023-09-13T00:00:00+0530,149.3,158.6,145.45,155.75,2802134,0
2023-09-14T00:00:00+0530,157.95,159.8,156.55,157.9,1490449,0
2023-09-15T00:00:00+0530,159.8,159.8,155.5,156.45,925930,0
2023-09-18T00:00:00+0530,156.9,157.5,153,153.55,417796,0
2023-09-20T00:00:00+0530,152.1,157.35,151.5,154.15,834708,0
2023-09-21T00:00:00+0530,153.95,156.45,150.5,151.55,610128,0
2023-09-22T00:00:00+0530,151.7,154.25,151,151.8,730176,0
2023-09-25T00:00:00+0530,152.25,152.8,146.5,149.05,514346,0
2023-09-26T00:00:00+0530,149.1,151.4,148.25,149.2,337286,0
2023-09-27T00:00:00+0530,149,150,147,148.35,266907,0
2023-09-28T00:00:00+0530,148.6,156.7,148.55,150.85,1206610,0
2023-09-29T00:00:00+0530,151.45,154,150.65,152.75,547688,0
2023-10-03T00:00:00+0530,152.6,153.3,150.3,151.5,408303,0
2023-10-04T00:00:00+0530,151.15,152.4,148,148.6,507025,0
2023-10-05T00:00:00+0530,149.6,151.1,146.5,146.95,530731,0
2023-10-06T00:00:00+0530,148.4,148.95,146.2,146.65,450908,0
2023-10-09T00:00:00+0530,143,144.95,142.4,142.65,427070,0
2023-10-10T00:00:00+0530,144.85,147.3,143.15,144,562526,0
2023-10-11T00:00:00+0530,145.4,149.5,145.25,147.05,874168,0
2023-10-12T00:00:00+0530,147.9,160.45,147.4,158.1,3641213,0
2023-10-13T00:00:00+0530,158,162.45,156.1,157,2009389,0
2023-10-16T00:00:00+0530,157.5,158,151.9,152.3,924543,0
2023-10-17T00:00:00+0530,153.7,157.4,153.25,154.7,537721,0
2023-10-18T00:00:00+0530,155.5,165.4,155.05,161.85,4641983,0
2023-10-19T00:00:00+0530,160.75,171.5,160.15,170.95,6903576,0
2023-10-20T00:00:00+0530,171.85,173.8,163.55,165.05,2254181,0
2023-10-23T00:00:00+0530,165.1,165.6,152.9,153.65,2120790,0
2023-10-25T00:00:00+0530,155.7,158.35,148.25,150.75,887683,0
2023-10-26T00:00:00+0530,149,152.45,145.55,150.6,962754,0
2023-10-27T00:00:00+0530,152,155.95,151.35,152.25,690947,0
2023-10-30T00:00:00+0530,152.75,154.65,150.55,152.5,422854,0
2023-10-31T00:00:00+0530,153.3,164.4,153.15,160.85,2669545,0
2023-11-01T00:00:00+0530,162,167.7,160,160.95,1931300,0
2023-11-02T00:00:00+0530,163.05,165.4,160.5,161.7,757572,0
2023-11-03T00:00:00+0530,163.75,166.5,162.05,163.35,985509,0
2023-11-06T00:00:00+0530,165,172.7,162.2,163.1,2646496,0
2023-11-07T00:00:00+0530,164,165.45,162.3,162.85,661693,0
2023-11-08T00:00:00+0530,163.85,165.45,159.2,159.85,621479,0
2023-11-09T00:00:00+0530,160,162.45,158.05,159.6,644826,0
2023-11-10T00:00:00+0530,159.2,160.05,155.5,156.8,626021,0
2023-11-12T00:00:00+0530,158.5,161.85,158,160.5,310234,0
2023-11-13T00:00:00+0530,160,163.8,158.3,162.15,659958,0
2023-11-15T00:00:00+0530,163.8,164.4,160.45,161,490161,0
2023-11-16T00:00:00+0530,161.3,163.2,159.5,160.2,428058,0
2023-11-17T00:00:00+0530,160.25,161.95,157.25,157.85,479928,0
2023-11-20T00:00:00+0530,158.45,159.5,156.35,156.9,405303,0
2023-11-21T00:00:00+0530,157.95,161.4,156.9,157.85,643869,0
2023-11-22T00:00:00+0530,158.4,159.4,155.95,156.85,317844,0
2023-11-23T00:00:00+0530,157.25,159.25,155.9,156.4,278062,0
2023-11-24T00:00:00+0530,156.4,164.45,156.4,162.45,1831074,0
2023-11-28T00:00:00+0530,163.85,165.5,159.2,159.65,1101215,0
2023-11-29T00:00:00+0530,160.4,164,158.6,158.95,508518,0
2023-11-30T00:00:00+0530,159.7,159.7,156.6,158.05,538010,0
2023-12-01T00:00:00+0530,159,159.9,156.8,157.35,456455,0
2023-12-04T00:00:00+0530,159.9,160.25,157.15,158.05,450823,0
2023-12-05T00:00:00+0530,158.7,159,155.05,155.95,553688,0
2023-12-06T00:00:00+0530,156.9,157.95,154.8,155.4,487641,0
2023-12-07T00:00:00+0530,155.05,157.55,154.4,155.8,446511,0
2023-12-08T00:00:00+0530,156.4,157.4,154.35,154.8,363858,0
2023-12-11T00:00:00+0530,155.65,156.4,153.6,153.9,466843,0
2023-12-12T00:00:00+0530,153.6,155,151,151.65,633778,0
2023-12-13T00:00:00+0530,152.1,153.85,151.3,152.15,349730,0
2023-12-14T00:00:00+0530,153,155.9,151.6,151.8,702360,0
2023-12-15T00:00:00+0530,152.4,153.45,150.3,150.85,487094,0
2023-12-18T00:00:00+0530,150.05,152.45,150.05,150.85,510284,0
2023-12-19T00:00:00+0530,151.5,152.4,150.2,150.45,413117,0
2023-12-20T00:00:00+0530,151.4,151.5,142.2,143.35,1105524,0
2023-12-21T00:00:00+0530,142,147.2,140.9,145.5,868271,0
2023-12-22T00:00:00+0530,146.5,150.95,146.3,148.8,644618,0
2023-12-26T00:00:00+0530,149.3,150.25,146.8,147.7,337734,0
2023-12-27T00:00:00+0530,148.55,149.6,147.35,147.85,398969,0
2023-12-28T00:00:00+0530,148.35,158.8,147.9,157,2724129,0
2023-12-29T00:00:00+0530,157.9,157.9,154.05,155,802111,0
2024-01-01T00:00:00+0530,155.3,159.7,154.95,156.75,969404,0
2024-01-02T00:00:00+0530,157.35,158.45,154.9,156.2,717026,0
2024-01-03T00:00:00+0530,155.75,158.9,154.85,156.8,539476,0
2024-01-04T00:00:00+0530,156.35,158.2,156.25,156.95,476064,0
2024-01-05T00:00:00+0530,158.05,162.85,157,158.75,1669373,0
2024-01-08T00:00:00+0530,159.25,159.65,156.85,157.6,528689,0
2024-01-09T00:00:00+0530,158.9,159,156.65,157.95,541782,0
2024-01-10T00:00:00+0530,157.95,158.5,156.3,157.8,610196,0
2024-01-11T00:00:00+0530,158.4,176.65,157.45,173.8,9184167,0
2024-01-12T00:00:00+0530,176,179.9,169.3,170.2,2822818,0
2024-01-15T00:00:00+0530,170.5,171.95,164.7,166.4,1101921,0
2024-01-16T00:00:00+0530,166.7,170.8,161,162.5,1036297,0
2024-01-17T00:00:00+0530,161.4,165.4,159.6,160.95,701320,0
2024-01-18T00:00:00+0530,161,163.05,156.05,159.35,762065,0
2024-01-19T00:00:00+0530,161,163.05,158.6,159.25,539385,0
2024-01-20T00:00:00+0530,161.8,167.8,161,164.5,881539,0
2024-01-23T00:00:00+0530,166,166.35,155.8,156.5,904126,0
2024-01-24T00:00:00+0530,157.7,162.55,155.5,161.7,967396,0
2024-01-25T00:00:00+0530,162.65,164.5,160.1,163.9,819691,0
2024-01-29T00:00:00+0530,165,165,153.55,154.3,2181785,0
2024-01-30T00:00:00+0530,155.9,156.4,152.95,153.35,579536,0
2024-01-31T00:00:00+0530,155,155.6,153.65,153.9,562671,0
2024-02-01T00:00:00+0530,154.35,158.95,152.55,158.1,898264,0
2024-02-02T00:00:00+0530,159.7,159.7,153.85,154.4,653437,0
2024-02-05T00:00:00+0530,156.85,157.3,152,152.4,619572,0
2024-02-06T00:00:00+0530,153.25,155.3,152.6,154.6,319883,0
2024-02-07T00:00:00+0530,155.9,156.95,153.9,155.55,516904,0
2024-02-08T00:00:00+0530,155.9,156,152.85,153.3,300821,0
2024-02-09T00:00:00+0530,154,154,150.15,151,371159,0
2024-02-12T00:00:00+0530,151.3,152.45,145,145.6,532491,0
2024-02-13T00:00:00+0530,146,147,142.25,143.45,448757,0
2024-02-14T00:00:00+0530,142.8,150.55,141.9,149.3,471180,0
2024-02-15T00:00:00+0530,150.55,154.4,150,151.7,348491,0
2024-02-16T00:00:00+0530,152.85,154.6,151.35,152.8,275554,0
2024-02-19T00:00:00+0530,152.75,153.9,150,150.2,352023,0
2024-02-20T00:00:00+0530,150.2,153.05,150,151.1,286261,0
2024-02-21T00:00:00+0530,151.8,152.2,147.2,148.1,298806,0
2024-02-22T00:00:00+0530,148.4,150.2,146.8,148,224014,0
2024-02-23T00:00:00+0530,149,153.9,148,150.45,795071,0
2024-02-26T00:00:00+0530,150.45,151.05,146,146.5,441053,0
2024-02-27T00:00:00+0530,147.35,147.95,145.9,146.15,216006,0
2024-02-28T00:00:00+0530,148,148.4,143.25,146.1,341526,0
2024-02-29T00:00:00+0530,146,146.9,143.5,144.4,286397,0
2024-03-01T00:00:00+0530,145.4,146.85,143.45,144.4,400372,0
2024-03-02T00:00:00+0530,145.45,146.4,145,145.85,56406,0
2024-03-04T00:00:00+0530,146.45,146.65,143.05,143.7,223675,0
2024-03-05T00:00:00+0530,144.65,144.65,141.8,142.2,285655,0
2024-03-06T00:00:00+0530,142.8,142.8,136,137.4,697098,0
2024-03-07T00:00:00+0530,138.75,140.6,136.55,137.45,307749,0
2024-03-11T00:00:00+0530,138,139,133,133.35,531916,0
2024-03-12T00:00:00+0530,135.45,135.45,125,125.75,814933,0
2024-03-13T00:00:00+0530,126.4,127.75,115,116.55,1298424,0
2024-03-14T00:00:00+0530,116.55,124,115.6,122.45,785808,0
2024-03-15T00:00:00+0530,121,127,120.5,125.3,702983,0
2024-03-18T00:00:00+0530,123.5,129.4,123.5,128.25,664394,0
2024-03-19T00:00:00+0530,128,130.6,125.55,126.6,406016,0
2024-03-20T00:00:00+0530,126.95,128.5,124.25,125.35,307935,0
2024-03-21T00:00:00+0530,127.55,130,126.5,127.1,419892,0
2024-03-22T00:00:00+0530,127.2,130.6,126.4,127.75,363578,0
2024-03-26T00:00:00+0530,127.8,128.5,121.5,123.2,602426,0
2024-03-27T00:00:00+0530,123.2,125.3,118.05,119.2,934095,0
2024-03-28T00:00:00+0530,119.85,126.95,119.85,121.4,866961,0
2024-04-01T00:00:00+0530,123.9,132.5,123.9,130.8,817916,0
2024-04-02T00:00:00+0530,131.25,140.25,130.5,135,1531725,0
2024-04-03T00:00:00+0530,136,142.8,135.9,140.05,1054831,0
2024-04-04T00:00:00+0530,142.2,152,137.95,147.9,1783668,0
2024-04-05T00:00:00+0530,148.8,153.6,144.9,150.55,1381746,0
2024-04-08T00:00:00+0530,152.05,152.7,148.25,150.35,666091,0
2024-04-09T00:00:00+0530,150.35,150.55,146.55,147.15,469537,0
2024-04-10T00:00:00+0530,147.1,147.1,143.2,144.1,368995,0
2024-04-12T00:00:00+0530,143.9,148.6,142.65,143.45,590256,0
2024-04-15T00:00:00+0530,140.4,142,136.55,138.2,390569,0
2024-04-16T00:00:00+0530,138,143.2,138,141.35,451295,0
2024-04-18T00:00:00+0530,142,148.2,142,145.3,738566,0
2024-04-19T00:00:00+0530,143,144.4,138.9,142.1,606178,0
2024-04-22T00:00:00+0530,145.95,145.95,143,143.6,264717,0
2024-04-23T00:00:00+0530,144.5,147.45,143.6,146.1,487171,0
2024-04-24T00:00:00+0530,146.05,150.5,146.05,148.45,584043,0
2024-04-25T00:00:00+0530,148.95,149.9,146.5,148.8,471755,0
2024-04-26T00:00:00+0530,150,152.4,146.85,149,585358,0
2024-04-29T00:00:00+0530,150.8,150.8,146.95,149,504862,0
2024-04-30T00:00:00+0530,149.55,152.25,148.5,149.6,468926,0
2024-05-02T00:00:00+0530,150,159.35,148.2,155.7,2471614,0
2024-05-03T00:00:00+0530,157,158,152.55,153.65,679858,0
2024-05-06T00:00:00+0530,154.9,154.9,146.9,148.35,575994,0
2024-05-07T00:00:00+0530,143,146.45,140.2,143.15,867847,0
2024-05-08T00:00:00+0530,141.8,144.4,140.8,141.15,364212,0
2024-05-09T00:00:00+0530,141.6,146.45,141.1,142.85,554347,0
2024-05-10T00:00:00+0530,143.1,145.25,140.4,142.95,391655,0
2024-05-13T00:00:00+0530,142.05,143.1,138.9,139.85,343844,0
2024-05-14T00:00:00+0530,139.8,142.3,138.15,139.25,447145,0
2024-05-15T00:00:00+0530,140.95,141.4,138.65,139.2,301968,0
2024-05-16T00:00:00+0530,140.85,141.4,138.65,139.5,248669,0
2024-05-17T00:00:00+0530,140.5,146.45,139.95,140.4,778218,0
2024-05-18T00:00:00+0530,141.7,142.4,138.5,141.9,195242,0
2024-05-21T00:00:00+0530,142,144.85,139.8,140,515933,0
2024-05-22T00:00:00+0530,140.1,141.95,139.55,141,256529,0
2024-05-23T00:00:00+0530,142.45,142.45,138.35,139.15,344559,0
2024-05-24T00:00:00+0530,139.9,140.4,138.5,138.65,274272,0
2024-05-27T00:00:00+0530,140,140.2,137.35,138.1,338003,0
2024-05-28T00:00:00+0530,138.45,139,135.7,136.7,260029,0
2024-05-29T00:00:00+0530,135.6,136.55,135,135.4,238961,0
2024-05-30T00:00:00+0530,135,135.7,133,133.6,217901,0
2024-05-31T00:00:00+0530,134.4,136.7,132.3,134.75,264067,0
2024-06-03T00:00:00+0530,139,139.9,134.9,135.9,318916,0
2024-06-04T00:00:00+0530,135.1,136,122.5,128.6,458109,0
2024-06-05T00:00:00+0530,128.7,134.5,125.5,131.6,385275,0
2024-06-06T00:00:00+0530,132.9,135.45,132.45,133.85,250732,0
2024-06-07T00:00:00+0530,134.7,144.25,134.05,141.75,1353032,0
2024-06-10T00:00:00+0530,141.7,144.85,140.75,141.64,373738,0
2024-06-11T00:00:00+0530,143.89,144.5,141.07,143.04,343563,0
2024-06-12T00:00:00+0530,145,145,141.9,143.45,263540,0
2024-06-13T00:00:00+0530,145.99,151,143.28,148.74,1753058,0
