date,open,high,low,close,volume,empty
2023-01-12T00:00:00+0530,85,89.25,85,89.25,4182739,0
2023-01-13T00:00:00+0530,86,86.5,84.8,84.8,445813,0
2023-01-16T00:00:00+0530,80.6,89,80.6,86.9,1498719,0
2023-01-17T00:00:00+0530,85,86.65,83,84.75,640005,0
2023-01-18T00:00:00+0530,84.75,86,81.15,84.8,380240,0
2023-01-19T00:00:00+0530,84.1,84.8,81.15,81.8,118656,0
2023-01-20T00:00:00+0530,82.85,83.1,80.1,81.25,94953,0
2023-01-23T00:00:00+0530,81.95,84.4,81,83.4,279672,0
2023-01-24T00:00:00+0530,83.4,86.5,83,84.9,391017,0
2023-01-25T00:00:00+0530,85.95,87.5,83,83.65,313025,0
2023-01-27T00:00:00+0530,86.6,92.8,83,83.8,1658348,0
2023-01-30T00:00:00+0530,84.25,87.45,82.35,83,180248,0
2023-01-31T00:00:00+0530,84.7,88,83.05,83.85,490832,0
2023-02-01T00:00:00+0530,84.75,87.4,83,84.85,334016,0
2023-02-02T00:00:00+0530,84.55,88.5,83.6,84.2,550303,0
2023-02-03T00:00:00+0530,84.95,86.5,82.45,84.8,149955,0
2023-02-06T00:00:00+0530,84.65,85.5,83.5,84.1,179284,0
2023-02-07T00:00:00+0530,85.7,85.7,82,82.45,100511,0
2023-02-08T00:00:00+0530,83.45,83.45,79.55,81,119369,0
2023-02-09T00:00:00+0530,80.25,82.8,80.25,82,54630,0
2023-02-10T00:00:00+0530,81.95,83.5,81,81.4,107371,0
2023-02-13T00:00:00+0530,80.1,83.05,78,80.1,87139,0
2023-02-14T00:00:00+0530,81.95,81.95,75.7,76.35,121854,0
2023-02-15T00:00:00+0530,77.4,79.55,75.8,78.5,91418,0
2023-02-16T00:00:00+0530,79.3,82.7,78.5,80.85,483951,0
2023-02-17T00:00:00+0530,81.65,85.8,80.75,82.2,1313813,0
2023-02-20T00:00:00+0530,80.55,84.9,80.55,81.15,447791,0
2023-02-21T00:00:00+0530,82.25,83,79.85,80.6,459516,0
2023-02-22T00:00:00+0530,81.45,81.45,77.75,78.35,239561,0
2023-02-23T00:00:00+0530,77.95,79.4,77.05,77.9,210496,0
2023-02-24T00:00:00+0530,79.4,79.4,76.05,77.45,344265,0
2023-02-27T00:00:00+0530,77.9,77.9,70.9,72.05,410289,0
