date,open,high,low,close,volume,empty
2024-10-23T00:00:00+0530,751.1,788.5,690.2,731.2,42390,0
2024-10-24T00:00:00+0530,731.2,744.5,711,735.8,16501,0
2024-10-25T00:00:00+0530,743,755.55,689.8,706.8,30662,0
2024-10-28T00:00:00+0530,721,732.6,671,705.2,20505,0
2024-10-29T00:00:00+0530,705.2,758.8,666,708.05,28403,0
2024-10-30T00:00:00+0530,711.4,725,684.45,707.8,22834,0
2024-10-31T00:00:00+0530,720,723,670.5,693,24032,0
2024-11-01T00:00:00+0530,718,720,701.25,713.7,13926,0
2024-11-04T00:00:00+0530,720.05,740,661.05,705.65,43362,0
2024-11-05T00:00:00+0530,710,711,691.45,705.55,15688,0
2024-11-06T00:00:00+0530,715.3,725,679.1,711.1,20163,0
2024-11-07T00:00:00+0530,725,734.95,694,698.6,15470,0
2024-11-08T00:00:00+0530,704.95,704.95,684.75,691.9,14659,0
2024-11-11T00:00:00+0530,635,729.95,596.15,681.5,222021,0
2024-11-12T00:00:00+0530,682,693.95,649.1,655.95,23624,0
2024-11-13T00:00:00+0530,655.95,662.95,611.95,641.4,29885,0
2024-11-14T00:00:00+0530,648,667,634.55,662,11217,0
2024-11-18T00:00:00+0530,683.3,683.3,641.1,655.2,14149,0
2024-11-19T00:00:00+0530,650,679.9,637.2,643.5,20204,0
2024-11-21T00:00:00+0530,648.3,653.3,631,638.6,10037,0
2024-11-22T00:00:00+0530,648.3,654.3,630.5,641.45,13808,0
2024-11-25T00:00:00+0530,659.95,659.95,638.15,639.95,11262,0
2024-11-26T00:00:00+0530,646.2,648.45,634.05,643.55,7436,0
2024-11-27T00:00:00+0530,644.15,651,636.75,644.55,12153,0
2024-11-28T00:00:00+0530,659.8,665.75,634,643.55,14857,0
2024-11-29T00:00:00+0530,643.55,648.3,634.65,640.9,10140,0
2024-12-02T00:00:00+0530,645.7,657.7,631.1,637.95,8771,0
2024-12-03T00:00:00+0530,642.7,678.45,642.7,647.85,25748,0
2024-12-04T00:00:00+0530,657.4,657.45,635.45,640,19128,0
2024-12-05T00:00:00+0530,633.7,645,631.1,638.9,11486,0
2024-12-06T00:00:00+0530,639.45,641.8,626,634.4,46152,0
2024-12-09T00:00:00+0530,630.1,644,630.1,638.7,8893,0
2024-12-10T00:00:00+0530,635,648,626.1,639.7,32801,0
