date,open,high,low,close,volume,empty
2024-01-03T00:00:00+0530,62,65.1,62,65.1,1812000,0
2024-01-04T00:00:00+0530,68.35,68.35,68.35,68.35,74000,0
2024-01-05T00:00:00+0530,71.75,71.75,71.75,71.75,62000,0
2024-01-08T00:00:00+0530,75.3,75.3,75.3,75.3,80000,0
2024-01-09T00:00:00+0530,79.05,79.05,79.05,79.05,34000,0
2024-01-10T00:00:00+0530,83,83,83,83,34000,0
2024-01-11T00:00:00+0530,87.15,87.15,85.3,87.15,1380000,0
2024-01-12T00:00:00+0530,91.5,91.5,84.1,91.5,746000,0
2024-01-15T00:00:00+0530,96.05,96.05,95.5,96.05,220000,0
2024-01-16T00:00:00+0530,100.85,100.85,100.85,100.85,98000,0
2024-01-17T00:00:00+0530,96.9,110.9,92.55,110.9,1344000,0
2024-01-18T00:00:00+0530,114.95,121.95,104,121.95,1088000,0
2024-01-19T00:00:00+0530,129,134.1,128,134.1,336000,0
2024-01-20T00:00:00+0530,140.8,140.8,138.1,140.8,242000,0
2024-01-23T00:00:00+0530,145.95,147.8,134.1,143,450000,0
2024-01-24T00:00:00+0530,140,147.35,135.85,135.85,418000,0
2024-01-25T00:00:00+0530,129.05,134.85,129.05,129.05,338000,0
2024-01-29T00:00:00+0530,122.8,126.95,122.6,122.6,274000,0
2024-01-30T00:00:00+0530,116.55,126.7,116.5,120.2,478000,0
2024-01-31T00:00:00+0530,122,124.85,120,123.05,94000,0
2024-02-01T00:00:00+0530,126.15,129.15,116.9,126.45,310000,0
2024-02-02T00:00:00+0530,123.55,126.95,120.15,120.15,564000,0
2024-02-05T00:00:00+0530,122.3,122.3,114.15,114.15,264000,0
2024-02-06T00:00:00+0530,110,111.95,108.45,108.45,114000,0
2024-02-07T00:00:00+0530,104.05,111.9,103.05,109.3,510000,0
2024-02-08T00:00:00+0530,113.8,114.75,108.1,111.35,262000,0
2024-02-09T00:00:00+0530,112.2,115.6,105.8,107.5,154000,0
2024-02-12T00:00:00+0530,110.9,110.9,102.15,102.15,130000,0
2024-02-13T00:00:00+0530,98.5,102.5,97.05,97.45,142000,0
2024-02-14T00:00:00+0530,94.8,97,92.6,95.1,236000,0
2024-02-15T00:00:00+0530,98,99.85,98,99.85,120000,0
2024-02-16T00:00:00+0530,104.8,104.8,103.85,104.8,52000,0
2024-02-19T00:00:00+0530,109.9,110,106.2,110,150000,0
2024-02-20T00:00:00+0530,111.4,111.4,104.5,104.5,118000,0
2024-02-21T00:00:00+0530,104.5,107.45,101,101.65,74000,0
2024-02-22T00:00:00+0530,104.2,105,101,103.6,42000,0
2024-02-23T00:00:00+0530,100.15,103,100.15,100.85,66000,0
2024-02-26T00:00:00+0530,99.25,101,98.6,99.35,44000,0
2024-02-27T00:00:00+0530,98.25,99.95,96.2,96.4,54000,0
2024-02-28T00:00:00+0530,96.25,96.25,91.6,94.45,90000,0
2024-02-29T00:00:00+0530,94.45,95,92.1,93.4,56000,0
2024-03-01T00:00:00+0530,93.55,98.05,93.55,98.05,80000,0
2024-03-02T00:00:00+0530,102.5,102.95,100.05,102.95,58000,0
2024-03-04T00:00:00+0530,108.05,108.05,102.5,106.15,134000,0
2024-03-05T00:00:00+0530,103.35,103.35,100.85,100.85,40000,0
2024-03-06T00:00:00+0530,96.2,97.5,95.8,95.8,50000,0
2024-03-07T00:00:00+0530,93,94.45,91.05,91.6,162000,0
2024-03-11T00:00:00+0530,91.1,92,87.05,87.05,94000,0
2024-03-12T00:00:00+0530,83.1,83.1,82.7,82.7,24000,0
2024-03-13T00:00:00+0530,78.7,79,78.6,78.6,74000,0
2024-03-14T00:00:00+0530,74.7,82.5,74.7,82.5,214000,0
2024-03-15T00:00:00+0530,84.15,85.8,80,80.95,62000,0
2024-03-18T00:00:00+0530,84.95,84.95,83.5,84.95,66000,0
2024-03-19T00:00:00+0530,89.15,89.15,89.15,89.15,24000,0
2024-03-20T00:00:00+0530,93.6,93.6,84.7,86.35,242000,0
2024-03-21T00:00:00+0530,86.05,86.5,83,84.05,112000,0
2024-03-22T00:00:00+0530,82,86,81.95,83.85,72000,0
2024-03-26T00:00:00+0530,84,84.8,80.5,81.7,70000,0
2024-03-27T00:00:00+0530,78.25,81.2,78,78.9,100000,0
2024-03-28T00:00:00+0530,80,82,77.3,77.45,96000,0
2024-04-01T00:00:00+0530,81,81.3,80,81.3,78000,0
2024-04-02T00:00:00+0530,81,82.6,77.25,80,268000,0
2024-04-03T00:00:00+0530,80,80.9,77.75,78.45,254000,0
2024-04-04T00:00:00+0530,79,80,77,77.95,140000,0
2024-04-05T00:00:00+0530,77.9,83.9,77.9,79.8,170000,0
2024-04-08T00:00:00+0530,80,87.75,80,87.75,184000,0
2024-04-09T00:00:00+0530,91.8,95.5,90.05,91.75,138000,0
2024-04-10T00:00:00+0530,95,95.65,88.95,90.65,80000,0
2024-04-12T00:00:00+0530,86.15,89,82.8,83.95,186000,0
2024-04-15T00:00:00+0530,77.55,82.7,77.55,80.6,88000,0
2024-04-16T00:00:00+0530,80.6,84.7,80.6,83.05,38000,0
2024-04-18T00:00:00+0530,87.8,89.15,85.5,86.4,98000,0
2024-04-19T00:00:00+0530,86,86.85,84.45,85.05,60000,0
2024-04-22T00:00:00+0530,85.1,90,85,89.55,140000,0
2024-04-23T00:00:00+0530,94,98.5,93.95,98.5,172000,0
2024-04-24T00:00:00+0530,102,108.3,98.1,100.2,208000,0
2024-04-25T00:00:00+0530,100,100,94,95.4,50000,0
2024-04-26T00:00:00+0530,95.2,99,95.2,96.05,60000,0
2024-04-29T00:00:00+0530,103,104,96.2,98.75,118000,0
