date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,97,97,97,97,1600,0
2023-01-03T00:00:00+0530,95,102,95,102,4800,0
2023-01-04T00:00:00+0530,92.1,92.1,91.3,91.3,3200,0
2023-01-05T00:00:00+0530,91,98.25,91,98.25,6400,0
2023-01-06T00:00:00+0530,95,95,85.05,94,6400,0
2023-01-10T00:00:00+0530,96,96,96,96,1600,0
2023-01-11T00:00:00+0530,94,97,94,97,3200,0
2023-01-12T00:00:00+0530,96,96,96,96,1600,0
2023-01-13T00:00:00+0530,96,96,96,96,1600,0
2023-01-16T00:00:00+0530,95,95,95,95,1600,0
2023-01-17T00:00:00+0530,96,101,96,101,16000,0
2023-01-18T00:00:00+0530,103,103,95.1,100.9,17600,0
2023-01-19T00:00:00+0530,99.5,99.5,99.1,99.1,3200,0
2023-01-20T00:00:00+0530,99.5,99.5,95,95,9600,0
2023-01-23T00:00:00+0530,97,98,97,98,4800,0
2023-01-24T00:00:00+0530,95.5,95.5,95.5,95.5,1600,0
2023-01-25T00:00:00+0530,95,95,90.05,91,6400,0
2023-01-27T00:00:00+0530,95,97,90,90,4800,0
2023-02-01T00:00:00+0530,87.05,87.05,87.05,87.05,1600,0
2023-02-02T00:00:00+0530,86,86,86,86,1600,0
2023-02-03T00:00:00+0530,88,92.85,88,89,4800,0
2023-02-08T00:00:00+0530,86,88,86,87,4800,0
2023-02-09T00:00:00+0530,86.9,89.1,86.9,89.1,16000,0
2023-02-10T00:00:00+0530,90,90,90,90,1600,0
2023-02-14T00:00:00+0530,90,90,90,90,1600,0
2023-02-15T00:00:00+0530,88,89,88,89,3200,0
2023-02-16T00:00:00+0530,89,89,87.1,87.1,3200,0
2023-02-17T00:00:00+0530,87,93.65,86,86,4800,0
2023-02-20T00:00:00+0530,86,88,86,88,3200,0
2023-02-22T00:00:00+0530,86,86,86,86,1600,0
2023-02-27T00:00:00+0530,81,81,80,80,3200,0
2023-02-28T00:00:00+0530,78.1,78.1,78.1,78.1,1600,0
2023-03-03T00:00:00+0530,78.5,78.5,78,78.25,4800,0
2023-03-06T00:00:00+0530,75.05,79.95,75.05,79.95,3200,0
2023-03-08T00:00:00+0530,78.95,78.95,78.95,78.95,1600,0
2023-03-13T00:00:00+0530,80.95,80.95,73.5,73.5,4800,0
2023-03-14T00:00:00+0530,73,73,70,72,8000,0
2023-03-15T00:00:00+0530,70,72,70,72,3200,0
2023-03-17T00:00:00+0530,72,72,72,72,3200,0
2023-03-21T00:00:00+0530,71,75,71,75,6400,0
2023-03-22T00:00:00+0530,73.05,73.35,73.05,73.35,40000,0
2023-03-23T00:00:00+0530,73,74.95,73,74.95,8000,0
2023-03-24T00:00:00+0530,89.9,89.9,75,80,9600,0
2023-03-27T00:00:00+0530,83.95,83.95,75.2,75.25,16000,0
2023-03-28T00:00:00+0530,75,75,75,75,3200,0
2023-03-29T00:00:00+0530,73.55,73.55,73.55,73.55,1600,0
2023-03-31T00:00:00+0530,73.55,73.55,70,72.15,6400,0
2023-04-05T00:00:00+0530,75,78,75,76,6400,0
