date,open,high,low,close,volume,empty
2024-12-20T00:00:00+0530,116,122.85,110.04,111.42,222486,0
2024-12-23T00:00:00+0530,114.94,114.94,104.08,108.18,79368,0
2024-12-24T00:00:00+0530,108.15,112,106,108.84,43314,0
2024-12-26T00:00:00+0530,109.95,110.42,106.5,107.67,65574,0
2024-12-27T00:00:00+0530,109.28,109.94,107.5,108.78,56570,0
2024-12-30T00:00:00+0530,114.44,121.5,108.5,109.85,924580,0
2024-12-31T00:00:00+0530,111.48,115,110.05,113,162834,0
2025-01-01T00:00:00+0530,114.7,116.25,112.78,115.51,119152,0
2025-01-02T00:00:00+0530,115,117.4,113.42,114.15,101206,0
2025-01-03T00:00:00+0530,113.6,116.5,112.5,113.1,111270,0
2025-01-06T00:00:00+0530,114.8,114.8,104.98,107.3,137544,0
2025-01-07T00:00:00+0530,108.75,114.3,108.44,111.62,149156,0
2025-01-08T00:00:00+0530,113.3,113.3,109.05,109.95,64366,0
2025-01-09T00:00:00+0530,111.6,111.6,107.16,107.78,71000,0
2025-01-10T00:00:00+0530,107.81,108.8,105.25,106.8,63334,0
2025-01-13T00:00:00+0530,105.2,106.73,100.01,101.46,119236,0
2025-01-14T00:00:00+0530,102.92,105.82,100,105.15,90458,0
2025-01-15T00:00:00+0530,106.4,106.4,101.02,102.72,90068,0
2025-01-16T00:00:00+0530,101.06,104.62,101.06,103.3,21944,0
2025-01-17T00:00:00+0530,104.35,104.49,101.52,102.38,46530,0
2025-01-20T00:00:00+0530,102.9,104.34,101.74,103.3,41512,0
2025-01-21T00:00:00+0530,104.32,104.88,100.18,101.66,58682,0
2025-01-22T00:00:00+0530,101.05,103.82,98.36,100.2,67720,0
2025-01-23T00:00:00+0530,99.26,106.1,99.26,103.76,74250,0
2025-01-24T00:00:00+0530,103.89,103.89,100.52,101.02,28094,0
2025-01-27T00:00:00+0530,101,101.4,95,98.26,76886,0
2025-01-28T00:00:00+0530,99.7,101.84,94.75,95.54,126120,0
2025-01-29T00:00:00+0530,95.54,99,95.54,97.48,47218,0
2025-01-30T00:00:00+0530,98.01,98.75,95.86,97.18,51012,0
2025-01-31T00:00:00+0530,98.92,99.95,96.89,99.47,43192,0
2025-02-01T00:00:00+0530,100.94,100.94,96.75,98.68,40916,0
2025-02-03T00:00:00+0530,100,100,96,97.26,45536,0
2025-02-04T00:00:00+0530,99.92,99.92,97.06,98.98,30378,0
2025-02-05T00:00:00+0530,99.9,101.25,99.05,99.56,36114,0
2025-02-06T00:00:00+0530,100,103.34,99.72,102.46,43616,0
2025-02-07T00:00:00+0530,104,104,100.02,101.93,35374,0
2025-02-10T00:00:00+0530,97.52,97.52,92,92.64,197890,0
2025-02-11T00:00:00+0530,91.05,93.92,88.72,89.62,71326,0
2025-02-12T00:00:00+0530,87.5,89.4,85.52,86.68,70550,0
2025-02-13T00:00:00+0530,88.2,89.5,86.66,87.02,79052,0
2025-02-14T00:00:00+0530,87,87.72,83.46,84.28,77072,0
2025-02-17T00:00:00+0530,83.55,85.11,81.13,81.8,112814,0
2025-02-18T00:00:00+0530,82.22,83.6,80.05,81.28,74606,0
2025-02-19T00:00:00+0530,81.28,82.41,79.9,81.26,76694,0
2025-02-20T00:00:00+0530,81.68,82.62,79,80.53,121344,0
2025-02-21T00:00:00+0530,81.75,82.83,80.02,81.69,38374,0
2025-02-24T00:00:00+0530,81.95,81.95,79.1,80.21,57078,0
2025-02-25T00:00:00+0530,80.8,81.2,79.41,80.32,25290,0
2025-02-27T00:00:00+0530,79.52,80.94,78.9,79.48,46896,0
2025-02-28T00:00:00+0530,79.24,79.24,76.74,76.98,64456,0
2025-03-03T00:00:00+0530,78.34,78.44,74.99,76.23,46724,0
2025-03-04T00:00:00+0530,76.24,77.85,75.64,76.68,43224,0
2025-03-05T00:00:00+0530,76.74,81.9,76.74,81.26,63654,0
2025-03-06T00:00:00+0530,81.25,83.33,81.1,81.87,28828,0
2025-03-07T00:00:00+0530,83.86,84.25,82.26,83.25,51364,0
2025-03-10T00:00:00+0530,84.88,84.88,79.4,80.47,37298,0
2025-03-11T00:00:00+0530,80.47,80.54,77.7,78.86,41962,0
2025-03-12T00:00:00+0530,77.8,79.7,77.05,77.09,41486,0
2025-03-13T00:00:00+0530,77.09,78.48,76.5,76.76,22152,0
2025-03-17T00:00:00+0530,76.76,77.39,74.6,75.35,80050,0
2025-03-18T00:00:00+0530,75.7,76.16,75,75.23,116788,0
2025-03-19T00:00:00+0530,75.24,78.79,75.24,77.45,92080,0
2025-03-20T00:00:00+0530,78.98,80.88,77.56,77.94,66540,0
2025-03-21T00:00:00+0530,79.51,80,78.1,78.98,91310,0
2025-03-24T00:00:00+0530,80.94,81.44,79,80.15,55296,0
2025-03-25T00:00:00+0530,80.16,80.45,77.94,78.12,56312,0
2025-03-26T00:00:00+0530,79,79,75.01,75.16,113204,0
2025-03-27T00:00:00+0530,76,76,74.44,74.74,185610,0
2025-03-28T00:00:00+0530,76.4,77.2,74.25,74.6,206520,0
2025-04-01T00:00:00+0530,74.62,77.95,74.62,76.9,62314,0
2025-04-02T00:00:00+0530,77.7,83,75.78,82.04,130574,0
2025-04-03T00:00:00+0530,80.74,94.25,80.74,91.88,398290,0
2025-04-04T00:00:00+0530,94.85,94.85,87.14,88.58,181068,0
2025-04-07T00:00:00+0530,81.8,84.26,80,82.18,179088,0
2025-04-08T00:00:00+0530,83.42,86.92,83.42,84.74,65234,0
2025-04-09T00:00:00+0530,84.5,84.74,81.76,83.84,36922,0
2025-04-11T00:00:00+0530,85.12,86.94,85.12,86,29460,0
2025-04-15T00:00:00+0530,89.75,89.75,86.75,87.12,23190,0
2025-04-16T00:00:00+0530,88.5,88.5,85.9,86.96,31700,0
2025-04-17T00:00:00+0530,86.45,88.13,85.02,85.67,53850,0
2025-04-21T00:00:00+0530,87.38,87.38,85.71,86.92,28206,0
2025-04-22T00:00:00+0530,87.15,88.15,86.1,87,38866,0
2025-04-23T00:00:00+0530,87,87.9,85.05,85.7,37124,0
2025-04-24T00:00:00+0530,87.48,92.88,86.5,90.39,132868,0
2025-04-25T00:00:00+0530,90.81,91.31,86.5,87.14,62694,0
2025-04-28T00:00:00+0530,87.14,88.69,86.05,86.8,32430,0
2025-04-29T00:00:00+0530,88.12,88.52,85.15,86.77,27922,0
2025-04-30T00:00:00+0530,86.58,86.58,83.55,83.76,43180,0
2025-05-02T00:00:00+0530,84.21,84.8,83.94,84.02,15670,0
2025-05-05T00:00:00+0530,83.01,86.1,83.01,84.99,20206,0
2025-05-06T00:00:00+0530,84.99,86.15,82.5,82.7,44672,0
2025-05-07T00:00:00+0530,82.7,82.7,80.5,81.58,57372,0
2025-05-08T00:00:00+0530,82.45,83.68,81.5,82.25,20526,0
2025-05-09T00:00:00+0530,83.44,83.44,80.5,81.06,27476,0
2025-05-12T00:00:00+0530,83.47,85.67,81.87,85.16,43062,0
2025-05-13T00:00:00+0530,86.08,87.3,85.06,86.84,29898,0
2025-05-14T00:00:00+0530,87.35,91,86.63,90.09,53196,0
2025-05-15T00:00:00+0530,91.34,91.34,88.5,89.91,21240,0
2025-05-16T00:00:00+0530,91,91,88.88,90.34,33740,0
2025-05-19T00:00:00+0530,90.14,102.35,90.14,101.7,248126,0
2025-05-20T00:00:00+0530,103,109.8,103,104.4,261668,0
2025-05-21T00:00:00+0530,105.32,108.82,105,105.68,176442,0
2025-05-22T00:00:00+0530,107,109,104.18,105.72,178786,0
2025-05-23T00:00:00+0530,106,108.5,100.05,103.7,109256,0
2025-05-26T00:00:00+0530,102.5,106.42,100.95,102.58,214506,0
2025-05-27T00:00:00+0530,104.12,106.5,102.65,105.62,95746,0
2025-05-28T00:00:00+0530,106.96,109.45,106,106.68,130784,0
2025-05-29T00:00:00+0530,106.68,108.16,106.2,106.7,60928,0
2025-05-30T00:00:00+0530,107.44,107.44,103.6,105.25,106322,0
2025-06-02T00:00:00+0530,105.99,114.3,104.23,108.74,197292,0
2025-06-03T00:00:00+0530,109.12,111,108.82,109.46,49836,0
