date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,466.05,471.25,461,468,20735,0
2023-01-03T00:00:00+0530,468,473,465.4,468.1,16969,0
2023-01-04T00:00:00+0530,468,471.55,465,468.3,19321,0
2023-01-05T00:00:00+0530,465.15,468.8,457,464.75,32895,0
2023-01-06T00:00:00+0530,461,465,455.5,456.95,14595,0
2023-01-09T00:00:00+0530,460,462.9,455,457,16452,0
2023-01-10T00:00:00+0530,458,458.6,451,452.85,8956,0
2023-01-11T00:00:00+0530,450,459.95,448.7,451.85,19317,0
2023-01-12T00:00:00+0530,455.95,455.95,421.55,432.9,94532,0
2023-01-13T00:00:00+0530,437,478.8,434.55,466.45,241342,0
2023-01-16T00:00:00+0530,464.35,466.2,451,453.1,38707,0
2023-01-17T00:00:00+0530,453.1,460.4,448.5,455.65,27138,0
2023-01-18T00:00:00+0530,459.3,459.3,444.8,446.95,27075,0
2023-01-19T00:00:00+0530,447.9,447.9,438.5,440.1,26093,0
2023-01-20T00:00:00+0530,442.35,446,435.2,442.4,23067,0
2023-01-23T00:00:00+0530,443,458,442.4,450.25,28365,0
2023-01-24T00:00:00+0530,454.75,454.75,445,446.75,20979,0
2023-01-25T00:00:00+0530,448,455.2,435,440.9,58037,0
2023-01-27T00:00:00+0530,426,436.5,417.1,432.8,93248,0
2023-01-30T00:00:00+0530,432.8,436.1,416.5,418.7,51246,0
2023-01-31T00:00:00+0530,420,427,412.2,417.1,40729,0
2023-02-01T00:00:00+0530,422.95,426.35,410.6,422.5,31541,0
2023-02-02T00:00:00+0530,422.5,434,416.85,424.45,20130,0
2023-02-03T00:00:00+0530,424.45,428.9,412,415.35,31754,0
2023-02-06T00:00:00+0530,420.95,420.95,404.45,408.4,50564,0
2023-02-07T00:00:00+0530,415.85,415.85,405.3,409.45,14002,0
2023-02-08T00:00:00+0530,413.55,416.2,409.25,412.25,17300,0
2023-02-09T00:00:00+0530,411,420,411,414.95,17987,0
2023-02-10T00:00:00+0530,414.95,416.6,411.75,413,11502,0
2023-02-13T00:00:00+0530,415,415,404.3,406.45,20876,0
2023-02-14T00:00:00+0530,406.45,409.95,398,400.4,30947,0
2023-02-15T00:00:00+0530,401,409,398.15,405.55,29924,0
2023-02-16T00:00:00+0530,415,415,405.6,408.2,37390,0
2023-02-17T00:00:00+0530,407.85,415.9,405.05,414.3,23406,0
2023-02-20T00:00:00+0530,418.9,427,415.65,420.25,38918,0
2023-02-21T00:00:00+0530,425.7,436.7,415.6,434.05,29138,0
2023-02-22T00:00:00+0530,430,432,419.35,427.2,39743,0
2023-02-23T00:00:00+0530,421.65,432.45,421.6,422.85,28896,0
2023-02-24T00:00:00+0530,424.45,431.65,420.55,428.65,32038,0
2023-02-27T00:00:00+0530,432.95,432.95,420.95,421.85,31709,0
2023-02-28T00:00:00+0530,420.05,424.9,416,417.5,26026,0
2023-03-01T00:00:00+0530,417.5,456.9,417,446.85,109554,0
2023-03-02T00:00:00+0530,447,454.45,440,448.55,36976,0
2023-03-03T00:00:00+0530,445,459.95,437.3,441.3,46901,0
2023-03-06T00:00:00+0530,444.95,449.45,441.1,443.65,35027,0
2023-03-08T00:00:00+0530,444,453.9,439.15,445.45,44089,0
2023-03-09T00:00:00+0530,449,452.2,440.95,446.6,22563,0
2023-03-10T00:00:00+0530,446.1,457.95,446.1,454.3,58660,0
2023-03-13T00:00:00+0530,455,471.95,445,458.8,80848,0
2023-03-14T00:00:00+0530,464,466,453.7,460.7,30675,0
2023-03-15T00:00:00+0530,460.7,474,442,446.15,41185,0
2023-03-16T00:00:00+0530,450.2,452,429,434.9,32967,0
2023-03-17T00:00:00+0530,436,449.95,412.7,427.8,78595,0
2023-03-20T00:00:00+0530,422.6,438.45,416.85,433.95,31863,0
