date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,247.5,251.55,245,249.35,60823,0
2023-01-03T00:00:00+0530,250.5,253.9,248,250,45929,0
2023-01-04T00:00:00+0530,251.3,251.3,247.1,248.1,32744,0
2023-01-05T00:00:00+0530,246.15,249.3,244,247.35,26805,0
2023-01-06T00:00:00+0530,249,249,243.6,245.05,39903,0
2023-01-09T00:00:00+0530,246.35,247.55,242.05,245,69283,0
2023-01-10T00:00:00+0530,245.9,248.05,244.1,246.65,22500,0
2023-01-11T00:00:00+0530,247.85,248.3,245.1,246.05,19105,0
2023-01-12T00:00:00+0530,248.5,248.5,244.5,246.5,17468,0
2023-01-13T00:00:00+0530,247.5,247.5,245,245.55,15371,0
2023-01-16T00:00:00+0530,247,247.25,243,243.95,23922,0
2023-01-17T00:00:00+0530,245,248.7,243.7,248.25,18854,0
2023-01-18T00:00:00+0530,250,250,247.05,248.6,18369,0
2023-01-19T00:00:00+0530,246,248.75,244.5,245.9,36992,0
2023-01-20T00:00:00+0530,245,246.9,243,245.15,19268,0
2023-01-23T00:00:00+0530,245,246.4,243,243.75,11883,0
2023-01-24T00:00:00+0530,243.75,244.75,241.7,242.1,10930,0
2023-01-25T00:00:00+0530,242.85,242.85,234.6,237.2,39404,0
2023-01-27T00:00:00+0530,237.4,240,229.25,230.9,38835,0
2023-01-30T00:00:00+0530,231.2,234.75,229.25,230.9,18271,0
2023-01-31T00:00:00+0530,233.1,235.95,231,234.2,17895,0
2023-02-01T00:00:00+0530,234.2,240.6,222,225.3,377114,0
2023-02-02T00:00:00+0530,225,230.8,224.9,227.45,42547,0
2023-02-03T00:00:00+0530,225.35,230.15,222,225.05,53195,0
2023-02-06T00:00:00+0530,223.95,223.95,216.05,217.3,53677,0
2023-02-07T00:00:00+0530,217.3,224.85,217.3,221.95,48529,0
2023-02-08T00:00:00+0530,223.7,228.8,222.1,224.25,48254,0
2023-02-09T00:00:00+0530,226.9,226.9,222.95,223.85,26436,0
2023-02-10T00:00:00+0530,223.7,226.65,223,225.15,65238,0
2023-02-13T00:00:00+0530,227,228.5,224.25,225.45,17833,0
2023-02-14T00:00:00+0530,224.5,231.25,213.1,220.95,126937,0
2023-02-15T00:00:00+0530,221.1,225,218.8,220,32401,0
2023-02-16T00:00:00+0530,223.7,223.75,219.35,221.1,27423,0
2023-02-17T00:00:00+0530,221.1,224.5,219.7,220.25,27181,0
2023-02-20T00:00:00+0530,222.45,222.45,214.25,215.1,50283,0
2023-02-21T00:00:00+0530,215.75,216.2,211.6,214.15,49442,0
2023-02-22T00:00:00+0530,213,213.4,207,208.15,129026,0
2023-02-23T00:00:00+0530,209.4,210.15,204.5,209.25,32294,0
2023-02-24T00:00:00+0530,210,216.6,209.7,212.85,33788,0
2023-02-27T00:00:00+0530,213.9,213.9,208.5,210.45,33887,0
2023-02-28T00:00:00+0530,210.45,213.45,210.05,213.05,29481,0
2023-03-01T00:00:00+0530,215.1,216,212.55,214.45,19041,0
2023-03-02T00:00:00+0530,215,215.75,213,213.65,11130,0
2023-03-03T00:00:00+0530,216.5,217.5,212.25,215.4,26105,0
2023-03-06T00:00:00+0530,214.1,221.8,213.9,218.3,45430,0
2023-03-08T00:00:00+0530,218.3,221.15,216.5,219.15,17457,0
2023-03-09T00:00:00+0530,219.15,220.6,216.75,218.95,23160,0
2023-03-10T00:00:00+0530,216.95,218.65,215.25,216.05,16396,0
2023-03-13T00:00:00+0530,217.95,217.95,208.55,209.95,43481,0
2023-03-14T00:00:00+0530,210.2,211.9,209,210,29466,0
2023-03-15T00:00:00+0530,213.15,213.15,207,207.65,17533,0
2023-03-16T00:00:00+0530,208.25,215.8,207,213.3,53991,0
2023-03-17T00:00:00+0530,213.85,213.85,209.1,210.15,16224,0
2023-03-20T00:00:00+0530,210.9,210.95,207,208.35,27159,0
2023-03-21T00:00:00+0530,208.35,215.95,207,207.65,48663,0
2023-03-22T00:00:00+0530,208,210.1,206.25,207.3,32472,0
2023-03-23T00:00:00+0530,207.3,207.3,200.5,202.15,56806,0
2023-03-24T00:00:00+0530,203,203.95,193.2,194.4,75425,0
2023-03-27T00:00:00+0530,196.8,200,189,189.85,86085,0
2023-03-28T00:00:00+0530,191.85,191.85,185.1,186.25,111198,0
2023-03-29T00:00:00+0530,188.1,192.15,184,186.7,55620,0
2023-03-31T00:00:00+0530,189,198,187.3,192.7,73009,0
2023-04-03T00:00:00+0530,195.5,202,192.9,200.9,47015,0
2023-04-05T00:00:00+0530,202,204.85,202,203.6,22737,0
2023-04-06T00:00:00+0530,203.9,205.15,199.25,200,47664,0
2023-04-10T00:00:00+0530,200.1,202.2,198.7,199.75,27644,0
2023-04-11T00:00:00+0530,201.35,201.95,198.3,199.65,17879,0
2023-04-12T00:00:00+0530,200.85,201.5,198.35,199.7,35567,0
2023-04-13T00:00:00+0530,199.7,202.8,198.05,199.15,26688,0
2023-04-17T00:00:00+0530,196.25,201.9,196.25,200.3,47427,0
2023-04-18T00:00:00+0530,201.5,204.6,198.1,199.55,45582,0
2023-04-19T00:00:00+0530,198,208.9,198,199.5,132897,0
2023-04-20T00:00:00+0530,200.95,201.75,199,199.7,67750,0
2023-04-21T00:00:00+0530,199.7,201.25,198.85,199.85,47941,0
2023-04-24T00:00:00+0530,200,201.4,198.1,198.8,54059,0
2023-04-25T00:00:00+0530,199,200.45,197.15,197.85,23974,0
2023-04-26T00:00:00+0530,197.75,199.85,195,195.85,35611,0
2023-04-27T00:00:00+0530,195.5,198.35,195.15,195.95,40978,0
2023-04-28T00:00:00+0530,196.65,198.4,192.5,194.7,97754,0
2023-05-02T00:00:00+0530,194.5,201.7,193.15,194.05,121027,0
2023-05-03T00:00:00+0530,194.05,200.35,194.05,197.05,67301,0
2023-05-04T00:00:00+0530,198.2,203.05,197,199.25,148560,0
2023-05-05T00:00:00+0530,198.7,200.5,197.25,199.4,62643,0
2023-05-08T00:00:00+0530,200,204.5,199.65,200.55,44050,0
2023-05-09T00:00:00+0530,201.75,202.95,198,199,41829,0
2023-05-10T00:00:00+0530,199,200.35,196.5,198.3,32595,0
2023-05-11T00:00:00+0530,199.95,200.2,198.45,199.25,22503,0
2023-05-12T00:00:00+0530,199.1,202.6,198.55,199.55,47970,0
2023-05-15T00:00:00+0530,199.5,200.4,199.15,199.85,46634,0
2023-05-16T00:00:00+0530,200.35,201.6,198.7,199.15,36941,0
2023-05-17T00:00:00+0530,200,200.2,197.05,198.5,19768,0
2023-05-18T00:00:00+0530,199.9,199.9,197.25,197.75,26435,0
2023-05-19T00:00:00+0530,199.65,199.65,195.8,197.35,26622,0
2023-05-22T00:00:00+0530,197.4,198.85,197,197.85,16553,0
2023-05-23T00:00:00+0530,199.75,200,197.2,198.2,34542,0
2023-05-24T00:00:00+0530,199,206.8,198.05,203.8,111943,0
2023-05-25T00:00:00+0530,204.8,216.6,204.35,209.65,292497,0
2023-05-26T00:00:00+0530,210.5,213.25,206.35,207.35,86061,0
2023-05-29T00:00:00+0530,207.5,208.95,204.5,207.9,56708,0
2023-05-30T00:00:00+0530,208.5,212,206,206.7,85342,0
2023-05-31T00:00:00+0530,200,201.95,194.15,196.1,187350,0
2023-06-01T00:00:00+0530,196.2,199.1,196.1,197.9,34117,0
2023-06-02T00:00:00+0530,199.3,200.1,198.45,199.2,64449,0
2023-06-05T00:00:00+0530,201,221.65,199.5,207.2,857496,0
2023-06-06T00:00:00+0530,208,216.55,207.95,214,209562,0
2023-06-07T00:00:00+0530,215.6,219.45,211,216.4,151728,0
2023-06-08T00:00:00+0530,217,217.95,210.15,210.7,73707,0
2023-06-09T00:00:00+0530,211,212.4,207.05,208.05,60011,0
2023-06-12T00:00:00+0530,209.7,215.9,208.3,213.65,72580,0
2023-06-13T00:00:00+0530,215.2,217,208.05,210.15,100869,0
2023-06-14T00:00:00+0530,210.2,212.6,209.15,210.6,48420,0
2023-06-15T00:00:00+0530,216.1,226.3,215,218,787398,0
2023-06-16T00:00:00+0530,219.2,223.05,216.2,218.1,97644,0
2023-06-19T00:00:00+0530,218.4,222.9,217,218.9,85893,0
2023-06-20T00:00:00+0530,218,225.85,217.65,221.3,123069,0
2023-06-21T00:00:00+0530,221.95,222.9,217.4,218.85,65995,0
2023-06-22T00:00:00+0530,219,221.9,216.2,216.9,76894,0
2023-06-23T00:00:00+0530,217.55,218.6,213.5,214.5,58473,0
2023-06-26T00:00:00+0530,215.4,217.45,213.4,215.2,39580,0
2023-06-27T00:00:00+0530,218,218,212.05,212.75,89412,0
2023-06-28T00:00:00+0530,213.9,214.35,212.05,212.6,45880,0
2023-06-30T00:00:00+0530,212.6,213.95,211,212.85,70775,0
2023-07-03T00:00:00+0530,214.55,214.55,210.9,212.6,79141,0
2023-07-04T00:00:00+0530,212.6,213.95,209.45,210.65,63434,0
2023-07-05T00:00:00+0530,211.7,214.9,211.05,212.55,43187,0
2023-07-06T00:00:00+0530,213,221.6,211.05,212.3,723547,0
2023-07-07T00:00:00+0530,212.8,214.1,211.2,212.05,110715,0
2023-07-10T00:00:00+0530,213,213,205.5,208.05,101384,0
2023-07-11T00:00:00+0530,208.95,211.5,207.75,209.05,81328,0
2023-07-12T00:00:00+0530,210.55,216.5,208.55,213.75,122553,0
2023-07-13T00:00:00+0530,216,220.3,214.3,217.4,228178,0
2023-07-14T00:00:00+0530,218.3,219.8,214.1,216,112317,0
2023-07-17T00:00:00+0530,216.6,222.4,214.75,218.7,258883,0
2023-07-18T00:00:00+0530,219.6,220,214.25,215.2,95813,0
2023-07-19T00:00:00+0530,216,218.8,215.65,216.85,77349,0
2023-07-20T00:00:00+0530,217,234.85,216.95,228.5,868251,0
2023-07-21T00:00:00+0530,228,235.65,227.45,229.4,312086,0
2023-07-24T00:00:00+0530,230.4,230.7,220.9,222.35,200074,0
2023-07-25T00:00:00+0530,223.9,225.55,220.2,221.75,102312,0
2023-07-26T00:00:00+0530,223.2,223.4,218.5,219.4,73336,0
