date,open,high,low,close,volume,empty
2023-10-25T00:00:00+0530,80,84,76,80.05,2466000,0
2023-10-26T00:00:00+0530,76.05,76.05,76.05,76.05,45000,0
2023-10-27T00:00:00+0530,72.25,78.95,72.25,72.35,807000,0
2023-10-30T00:00:00+0530,71,73.35,68.75,68.75,336000,0
2023-10-31T00:00:00+0530,71.65,71.9,65.4,67.85,216000,0
2023-11-01T00:00:00+0530,68,70.15,66.15,68.5,96000,0
2023-11-02T00:00:00+0530,68.5,69,65.1,65.1,183000,0
2023-11-03T00:00:00+0530,66,68.35,62.6,68.35,162000,0
2023-11-06T00:00:00+0530,70.45,70.5,66.25,68.2,120000,0
2023-11-07T00:00:00+0530,66.8,68.75,66.1,66.6,87000,0
2023-11-08T00:00:00+0530,65,67.5,63.95,64.95,105000,0
2023-11-09T00:00:00+0530,65,65,62.8,63.05,93000,0
2023-11-10T00:00:00+0530,60.05,64.5,59.2,62.85,189000,0
2023-11-12T00:00:00+0530,63.45,63.5,63.45,63.45,6000,0
2023-11-13T00:00:00+0530,62.5,62.8,61.25,62.65,33000,0
2023-11-15T00:00:00+0530,60.3,61,56,56.8,516000,0
2023-11-16T00:00:00+0530,56.1,59,53.55,58.05,165000,0
2023-11-17T00:00:00+0530,56.7,58,56.5,57.8,60000,0
2023-11-20T00:00:00+0530,57.5,58.05,55,55.55,72000,0
2023-11-21T00:00:00+0530,56,58,56,57.5,36000,0
2023-11-22T00:00:00+0530,58.4,59.8,56.5,56.5,45000,0
2023-11-23T00:00:00+0530,55.35,57.95,55.35,56.95,30000,0
2023-11-24T00:00:00+0530,58.3,58.3,57,57.65,24000,0
2023-11-28T00:00:00+0530,58.5,58.5,56,56.65,45000,0
2023-11-29T00:00:00+0530,56,56,54.5,55.15,69000,0
2023-11-30T00:00:00+0530,54.65,57.5,54.65,57.5,57000,0
2023-12-01T00:00:00+0530,58,58,55.5,57.45,36000,0
2023-12-04T00:00:00+0530,56.05,56.5,55,56,63000,0
2023-12-05T00:00:00+0530,55.15,55.6,54.45,55.5,72000,0
2023-12-06T00:00:00+0530,55,55,54.1,54.85,39000,0
2023-12-07T00:00:00+0530,53.6,54.8,53.1,53.3,72000,0
2023-12-08T00:00:00+0530,54.5,55.5,53.5,53.5,57000,0
2023-12-11T00:00:00+0530,55,55.8,54.5,55.8,36000,0
2023-12-12T00:00:00+0530,57.4,57.4,56.5,56.9,30000,0
2023-12-13T00:00:00+0530,56.5,57.1,55.25,56.2,39000,0
2023-12-14T00:00:00+0530,57,66,55.3,62.4,261000,0
2023-12-15T00:00:00+0530,65.5,65.5,60,60.7,57000,0
2023-12-18T00:00:00+0530,59.4,68.25,58.75,67.5,183000,0
2023-12-19T00:00:00+0530,69.95,70,64.35,65.9,66000,0
2023-12-20T00:00:00+0530,67.4,67.85,59,61.85,60000,0
2023-12-21T00:00:00+0530,63,63,59,59.95,42000,0
2023-12-22T00:00:00+0530,61,61,60.4,61,18000,0
2023-12-26T00:00:00+0530,61.5,63,60,61.25,36000,0
2023-12-27T00:00:00+0530,60.2,62.75,58.1,61.9,27000,0
2023-12-28T00:00:00+0530,60.3,60.3,58.65,58.75,21000,0
2023-12-29T00:00:00+0530,59.95,60.75,58.75,59.15,48000,0
2024-01-01T00:00:00+0530,60,60.5,59,60.25,21000,0
2024-01-02T00:00:00+0530,60.5,60.5,58.05,58.85,48000,0
2024-01-03T00:00:00+0530,58,65,57.4,62.55,72000,0
2024-01-04T00:00:00+0530,65,68,65,66.75,63000,0
2024-01-05T00:00:00+0530,66,66.4,62.5,64.4,69000,0
2024-01-08T00:00:00+0530,62.6,64.4,62.6,63.5,27000,0
2024-01-09T00:00:00+0530,62.75,62.75,61.9,61.95,12000,0
2024-01-10T00:00:00+0530,61.5,62.5,60.5,61.35,75000,0
2024-01-11T00:00:00+0530,62,63.5,60.55,62.75,66000,0
2024-01-12T00:00:00+0530,62.05,62.05,60.8,61,42000,0
2024-01-15T00:00:00+0530,63,66.65,63,65,219000,0
2024-01-16T00:00:00+0530,67.5,67.9,63.5,63.65,63000,0
2024-01-17T00:00:00+0530,63,64,62,62.1,42000,0
2024-01-18T00:00:00+0530,60.6,65.9,60.6,64,24000,0
2024-01-19T00:00:00+0530,64.95,67.5,64.95,66.75,150000,0
2024-01-20T00:00:00+0530,68,68,66,66.7,30000,0
2024-01-23T00:00:00+0530,68.65,68.65,65,65,51000,0
2024-01-24T00:00:00+0530,65,65,63.3,63.3,6000,0
2024-01-25T00:00:00+0530,63.3,63.3,61.65,62,30000,0
2024-01-29T00:00:00+0530,61.6,62,59.8,60.05,69000,0
2024-01-30T00:00:00+0530,59,60.2,59,59.15,33000,0
2024-01-31T00:00:00+0530,60,62.4,60,61.2,27000,0
2024-02-01T00:00:00+0530,61.2,62,61.2,62,12000,0
2024-02-02T00:00:00+0530,64,64,60.6,60.75,48000,0
2024-02-05T00:00:00+0530,60.5,60.5,60,60.4,18000,0
2024-02-06T00:00:00+0530,58.3,60.4,58.05,60.4,27000,0
2024-02-07T00:00:00+0530,57.15,60,57.15,59.55,60000,0
2024-02-08T00:00:00+0530,60,60,58.1,58.3,15000,0
2024-02-09T00:00:00+0530,58.3,58.9,57.8,58,30000,0
2024-02-12T00:00:00+0530,57.8,57.8,56,56,24000,0
2024-02-13T00:00:00+0530,56.85,56.95,56.85,56.95,33000,0
2024-02-14T00:00:00+0530,56.95,57.25,55.8,55.8,27000,0
2024-02-15T00:00:00+0530,54.25,55.5,52,52.75,111000,0
2024-02-16T00:00:00+0530,54.4,57.65,54.3,56.5,36000,0
2024-02-20T00:00:00+0530,56.5,58,56,57.95,18000,0
2024-02-21T00:00:00+0530,57.95,58.5,56.2,58.5,21000,0
2024-02-22T00:00:00+0530,55.4,59.4,55.4,57.05,18000,0
2024-02-23T00:00:00+0530,57.1,62,57.1,62,87000,0
2024-02-26T00:00:00+0530,63,63,60.55,62.6,18000,0
2024-02-27T00:00:00+0530,62.85,62.85,56.7,58.3,36000,0
2024-02-28T00:00:00+0530,60,60,55,56.35,42000,0
2024-02-29T00:00:00+0530,54.6,56,54.6,56,21000,0
2024-03-01T00:00:00+0530,55.6,57.85,55.05,57.8,21000,0
2024-03-02T00:00:00+0530,56.3,56.3,56,56,6000,0
2024-03-04T00:00:00+0530,53.05,56.45,53.05,55,54000,0
2024-03-05T00:00:00+0530,54.15,54.75,54,54.75,33000,0
2024-03-06T00:00:00+0530,54.25,54.25,52.85,53.05,39000,0
2024-03-07T00:00:00+0530,52,52,50.4,51.55,36000,0
2024-03-11T00:00:00+0530,51.95,51.95,50,50.15,36000,0
2024-03-12T00:00:00+0530,48.65,50.05,44.3,44.95,99000,0
2024-03-13T00:00:00+0530,43.25,43.25,40.65,41.25,111000,0
2024-03-14T00:00:00+0530,38.05,44,38.05,43.95,57000,0
2024-03-15T00:00:00+0530,44,44.6,43.25,44.1,39000,0
2024-03-18T00:00:00+0530,48,48,47.3,48,15000,0
2024-03-19T00:00:00+0530,47.2,47.2,45.55,45.8,27000,0
2024-03-20T00:00:00+0530,45.55,47.5,45.55,47.5,126000,0
2024-03-21T00:00:00+0530,45.5,49,45.5,49,60000,0
2024-03-22T00:00:00+0530,47.55,48.8,47.5,48.15,63000,0
2024-03-26T00:00:00+0530,47,47,45.6,45.8,63000,0
2024-03-27T00:00:00+0530,45.7,45.7,41.5,43.3,60000,0
2024-03-28T00:00:00+0530,48.3,48.3,44.2,44.85,60000,0
2024-04-01T00:00:00+0530,44.85,48.3,44.85,48.3,12000,0
2024-04-02T00:00:00+0530,48.9,49.95,48.9,49.95,12000,0
2024-04-03T00:00:00+0530,50.95,51.1,50.95,51,12000,0
2024-04-04T00:00:00+0530,50.7,50.7,48.35,49.5,9000,0
2024-04-05T00:00:00+0530,49,49,48.15,48.15,9000,0
2024-04-08T00:00:00+0530,48.2,48.2,48.1,48.15,12000,0
2024-04-10T00:00:00+0530,50,50,50,50,3000,0
2024-04-12T00:00:00+0530,50,50,49.9,49.9,6000,0
2024-04-15T00:00:00+0530,46,46.5,46,46.25,6000,0
2024-04-16T00:00:00+0530,46.25,49.45,46.25,48.7,15000,0
2024-04-18T00:00:00+0530,46.5,47.5,46.5,47.5,12000,0
2024-04-19T00:00:00+0530,48,48,48,48,6000,0
2024-04-22T00:00:00+0530,50,54.15,49.95,52.55,69000,0
2024-04-23T00:00:00+0530,53.55,53.55,52,52.25,24000,0
2024-04-24T00:00:00+0530,51.55,52.95,51.5,52.95,21000,0
2024-04-25T00:00:00+0530,56.7,56.7,56.7,56.7,3000,0
2024-04-26T00:00:00+0530,52.05,52.05,50.4,50.4,21000,0
2024-04-29T00:00:00+0530,50,55.8,50,54.4,48000,0
2024-04-30T00:00:00+0530,54.4,54.4,52.4,52.4,21000,0
2024-05-02T00:00:00+0530,53.5,55.3,52.4,54.15,15000,0
2024-05-03T00:00:00+0530,53.5,54.9,51.05,51.6,27000,0
2024-05-06T00:00:00+0530,52,52.35,51.9,51.9,9000,0
2024-05-07T00:00:00+0530,50.5,52.5,50.5,52.5,9000,0
2024-05-08T00:00:00+0530,50.5,51.45,50.15,50.45,18000,0
2024-05-09T00:00:00+0530,52.4,52.4,49.9,49.9,9000,0
2024-05-10T00:00:00+0530,48.95,48.95,46.55,46.7,18000,0
2024-05-13T00:00:00+0530,46.5,46.6,45.5,45.5,27000,0
2024-05-14T00:00:00+0530,48.6,51,48.6,51,27000,0
2024-05-15T00:00:00+0530,51.5,51.5,51,51,6000,0
2024-05-16T00:00:00+0530,53.95,53.95,53.2,53.45,15000,0
2024-05-17T00:00:00+0530,53.1,53.45,49.9,50.15,51000,0
2024-05-21T00:00:00+0530,51,52,49,49,24000,0
2024-05-23T00:00:00+0530,51,52,51,52,18000,0
2024-05-27T00:00:00+0530,53,57.45,53,55.75,105000,0
2024-05-28T00:00:00+0530,55.75,55.75,51,51,24000,0
2024-05-29T00:00:00+0530,49.05,53,49.05,53,6000,0
2024-05-30T00:00:00+0530,49.05,49.5,49.05,49.25,6000,0
2024-05-31T00:00:00+0530,48,50,48,50,9000,0
2024-06-03T00:00:00+0530,50,53,50,51.3,12000,0
2024-06-05T00:00:00+0530,51,51,48.55,48.75,24000,0
2024-06-07T00:00:00+0530,48.6,48.6,48.55,48.55,9000,0
2024-06-10T00:00:00+0530,48.5,52.95,48.5,52,12000,0
2024-06-11T00:00:00+0530,52.5,52.5,49,50.9,18000,0
2024-06-12T00:00:00+0530,50.9,50.9,50.8,50.8,6000,0
2024-06-14T00:00:00+0530,51,51,49.5,49.5,12000,0
2024-06-18T00:00:00+0530,49.55,49.55,49.55,49.55,3000,0
2024-06-19T00:00:00+0530,49.55,49.55,49,49,6000,0
2024-06-20T00:00:00+0530,46.5,49.8,46.5,49.8,12000,0
2024-06-21T00:00:00+0530,47,48.25,47,48.05,12000,0
2024-06-24T00:00:00+0530,48.15,48.15,48.15,48.15,3000,0
2024-06-25T00:00:00+0530,48.15,48.5,47.5,48.5,15000,0
2024-06-26T00:00:00+0530,48.5,48.5,47,47,24000,0
2024-06-27T00:00:00+0530,47,47,47,47,6000,0
2024-07-01T00:00:00+0530,47,50,47,49.35,12000,0
2024-07-02T00:00:00+0530,47.1,47.1,47.1,47.1,3000,0
2024-07-03T00:00:00+0530,50.15,50.15,48,48.05,33000,0
2024-07-04T00:00:00+0530,49.8,51,49.8,50.85,51000,0
2024-07-05T00:00:00+0530,51,54.8,51,54.3,84000,0
2024-07-08T00:00:00+0530,54.3,57.5,50.05,55.8,87000,0
2024-07-09T00:00:00+0530,56.05,56.05,54,54.5,33000,0
2024-07-10T00:00:00+0530,53.25,53.75,51,52,45000,0
2024-07-11T00:00:00+0530,52.5,61.5,52.5,60.65,162000,0
2024-07-12T00:00:00+0530,61.95,72.75,61.5,72.75,858000,0
2024-07-15T00:00:00+0530,78.6,87.3,78.6,87.3,723000,0
2024-07-16T00:00:00+0530,89.05,94.4,78.6,78.6,636000,0
2024-07-18T00:00:00+0530,77.4,77.4,70.75,70.75,195000,0
2024-07-19T00:00:00+0530,66.65,68.5,63.7,63.85,174000,0
2024-07-22T00:00:00+0530,65.3,67,65.3,67,45000,0
2024-07-23T00:00:00+0530,70.35,70.35,66,69.4,117000,0
2024-07-24T00:00:00+0530,68.7,69,66.15,66.5,48000,0
2024-07-25T00:00:00+0530,67,69.8,67,69.8,72000,0
2024-07-26T00:00:00+0530,71,72.9,71,71.05,39000,0
2024-07-29T00:00:00+0530,70.5,70.5,67.5,67.5,141000,0
2024-07-30T00:00:00+0530,65.25,68.75,64.6,64.8,57000,0
2024-07-31T00:00:00+0530,64.8,64.8,62.6,63,48000,0
2024-08-01T00:00:00+0530,64,64.25,62.1,62.1,21000,0
2024-08-02T00:00:00+0530,62,62.9,59,59.55,54000,0
2024-08-05T00:00:00+0530,57.6,58.35,56.65,56.65,27000,0
2024-08-06T00:00:00+0530,58,59.45,54.3,55.1,57000,0
2024-08-07T00:00:00+0530,55.5,57.85,55.5,57.15,24000,0
2024-08-08T00:00:00+0530,57,57,56.5,56.95,18000,0
2024-08-09T00:00:00+0530,57,58.5,57,58.2,30000,0
2024-08-12T00:00:00+0530,60.9,61.1,60.9,61.1,27000,0
2024-08-13T00:00:00+0530,63.5,64.15,63.5,64.15,30000,0
2024-08-14T00:00:00+0530,64.15,67.35,64.15,67.35,42000,0
2024-08-16T00:00:00+0530,67.35,67.35,64,65.5,30000,0
2024-08-19T00:00:00+0530,65.5,65.5,62.25,65.3,48000,0
2024-08-20T00:00:00+0530,65,65,62.15,62.9,36000,0
2024-08-21T00:00:00+0530,61.25,61.5,60.75,61.5,18000,0
2024-08-22T00:00:00+0530,60.95,61.5,60.95,61.5,15000,0
2024-08-23T00:00:00+0530,62,62.5,61.3,62.1,24000,0
2024-08-26T00:00:00+0530,62,62.1,62,62.1,12000,0
2024-08-27T00:00:00+0530,63.5,63.5,61.2,61.7,33000,0
2024-08-28T00:00:00+0530,62.5,62.5,59.05,60.5,51000,0
2024-08-29T00:00:00+0530,62.95,63.5,60.75,61.5,66000,0
2024-08-30T00:00:00+0530,62,63.85,62,63.1,30000,0
2024-09-02T00:00:00+0530,64.8,66.25,64.2,64.6,66000,0
2024-09-03T00:00:00+0530,64.7,67.8,64.5,67.8,54000,0
2024-09-04T00:00:00+0530,71.15,71.15,71.15,71.15,30000,0
2024-09-05T00:00:00+0530,74.7,74.7,74.7,74.7,12000,0
2024-09-06T00:00:00+0530,78.4,78.4,73.5,77.5,261000,0
2024-09-09T00:00:00+0530,81,81.35,81,81.35,60000,0
2024-09-10T00:00:00+0530,85.4,85.4,83.5,85.4,255000,0
2024-09-11T00:00:00+0530,89.65,89.65,89.65,89.65,48000,0
2024-09-12T00:00:00+0530,94.1,94.1,86.25,94,519000,0
2024-09-13T00:00:00+0530,94.25,98.7,94.1,98.7,255000,0
2024-09-16T00:00:00+0530,103.6,103.6,103.6,103.6,12000,0
2024-09-17T00:00:00+0530,108.75,108.75,108.75,108.75,6000,0
2024-09-18T00:00:00+0530,114.15,114.15,103.35,114.15,456000,0
2024-09-19T00:00:00+0530,117,119.85,117,119.85,270000,0
2024-09-20T00:00:00+0530,122.95,125.8,122,125.8,99000,0
2024-09-23T00:00:00+0530,132.05,132.05,132.05,132.05,21000,0
2024-09-24T00:00:00+0530,138.65,138.65,138.65,138.65,12000,0
2024-09-25T00:00:00+0530,145.55,145.55,145.55,145.55,45000,0
