date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,523.1,531.75,516.05,521.2,72931,0
2023-01-03T00:00:00+0530,522.65,524.65,515.15,517.15,59947,0
2023-01-04T00:00:00+0530,518,522.85,515,517.3,55374,0
2023-01-05T00:00:00+0530,516.1,522,507.3,509.45,76448,0
2023-01-06T00:00:00+0530,508,511.65,503,504.7,36096,0
2023-01-09T00:00:00+0530,508.25,513.35,507.1,508.75,28671,0
2023-01-10T00:00:00+0530,510,519,506.75,514.15,23665,0
2023-01-11T00:00:00+0530,515.6,518.5,503.5,506.15,60683,0
2023-01-12T00:00:00+0530,506,515.4,504.85,509.4,124828,0
2023-01-13T00:00:00+0530,508.6,519.25,506.25,516.25,80748,0
2023-01-16T00:00:00+0530,518.8,519.5,514.7,517.65,35150,0
2023-01-17T00:00:00+0530,512.45,520.45,509.75,511.8,61892,0
2023-01-18T00:00:00+0530,512.5,514.75,504,508.35,80820,0
2023-01-19T00:00:00+0530,508.2,512,501.55,506.25,43388,0
2023-01-20T00:00:00+0530,505.05,519,501.55,510.3,103089,0
2023-01-23T00:00:00+0530,510.3,513.75,503.25,509.55,55162,0
2023-01-24T00:00:00+0530,506,511,493.35,497.05,55341,0
2023-01-25T00:00:00+0530,495,509,488,493.9,222776,0
2023-01-27T00:00:00+0530,490.25,495.15,472.3,490.45,136896,0
2023-01-30T00:00:00+0530,490,494.6,467,470.15,58927,0
2023-01-31T00:00:00+0530,470.95,515,470.95,508,275864,0
2023-02-01T00:00:00+0530,505,529.8,499,503.3,171052,0
2023-02-02T00:00:00+0530,500,512,495.55,507.8,36568,0
2023-02-03T00:00:00+0530,507,513,499.55,509.9,38053,0
2023-02-06T00:00:00+0530,509.9,518.45,502.85,506.15,43340,0
2023-02-07T00:00:00+0530,506,518,499.3,515.05,65964,0
2023-02-08T00:00:00+0530,515.05,517,511.95,514.85,50681,0
2023-02-09T00:00:00+0530,508.05,514.85,500,500.8,48631,0
2023-02-10T00:00:00+0530,500.8,515.1,500.8,512.25,134449,0
2023-02-13T00:00:00+0530,512.25,512.25,503.05,505.9,30169,0
2023-02-14T00:00:00+0530,505.8,521,500.8,508.2,112075,0
2023-02-15T00:00:00+0530,505,515.55,505,511.35,55489,0
2023-02-16T00:00:00+0530,512.65,514.45,509.45,513.05,23072,0
2023-02-17T00:00:00+0530,515.65,519.7,512.2,514.25,29863,0
2023-02-20T00:00:00+0530,514.25,518,510.25,514.25,26576,0
2023-02-21T00:00:00+0530,513.45,514,496,497.9,39741,0
2023-02-22T00:00:00+0530,494.2,499.7,488.1,491.85,30964,0
2023-02-23T00:00:00+0530,487,512.35,486.35,499.8,143373,0
2023-02-24T00:00:00+0530,499.8,502.25,486.65,488.85,31604,0
2023-02-27T00:00:00+0530,487,488.65,465.05,467.85,140721,0
2023-02-28T00:00:00+0530,470.15,489,468.1,481.85,102076,0
2023-03-01T00:00:00+0530,481,490,478.6,487.7,24851,0
2023-03-02T00:00:00+0530,487.7,487.7,478.25,482.9,43670,0
2023-03-03T00:00:00+0530,482.9,488,480.25,484.35,34208,0
2023-03-06T00:00:00+0530,484.35,498.25,484.05,493.95,69278,0
2023-03-08T00:00:00+0530,489.5,495.75,485.2,492.5,24951,0
2023-03-09T00:00:00+0530,488.1,493.45,485.45,488.85,17502,0
2023-03-10T00:00:00+0530,486,488.3,478.9,481.7,29812,0
2023-03-13T00:00:00+0530,480.95,482,467.25,469.75,42272,0
