date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,3087.9,3087.9,3021,3047.25,1015990,0
2023-01-03T00:00:00+0530,3047,3059.95,3025,3028.25,860367,0
2023-01-04T00:00:00+0530,3035,3050,3001.55,3016.85,836382,0
2023-01-05T00:00:00+0530,3039.55,3046.6,2995.4,3004.35,1113920,0
2023-01-06T00:00:00+0530,3010,3023.5,2952,2978.4,1045526,0
2023-01-09T00:00:00+0530,2993.3,3017.65,2951,2984.15,808263,0
2023-01-10T00:00:00+0530,2984.15,2985,2952.2,2960.35,864325,0
2023-01-11T00:00:00+0530,2974.9,2974.9,2935,2940.4,890426,0
2023-01-12T00:00:00+0530,2939,2939.85,2896,2915.95,1558620,0
2023-01-13T00:00:00+0530,2925,2925,2871.75,2909.15,1507864,0
2023-01-16T00:00:00+0530,2925,2929.6,2896,2916.05,644073,0
2023-01-17T00:00:00+0530,2925,2944.85,2911.15,2940.9,716489,0
2023-01-18T00:00:00+0530,2947.95,2960,2929.35,2945.25,893808,0
2023-01-19T00:00:00+0530,2954.9,2973.6,2843.6,2866.15,2379947,0
2023-01-20T00:00:00+0530,2848,2848,2781,2787.8,3171005,0
2023-01-23T00:00:00+0530,2800,2800,2767.85,2784.45,1402260,0
2023-01-24T00:00:00+0530,2795,2827.1,2784.45,2810.6,1061471,0
2023-01-25T00:00:00+0530,2810.9,2811,2767.1,2775,857953,0
2023-01-27T00:00:00+0530,2766.6,2772.85,2685.85,2722.65,1801498,0
2023-01-30T00:00:00+0530,2724,2776,2696.25,2766.2,1171912,0
2023-01-31T00:00:00+0530,2760,2779.95,2718.05,2725.85,1961805,0
2023-02-01T00:00:00+0530,2749.8,2778,2704.8,2743.75,1176872,0
2023-02-02T00:00:00+0530,2741,2741,2694,2705.65,1308570,0
2023-02-03T00:00:00+0530,2705.65,2763.9,2700,2760.4,1278409,0
2023-02-06T00:00:00+0530,2760.4,2765,2718,2754.2,1120284,0
2023-02-07T00:00:00+0530,2762,2774.5,2748.15,2758.05,732250,0
2023-02-08T00:00:00+0530,2768,2784,2744.3,2765.6,811956,0
2023-02-09T00:00:00+0530,2781.95,2820.35,2766.15,2814.6,946372,0
2023-02-10T00:00:00+0530,2830,2830.95,2793,2804.6,700072,0
2023-02-13T00:00:00+0530,2814.5,2829,2780,2790.75,467228,0
2023-02-14T00:00:00+0530,2804.75,2804.75,2765,2777,524746,0
2023-02-15T00:00:00+0530,2777,2798.3,2754,2786.15,817717,0
2023-02-16T00:00:00+0530,2797,2834.35,2790.1,2805.95,788964,0
2023-02-17T00:00:00+0530,2802.95,2845.85,2785.5,2833.6,840526,0
2023-02-20T00:00:00+0530,2845,2852,2812.1,2825.55,646218,0
2023-02-21T00:00:00+0530,2837,2838.7,2805,2817.1,631934,0
2023-02-22T00:00:00+0530,2809.95,2813.95,2780,2795.95,580270,0
2023-02-23T00:00:00+0530,2805,2805.55,2700.1,2705.95,1790570,0
2023-02-24T00:00:00+0530,2712.1,2762,2710,2738.5,1429040,0
2023-02-27T00:00:00+0530,2740.4,2758.65,2725.05,2749.9,561317,0
2023-02-28T00:00:00+0530,2750,2839,2727.45,2828.8,1815923,0
2023-03-01T00:00:00+0530,2828,2853.3,2816.05,2840.9,816598,0
