date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,234.8,239.85,232,238.1,5225,0
2023-01-03T00:00:00+0530,238.1,239.75,233,237.05,11617,0
2023-01-04T00:00:00+0530,239,240,233,237.95,2819,0
2023-01-05T00:00:00+0530,233.1,236.95,228.05,228.95,5472,0
2023-01-06T00:00:00+0530,231,234.95,222.2,229.85,4536,0
2023-01-09T00:00:00+0530,232.5,244.25,230.55,241.3,16309,0
2023-01-10T00:00:00+0530,246.85,248,241.3,243.1,8092,0
2023-01-11T00:00:00+0530,242.1,246.35,236,238.85,2222,0
2023-01-12T00:00:00+0530,240,241.3,232.05,233.8,2705,0
2023-01-13T00:00:00+0530,235.25,239.15,235.25,235.8,1125,0
2023-01-16T00:00:00+0530,236.1,238.45,227.3,232.05,1904,0
2023-01-17T00:00:00+0530,230.1,239.15,230.1,234.7,2242,0
2023-01-18T00:00:00+0530,233.1,240,233,237.55,2236,0
2023-01-19T00:00:00+0530,232.8,244,232.8,240.1,5667,0
2023-01-20T00:00:00+0530,242,242.75,235.8,237.65,3378,0
2023-01-23T00:00:00+0530,243,248.1,237.2,239.9,2717,0
2023-01-24T00:00:00+0530,249.7,249.7,237.5,240.6,5694,0
2023-01-25T00:00:00+0530,237.55,242.95,236.05,236.6,1422,0
2023-01-27T00:00:00+0530,236.5,236.5,220.55,226.3,3322,0
2023-01-30T00:00:00+0530,220,233,215,218.65,8695,0
2023-01-31T00:00:00+0530,218.65,226.8,218,224.1,2915,0
2023-02-01T00:00:00+0530,226.8,227.6,218.05,220.15,1922,0
2023-02-02T00:00:00+0530,224.95,224.95,220,220.6,750,0
2023-02-03T00:00:00+0530,220.45,224.95,218,220.55,4300,0
2023-02-06T00:00:00+0530,225,225.6,219.05,224.85,1502,0
2023-02-07T00:00:00+0530,229,229,221,225,1990,0
2023-02-08T00:00:00+0530,230,235,220,220.9,6776,0
2023-02-09T00:00:00+0530,220.55,224.5,217,217.55,4053,0
2023-02-10T00:00:00+0530,214.55,218.9,210,216.25,1824,0
2023-02-13T00:00:00+0530,210.35,218.9,204.4,207.65,8990,0
2023-02-14T00:00:00+0530,204.55,210.45,202,206.25,4933,0
2023-02-15T00:00:00+0530,208.8,209.9,202.4,204,4423,0
2023-02-16T00:00:00+0530,212.95,212.95,207,208.75,1742,0
2023-02-17T00:00:00+0530,209.25,209.7,204,204.65,2841,0
2023-02-20T00:00:00+0530,204.3,210,200.5,201.8,3752,0
2023-02-21T00:00:00+0530,205,205.85,200.1,204.4,2863,0
2023-02-22T00:00:00+0530,206.25,234,202,215.45,19618,0
2023-02-23T00:00:00+0530,219,223,212,219.55,4508,0
2023-02-24T00:00:00+0530,217,217.1,205.5,207.1,4282,0
2023-02-27T00:00:00+0530,209,212,202.5,203,5477,0
2023-02-28T00:00:00+0530,209.05,209.05,204.1,206.15,1101,0
2023-03-01T00:00:00+0530,209,209,205.05,206.2,884,0
2023-03-02T00:00:00+0530,206.5,209.85,202.5,204.05,2585,0
2023-03-03T00:00:00+0530,205.05,209.6,205,209.5,1178,0
2023-03-06T00:00:00+0530,209.5,216,205.05,211.7,3620,0
2023-03-08T00:00:00+0530,211.7,216,208.6,209.8,1109,0
2023-03-09T00:00:00+0530,208.1,217,208.1,210.15,1044,0
2023-03-10T00:00:00+0530,217,217,206.05,209.1,4095,0
2023-03-13T00:00:00+0530,213.05,216,206,206.15,1831,0
2023-03-14T00:00:00+0530,210,210,203.6,204.95,1509,0
2023-03-15T00:00:00+0530,214.9,214.9,205.05,206.15,1672,0
2023-03-16T00:00:00+0530,205,205,199.2,200.25,1388,0
2023-03-17T00:00:00+0530,200,232,199.95,211.5,32715,0
2023-03-20T00:00:00+0530,211.5,215,204.05,206.75,1248,0
2023-03-21T00:00:00+0530,214,214,201,201.85,3466,0
2023-03-22T00:00:00+0530,214,214,199.9,203.3,5710,0
2023-03-23T00:00:00+0530,200.5,205.9,200,203.8,1882,0
2023-03-24T00:00:00+0530,199.95,203.9,199.9,201.45,3337,0
2023-03-27T00:00:00+0530,201.35,204.9,185,190.15,5388,0
2023-03-28T00:00:00+0530,190.9,199,183.6,184.35,3233,0
2023-03-29T00:00:00+0530,187,191.7,186,187.4,3338,0
2023-03-31T00:00:00+0530,195,195.25,185.2,188.8,6892,0
2023-04-03T00:00:00+0530,188.8,199.7,188.8,196.85,3445,0
2023-04-05T00:00:00+0530,198.95,206.5,193.85,204.25,1920,0
2023-04-06T00:00:00+0530,205,208.45,201,207.95,2221,0
2023-04-10T00:00:00+0530,213.5,213.5,201.25,203.1,1847,0
2023-04-11T00:00:00+0530,205.25,209.5,203,204.65,1130,0
2023-04-12T00:00:00+0530,200.05,207.95,200.05,203.7,1439,0
2023-04-13T00:00:00+0530,203.45,209,201.05,205.3,1598,0
2023-04-17T00:00:00+0530,202,204,199,200.35,4395,0
2023-04-18T00:00:00+0530,208.9,208.9,201.1,202.9,486,0
2023-04-19T00:00:00+0530,203,206,202.05,204.7,602,0
2023-04-20T00:00:00+0530,205.1,205.2,201.3,202.8,1001,0
2023-04-21T00:00:00+0530,203.05,205.75,201.15,202.9,1762,0
2023-04-24T00:00:00+0530,201,206,201,203.95,1854,0
2023-04-25T00:00:00+0530,203.95,206.9,202.9,203.9,3057,0
2023-04-26T00:00:00+0530,200.65,203,200,201.4,1956,0
2023-04-27T00:00:00+0530,200.35,205.8,200.35,204.4,2525,0
2023-04-28T00:00:00+0530,204.8,208,202.15,204.75,2617,0
2023-05-02T00:00:00+0530,223.7,235,206.95,223.7,63218,0
2023-05-03T00:00:00+0530,227.3,228,221.1,221.9,1982,0
2023-05-04T00:00:00+0530,226.25,227,221,225.5,3579,0
2023-05-05T00:00:00+0530,220,225.05,217.2,219.85,4493,0
2023-05-08T00:00:00+0530,223,225,209.95,211.95,5881,0
2023-05-09T00:00:00+0530,213.3,226,213.3,218.65,5116,0
2023-05-10T00:00:00+0530,218.65,222.85,215.1,216.3,996,0
2023-05-11T00:00:00+0530,235,235.75,221.35,228.65,21693,0
2023-05-12T00:00:00+0530,238.45,238.45,227,228.9,9415,0
2023-05-15T00:00:00+0530,228.85,230,222.4,227.15,2899,0
2023-05-16T00:00:00+0530,227.1,229.95,225.05,225.1,2458,0
2023-05-17T00:00:00+0530,226.1,228,220.1,225.2,3472,0
2023-05-18T00:00:00+0530,223.1,229,218,218.3,9487,0
2023-05-19T00:00:00+0530,218.3,219,208.3,214.2,5615,0
2023-05-22T00:00:00+0530,217.7,244.9,217.7,232.4,34055,0
