date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,15.65,15.65,15.65,15.65,18450,0
2023-01-03T00:00:00+0530,16.4,16.4,16.4,16.4,13397,0
2023-01-04T00:00:00+0530,17.2,17.2,16.1,17.2,47126,0
2023-01-05T00:00:00+0530,18.05,18.05,18.05,18.05,10533,0
2023-01-06T00:00:00+0530,18.95,18.95,18.95,18.95,14634,0
2023-01-09T00:00:00+0530,19.85,19.85,18.05,18.85,159952,0
2023-01-10T00:00:00+0530,19.3,19.75,18.55,19.75,75896,0
2023-01-11T00:00:00+0530,20.7,20.7,20.15,20.7,60887,0
2023-01-12T00:00:00+0530,20,20.35,19.7,19.7,68614,0
2023-01-13T00:00:00+0530,18.85,19.7,18.75,18.75,27042,0
2023-01-16T00:00:00+0530,19,19.65,18.9,19.65,29597,0
2023-01-17T00:00:00+0530,20.6,20.6,20.6,20.6,31466,0
2023-01-18T00:00:00+0530,21.6,21.6,21.6,21.6,13547,0
2023-01-19T00:00:00+0530,22.65,22.65,20.7,22.65,323402,0
2023-01-20T00:00:00+0530,23.15,23.15,21.8,22.25,127123,0
2023-01-23T00:00:00+0530,21.7,21.7,21.15,21.15,2040,0
2023-01-24T00:00:00+0530,20.1,20.1,20.1,20.1,1410,0
2023-01-25T00:00:00+0530,19.1,19.1,19.1,19.1,3377,0
2023-01-27T00:00:00+0530,18.15,18.15,18.15,18.15,3670,0
2023-01-30T00:00:00+0530,17.25,17.25,17.25,17.25,6736,0
2023-01-31T00:00:00+0530,16.4,16.4,16.4,16.4,14708,0
2023-02-01T00:00:00+0530,15.6,17.2,15.6,15.6,44213,0
2023-02-02T00:00:00+0530,14.9,16,14.85,14.85,19257,0
2023-02-03T00:00:00+0530,14.15,14.6,14.1,14.3,17426,0
2023-02-06T00:00:00+0530,14.9,14.9,13.65,14.35,23523,0
2023-02-07T00:00:00+0530,14.7,15.05,13.8,14.85,11120,0
2023-02-08T00:00:00+0530,14.5,15.55,14.5,15.15,12699,0
2023-02-09T00:00:00+0530,14.8,15.9,14.8,14.9,5753,0
2023-02-10T00:00:00+0530,14.5,15.5,14.15,15.3,4648,0
2023-02-13T00:00:00+0530,14.6,14.6,14.55,14.55,420,0
2023-02-14T00:00:00+0530,15,15,13.85,13.85,4409,0
2023-02-15T00:00:00+0530,13.15,13.75,13.15,13.15,5499,0
2023-02-16T00:00:00+0530,12.65,13.25,12.55,12.65,9077,0
2023-02-17T00:00:00+0530,12.6,13.25,12.6,12.95,8121,0
2023-02-20T00:00:00+0530,13.55,13.55,12.8,12.8,2335,0
2023-02-21T00:00:00+0530,12.65,13.2,12.6,13,6155,0
2023-02-22T00:00:00+0530,12.7,13,12.35,12.35,15941,0
2023-02-23T00:00:00+0530,12.5,12.9,12.5,12.6,8266,0
2023-02-24T00:00:00+0530,12,13.2,12,12.6,9264,0
2023-02-27T00:00:00+0530,12.5,13.2,12,12,10320,0
2023-02-28T00:00:00+0530,11.4,12.2,11.4,11.95,3523,0
2023-03-01T00:00:00+0530,11.4,11.95,11.4,11.6,5015,0
2023-03-02T00:00:00+0530,11.8,11.8,11.05,11.5,6511,0
2023-03-03T00:00:00+0530,11.35,11.35,10.95,10.95,4879,0
2023-03-06T00:00:00+0530,10.45,10.85,10.4,10.6,24788,0
2023-03-08T00:00:00+0530,10.6,11.1,10.35,11.1,23457,0
2023-03-09T00:00:00+0530,10.7,11.1,10.55,11.1,13731,0
2023-03-10T00:00:00+0530,11,11.65,10.55,11.15,24233,0
2023-03-13T00:00:00+0530,10.75,11.7,10.75,11.4,15145,0
2023-03-14T00:00:00+0530,11.2,11.75,10.85,11,2444,0
2023-03-15T00:00:00+0530,11.5,11.55,11.5,11.55,9761,0
2023-03-16T00:00:00+0530,12.1,12.1,12.1,12.1,3708,0
2023-03-17T00:00:00+0530,12.7,12.7,12.7,12.7,3708,0
2023-03-20T00:00:00+0530,13.3,13.3,12.2,13.3,27382,0
2023-03-21T00:00:00+0530,13.95,13.95,13.95,13.95,18707,0
2023-03-22T00:00:00+0530,14.6,14.6,14.25,14.6,29895,0
2023-03-23T00:00:00+0530,15.3,15.3,15.3,15.3,4133,0
2023-03-24T00:00:00+0530,16.05,16.05,16.05,16.05,8717,0
2023-03-27T00:00:00+0530,16.85,16.85,15.25,16.45,142525,0
2023-03-28T00:00:00+0530,15.7,16.7,15.65,15.85,106038,0
2023-03-29T00:00:00+0530,15.15,16.4,15.05,15.7,120133,0
2023-03-31T00:00:00+0530,15,16,15,15.35,54266,0
2023-04-03T00:00:00+0530,14.65,15.95,14.65,15.45,17649,0
2023-04-05T00:00:00+0530,16.2,16.2,16,16.2,18227,0
2023-04-06T00:00:00+0530,17,17,17,17,12752,0
2023-04-10T00:00:00+0530,17.8,17.85,16.3,17.15,50550,0
2023-04-11T00:00:00+0530,17.5,17.8,16.3,16.5,28976,0
2023-04-12T00:00:00+0530,16.5,17.1,15.75,16.3,34405,0
2023-04-13T00:00:00+0530,16.15,16.8,15.8,16.35,24587,0
2023-04-17T00:00:00+0530,16.1,16.85,15.8,16.45,27976,0
2023-04-18T00:00:00+0530,16.05,16.45,15.65,15.7,30749,0
2023-04-19T00:00:00+0530,16.1,16.25,15.25,15.45,22613,0
2023-04-20T00:00:00+0530,15.8,15.95,15.05,15.25,14086,0
2023-04-21T00:00:00+0530,15.05,15.9,14.9,15.05,15604,0
2023-04-24T00:00:00+0530,15.8,15.8,14.7,15.1,17439,0
2023-04-25T00:00:00+0530,15.05,15.4,14.4,14.75,15718,0
2023-04-26T00:00:00+0530,14.45,15.25,14.45,15.05,14458,0
2023-04-27T00:00:00+0530,15.55,15.65,14.7,14.95,28030,0
2023-04-28T00:00:00+0530,14.5,15.55,14.5,15.15,11268,0
2023-05-02T00:00:00+0530,15.6,15.6,14.75,14.9,17209,0
2023-05-03T00:00:00+0530,14.25,15.55,14.25,14.6,30295,0
2023-05-04T00:00:00+0530,14.5,14.95,14.25,14.6,25039,0
2023-05-05T00:00:00+0530,14.95,14.95,14.25,14.5,17326,0
2023-05-08T00:00:00+0530,14.5,15.2,14,14.45,22341,0
2023-05-09T00:00:00+0530,14.9,14.9,14.1,14.2,14593,0
2023-05-10T00:00:00+0530,13.55,14.5,13.55,14.3,16497,0
2023-05-11T00:00:00+0530,14.75,14.75,14.2,14.35,13137,0
2023-05-12T00:00:00+0530,14.65,14.7,14.3,14.5,34392,0
2023-05-15T00:00:00+0530,14.5,14.85,14.05,14.45,21509,0
2023-05-16T00:00:00+0530,14.3,15,14.25,14.9,22574,0
2023-05-17T00:00:00+0530,15.45,15.45,14.6,15,31809,0
2023-05-18T00:00:00+0530,15.6,15.6,14.75,14.85,35117,0
2023-05-19T00:00:00+0530,15.15,15.25,14.6,14.8,10492,0
2023-05-22T00:00:00+0530,15.2,15.2,14.8,14.9,14029,0
2023-05-23T00:00:00+0530,14.3,14.75,14.15,14.2,71802,0
2023-05-24T00:00:00+0530,13.75,14.45,13.75,14.05,25859,0
2023-05-25T00:00:00+0530,14.05,14.3,13.95,14.05,13085,0
2023-05-26T00:00:00+0530,14.3,14.3,13.6,13.9,15616,0
2023-05-29T00:00:00+0530,14.1,14.1,13.3,13.7,26487,0
2023-05-30T00:00:00+0530,14,14,13.4,13.45,26850,0
2023-05-31T00:00:00+0530,13.55,13.6,13.15,13.3,21990,0
2023-06-01T00:00:00+0530,13.45,13.6,13.3,13.4,9976,0
2023-06-02T00:00:00+0530,13.4,13.7,13.25,13.65,22442,0
2023-06-05T00:00:00+0530,13.05,14.15,13.05,13.55,25368,0
2023-06-06T00:00:00+0530,13.85,13.9,13,13.35,35681,0
2023-06-07T00:00:00+0530,13.15,13.55,12.65,13.15,45999,0
2023-06-08T00:00:00+0530,13.15,13.45,13.1,13.15,29359,0
2023-06-09T00:00:00+0530,13.7,13.7,12.75,12.9,40213,0
2023-06-12T00:00:00+0530,13.3,13.3,12.55,12.9,51875,0
2023-06-13T00:00:00+0530,13.15,13.15,12.7,12.8,22073,0
