date,open,high,low,close,volume,empty
2024-12-27T00:00:00+0530,63,66.15,63,66.15,28212,0
2024-12-30T00:00:00+0530,69.45,69.45,69.45,69.45,9032,0
2024-12-31T00:00:00+0530,72.92,72.92,72.92,72.92,8124,0
2025-01-01T00:00:00+0530,76.56,76.56,76.56,76.56,3681,0
2025-01-02T00:00:00+0530,80.38,80.38,80.38,80.38,4618,0
2025-01-03T00:00:00+0530,84.39,84.39,84.39,84.39,9069,0
2025-01-06T00:00:00+0530,88.6,88.6,88.6,88.6,9137,0
2025-01-07T00:00:00+0530,93.03,93.03,93.03,93.03,12415,0
2025-01-08T00:00:00+0530,97.68,97.68,97.68,97.68,5311,0
2025-01-09T00:00:00+0530,102.56,102.56,102.56,102.56,4976,0
2025-01-10T00:00:00+0530,112.81,112.81,112.81,112.81,32204,0
2025-01-13T00:00:00+0530,124.09,124.09,124.09,124.09,37233,0
2025-01-14T00:00:00+0530,130.29,130.29,130.29,130.29,13756,0
2025-01-15T00:00:00+0530,136.8,136.8,136.8,136.8,6492,0
2025-01-16T00:00:00+0530,143.64,143.64,143.64,143.64,6215,0
2025-01-17T00:00:00+0530,150.82,150.82,150.82,150.82,5423,0
2025-01-20T00:00:00+0530,158.36,158.36,158.36,158.36,7196,0
2025-01-21T00:00:00+0530,166.27,166.27,166.27,166.27,6469,0
2025-01-22T00:00:00+0530,169.59,169.59,169.59,169.59,156022,0
2025-01-23T00:00:00+0530,166.19,172.98,166.19,172.98,82578,0
2025-01-24T00:00:00+0530,176.39,176.39,169.52,169.52,54517,0
2025-01-27T00:00:00+0530,166.2,166.2,166.12,166.12,2062,0
2025-01-28T00:00:00+0530,162.79,162.79,162.79,162.79,1269,0
2025-01-29T00:00:00+0530,159.53,159.53,159.53,159.53,1065,0
2025-01-30T00:00:00+0530,156.33,156.33,156.33,156.33,712,0
2025-01-31T00:00:00+0530,153.2,153.2,153.2,153.2,904,0
2025-02-01T00:00:00+0530,150.13,150.13,150.13,150.13,206,0
2025-02-03T00:00:00+0530,147.12,147.12,147.12,147.12,497,0
2025-02-04T00:00:00+0530,144.17,144.17,144.17,144.17,753,0
2025-02-05T00:00:00+0530,141.28,141.28,141.28,141.28,2441,0
2025-02-06T00:00:00+0530,138.45,138.45,138.45,138.45,1246,0
2025-02-07T00:00:00+0530,135.68,135.68,135.68,135.68,798,0
