date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,281.95,301.75,277.45,291.5,487173,0
2023-01-03T00:00:00+0530,291.5,291.8,285.1,288.85,87278,0
2023-01-04T00:00:00+0530,289.7,289.7,281,281.7,88350,0
2023-01-05T00:00:00+0530,283.45,287.6,280.2,282.35,98571,0
2023-01-06T00:00:00+0530,278.25,285.75,272.7,274.8,112834,0
2023-01-09T00:00:00+0530,276.4,281,276,278.55,75177,0
2023-01-10T00:00:00+0530,281.75,285.6,277,281.45,102290,0
2023-01-11T00:00:00+0530,282.95,284.55,274,275.45,165626,0
2023-01-12T00:00:00+0530,277.1,287.5,277.1,282.15,175994,0
2023-01-13T00:00:00+0530,282.9,289.55,280.75,286.9,98893,0
2023-01-16T00:00:00+0530,287.95,296.8,286.15,295.1,208987,0
2023-01-17T00:00:00+0530,296.2,312.75,290.65,306.3,535229,0
2023-01-18T00:00:00+0530,309.7,342,308.95,338.45,2347457,0
2023-01-19T00:00:00+0530,338.9,368.9,335.4,360.1,3953192,0
2023-01-20T00:00:00+0530,356.75,359.65,338.2,342.55,1326534,0
2023-01-23T00:00:00+0530,342.6,345.9,331.1,336,335378,0
2023-01-24T00:00:00+0530,337.8,345.6,327,336.5,343452,0
2023-01-25T00:00:00+0530,336.5,339.7,324,327.25,209645,0
2023-01-27T00:00:00+0530,328.4,338.7,306.3,320.15,291167,0
2023-01-30T00:00:00+0530,320.95,327,305,320.45,144471,0
2023-01-31T00:00:00+0530,321.85,328.2,318.5,321.45,103193,0
2023-02-01T00:00:00+0530,324.25,339.3,313.05,322.95,403906,0
2023-02-02T00:00:00+0530,322.05,358,321.9,351.55,722415,0
2023-02-03T00:00:00+0530,352.95,359.65,338.95,352.8,473393,0
2023-02-06T00:00:00+0530,354,359.9,334.25,336.15,426122,0
2023-02-07T00:00:00+0530,338,349.55,334.5,346.35,412370,0
2023-02-08T00:00:00+0530,346.35,347.7,341,342.35,319944,0
2023-02-09T00:00:00+0530,343.7,383,340.65,371.15,2532866,0
2023-02-10T00:00:00+0530,373.85,379.25,360.2,366.7,784912,0
2023-02-13T00:00:00+0530,367.8,372.45,353.6,355.6,302835,0
2023-02-14T00:00:00+0530,356,379.9,355.15,369.7,1042391,0
2023-02-15T00:00:00+0530,370.95,381,368.5,375.7,498346,0
2023-02-16T00:00:00+0530,377.35,379.55,366.25,368.15,270686,0
2023-02-17T00:00:00+0530,366.7,397.8,366.25,385.75,1826960,0
2023-02-20T00:00:00+0530,387.95,390.3,367.5,369.75,512619,0
2023-02-21T00:00:00+0530,371,377.75,356.75,361.4,608132,0
2023-02-22T00:00:00+0530,361.4,364.95,351.3,353.1,387368,0
2023-02-23T00:00:00+0530,353.2,366.4,351.3,362.7,462215,0
2023-02-24T00:00:00+0530,364.5,369.65,355.25,362.75,297847,0
2023-02-27T00:00:00+0530,362.7,362.75,341.55,344.9,307724,0
2023-02-28T00:00:00+0530,344.9,352.8,340.6,344.7,234836,0
2023-03-01T00:00:00+0530,345.05,358.4,345.05,354.15,593060,0
2023-03-02T00:00:00+0530,354.5,356.3,345.05,346.65,170230,0
2023-03-03T00:00:00+0530,348,363.8,347.35,359.65,371982,0
2023-03-06T00:00:00+0530,361.9,362.9,352.25,354.1,152320,0
2023-03-08T00:00:00+0530,353,358.95,347.25,351.9,129010,0
2023-03-09T00:00:00+0530,353.6,362.95,352,355.3,336234,0
2023-03-10T00:00:00+0530,353,353.7,345,346.25,178563,0
2023-03-13T00:00:00+0530,348.7,348.7,330.25,332,200922,0
2023-03-14T00:00:00+0530,334.85,335.5,322.25,324.55,224517,0
2023-03-15T00:00:00+0530,328.85,336,318.6,321.8,186323,0
2023-03-16T00:00:00+0530,322.5,327.75,313.4,323.05,277705,0
2023-03-17T00:00:00+0530,326,332,318.25,320.8,124852,0
2023-03-20T00:00:00+0530,325.9,341,323.2,338.3,707381,0
2023-03-21T00:00:00+0530,342,347.4,334,337.45,432622,0
2023-03-22T00:00:00+0530,338,346.5,334.3,342.55,359446,0
2023-03-23T00:00:00+0530,338.4,344.75,335.5,338.25,141323,0
2023-03-24T00:00:00+0530,338.3,338.55,318.1,321.6,262260,0
2023-03-27T00:00:00+0530,325.9,326.15,314.1,321.2,166217,0
2023-03-28T00:00:00+0530,324,325.75,305.8,307.75,275096,0
2023-03-29T00:00:00+0530,307.5,316.15,307,310.95,203957,0
2023-03-31T00:00:00+0530,315.5,321.7,311.15,313.4,161921,0
2023-04-03T00:00:00+0530,329,376.05,326.35,367.05,3298114,0
2023-04-05T00:00:00+0530,375,405,368.25,401.4,4853304,0
2023-04-06T00:00:00+0530,402,414.7,392.6,407.7,2742643,0
2023-04-10T00:00:00+0530,407.7,422,405.3,414.75,1396437,0
2023-04-11T00:00:00+0530,413,414.75,401.25,406.4,364117,0
2023-04-12T00:00:00+0530,406.4,407.95,386.25,389.3,272566,0
2023-04-13T00:00:00+0530,388.85,415.7,387.2,412.75,565940,0
2023-04-17T00:00:00+0530,412.75,426.4,412.05,421.1,415040,0
2023-04-18T00:00:00+0530,422.3,422.8,409,412.65,202385,0
2023-04-19T00:00:00+0530,414.4,432,412,420.15,345743,0
2023-04-20T00:00:00+0530,421.9,434,416.4,417.8,516957,0
2023-04-21T00:00:00+0530,418.9,419.25,405.25,413.2,261101,0
2023-04-24T00:00:00+0530,415.3,423.2,408.3,411.2,326196,0
2023-04-25T00:00:00+0530,392,398,368,370.85,1521503,0
2023-04-26T00:00:00+0530,370.85,374.95,365,367.5,535179,0
2023-04-27T00:00:00+0530,369,373.65,366.15,369.55,347022,0
2023-04-28T00:00:00+0530,372.35,396.75,372.3,382.3,895685,0
2023-05-02T00:00:00+0530,359,365.95,341.85,344.1,1827283,0
2023-05-03T00:00:00+0530,345,357.5,344.1,353.1,712222,0
2023-05-04T00:00:00+0530,354.9,364.3,352.5,360.85,579740,0
2023-05-05T00:00:00+0530,362,365.05,355.1,356.8,240152,0
2023-05-08T00:00:00+0530,360,366.75,358.05,361.25,202377,0
2023-05-09T00:00:00+0530,362.65,366.5,355.4,359,182526,0
2023-05-10T00:00:00+0530,361.15,364.3,352.25,359.65,153720,0
2023-05-11T00:00:00+0530,364,366.85,357.95,359.5,90177,0
2023-05-12T00:00:00+0530,362.9,362.9,353.1,356.3,122655,0
2023-05-15T00:00:00+0530,356.3,378.8,356.3,373.2,536099,0
2023-05-16T00:00:00+0530,375.8,379,369.05,370.3,198234,0
2023-05-17T00:00:00+0530,369.6,378,367.55,374.25,154864,0
2023-05-18T00:00:00+0530,377.7,377.7,366.95,369.35,123717,0
2023-05-19T00:00:00+0530,370.4,381,364.5,378.05,424397,0
2023-05-22T00:00:00+0530,383.6,383.7,367.35,369.6,392591,0
2023-05-23T00:00:00+0530,370,375.8,364.05,365.65,224022,0
2023-05-24T00:00:00+0530,363.25,363.9,349.65,356.8,282449,0
2023-05-25T00:00:00+0530,360,363.8,354.1,355.9,210132,0
2023-05-26T00:00:00+0530,356.75,361.5,355,356.65,137710,0
2023-05-29T00:00:00+0530,358.4,359.95,350,351.15,203397,0
2023-05-30T00:00:00+0530,351.15,354,345.05,349.45,207230,0
2023-05-31T00:00:00+0530,350.15,363.15,347.7,358.15,275230,0
2023-06-01T00:00:00+0530,360,364.5,335.15,338.2,724305,0
2023-06-02T00:00:00+0530,343,347.2,340,341.55,281467,0
2023-06-05T00:00:00+0530,346.9,347.75,340.25,341.3,151444,0
2023-06-06T00:00:00+0530,343.7,359,337.5,352.15,620948,0
2023-06-07T00:00:00+0530,354.25,362.35,349.1,351.75,251741,0
2023-06-08T00:00:00+0530,354.3,362.15,350,353.15,254284,0
2023-06-09T00:00:00+0530,355,358.9,351.1,352.7,208651,0
2023-06-12T00:00:00+0530,352.8,356,350.1,352.65,87236,0
2023-06-13T00:00:00+0530,355,358.95,351,352,108537,0
2023-06-14T00:00:00+0530,354,355.3,348.4,349.2,95841,0
2023-06-15T00:00:00+0530,351.45,355.3,347,347.9,113899,0
2023-06-16T00:00:00+0530,350,352.7,348,348.75,87249,0
2023-06-19T00:00:00+0530,354,354.45,343,345.1,223153,0
2023-06-20T00:00:00+0530,348.65,355,345.2,353,208667,0
2023-06-21T00:00:00+0530,355.7,359.9,348.5,351.35,214026,0
2023-06-22T00:00:00+0530,354.5,354.5,346,346.9,87453,0
2023-06-23T00:00:00+0530,348,349.45,341,342.95,100128,0
2023-06-26T00:00:00+0530,343,351,341,347.2,85908,0
2023-06-27T00:00:00+0530,347.75,351.05,345.25,346.1,66111,0
2023-06-28T00:00:00+0530,347.9,350.95,341.1,342.75,81113,0
2023-06-30T00:00:00+0530,345.1,355.95,345.1,347.7,170699,0
2023-07-03T00:00:00+0530,342.6,347.7,341.15,343.35,276379,0
2023-07-04T00:00:00+0530,343.4,345.9,338.25,340.3,133804,0
2023-07-05T00:00:00+0530,341.55,343.5,336.8,337.95,139339,0
2023-07-06T00:00:00+0530,339.55,342.85,325,328.75,263085,0
2023-07-07T00:00:00+0530,330.8,338.35,328.95,331.65,227360,0
2023-07-10T00:00:00+0530,333.6,333.95,328,329.5,109313,0
2023-07-11T00:00:00+0530,332.1,338,330.05,335.55,130906,0
2023-07-12T00:00:00+0530,337.65,338,332.25,333.15,81628,0
2023-07-13T00:00:00+0530,336.9,338,328.55,332.95,95517,0
2023-07-14T00:00:00+0530,336.7,336.7,332.5,333.9,81614,0
2023-07-17T00:00:00+0530,352.25,374.95,352.25,368.65,1737704,0
2023-07-18T00:00:00+0530,379,395,376.2,384.25,1761882,0
2023-07-19T00:00:00+0530,383,384.2,370.3,372.6,473464,0
2023-07-20T00:00:00+0530,372.65,376.05,366.25,368.2,302566,0
2023-07-21T00:00:00+0530,368.05,384.9,367,380.65,504160,0
2023-07-24T00:00:00+0530,380.65,384.7,372,377.5,299112,0
2023-07-25T00:00:00+0530,379.65,381.3,370.5,372.75,141612,0
2023-07-26T00:00:00+0530,373.7,375.35,361.1,365.9,173110,0
2023-07-27T00:00:00+0530,366.05,372.95,365,367.75,104935,0
2023-07-28T00:00:00+0530,365.1,369.9,362.45,363.95,101344,0
2023-07-31T00:00:00+0530,363,372.25,359.5,367.25,229176,0
2023-08-01T00:00:00+0530,369.5,384.25,363,374.05,730866,0
2023-08-02T00:00:00+0530,373,373.75,360.15,363.85,176689,0
2023-08-03T00:00:00+0530,364.8,373.45,363.85,369.4,180016,0
2023-08-04T00:00:00+0530,372.3,376.95,368.65,370.25,133525,0
2023-08-07T00:00:00+0530,373.15,379,372,374.05,118287,0
2023-08-08T00:00:00+0530,375.65,375.65,367,369.45,97388,0
2023-08-09T00:00:00+0530,371.65,383,368,376.75,277614,0
2023-08-10T00:00:00+0530,378,381,368.1,371.5,134634,0
2023-08-11T00:00:00+0530,373.4,376.5,362.5,366.4,152099,0
2023-08-14T00:00:00+0530,350,373,327.55,367.05,583747,0
2023-08-16T00:00:00+0530,366,389,360.65,379.35,455003,0
2023-08-17T00:00:00+0530,385,394.5,380,385.6,430647,0
2023-08-18T00:00:00+0530,384,389.4,372,373.8,208426,0
2023-08-21T00:00:00+0530,373.8,382,370.3,377.4,121690,0
2023-08-22T00:00:00+0530,379.85,383.9,377.55,380.05,112341,0
