date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,656.9,661.25,654,657,1586054,0
2023-01-03T00:00:00+0530,658.95,663.9,650,651.05,1288812,0
2023-01-04T00:00:00+0530,652,655.45,639,641.6,1242852,0
2023-01-05T00:00:00+0530,641.8,644.7,624.15,636.1,1987570,0
2023-01-06T00:00:00+0530,635,639.35,619.45,625.8,1634322,0
2023-01-09T00:00:00+0530,635,635.7,627,633.2,1012950,0
2023-01-10T00:00:00+0530,632.9,632.9,617.75,625.2,1056504,0
2023-01-11T00:00:00+0530,625.05,626.95,615.05,622.05,1159019,0
2023-01-12T00:00:00+0530,625,631.9,620.4,628.15,923943,0
2023-01-13T00:00:00+0530,631.45,631.5,616.3,619.75,1393324,0
2023-01-16T00:00:00+0530,623.65,629.75,618.2,624,578028,0
2023-01-17T00:00:00+0530,624.95,630.45,621.65,628,995664,0
2023-01-18T00:00:00+0530,630,632,625,629.5,658733,0
2023-01-19T00:00:00+0530,628.55,630.8,618.85,621.25,607144,0
2023-01-20T00:00:00+0530,627.85,629.15,613.9,616.35,1583943,0
2023-01-23T00:00:00+0530,616.35,645,613.5,640.9,2321545,0
2023-01-24T00:00:00+0530,642.5,642.5,630.45,634.7,878065,0
2023-01-25T00:00:00+0530,633.5,634.95,613.5,615.9,1557125,0
2023-01-27T00:00:00+0530,618.85,626.65,601,603.95,1776308,0
2023-01-30T00:00:00+0530,604,613.65,598.5,606.25,1447773,0
2023-01-31T00:00:00+0530,609.4,624,605,618.9,926518,0
2023-02-01T00:00:00+0530,622,633,600.3,611.85,1069083,0
2023-02-02T00:00:00+0530,610,627.55,607,625.35,894783,0
2023-02-03T00:00:00+0530,628,631.25,615,629.15,611768,0
2023-02-06T00:00:00+0530,629.25,640.7,627,632.05,668139,0
2023-02-07T00:00:00+0530,632.5,650,630.15,649,1562892,0
2023-02-08T00:00:00+0530,650.95,652.9,645.3,649,776186,0
2023-02-09T00:00:00+0530,652,652.75,636,640.85,713809,0
2023-02-10T00:00:00+0530,642,652.6,642,649.95,739083,0
2023-02-13T00:00:00+0530,648.45,652.75,633.6,634.7,1050676,0
2023-02-14T00:00:00+0530,634.7,636.5,628.1,633,491778,0
2023-02-15T00:00:00+0530,635.2,638.75,629.55,633.95,848205,0
2023-02-16T00:00:00+0530,639,639.7,623.35,626.45,546492,0
2023-02-17T00:00:00+0530,626,626,604.5,613.5,1686927,0
2023-02-20T00:00:00+0530,613.8,614.7,600.5,603.05,1506325,0
2023-02-21T00:00:00+0530,607.05,611.5,599.45,605.1,1166085,0
2023-02-22T00:00:00+0530,603,606.3,588.25,595.4,1077300,0
2023-02-23T00:00:00+0530,596,598.75,585,593.4,1294389,0
2023-02-24T00:00:00+0530,597,606.6,595.65,598.05,999140,0
2023-02-27T00:00:00+0530,598.05,600.4,586.2,597.2,1169695,0
2023-02-28T00:00:00+0530,596.75,606,589.5,592.9,1360975,0
2023-03-01T00:00:00+0530,593,613.5,591,611.5,1079988,0
2023-03-02T00:00:00+0530,611,620,605.85,611.35,1774214,0
2023-03-03T00:00:00+0530,616.25,625.5,610.5,623.25,1615160,0
2023-03-06T00:00:00+0530,625.9,630,622,624.55,1067601,0
2023-03-08T00:00:00+0530,618.5,633,618.5,631.1,824314,0
2023-03-09T00:00:00+0530,632,636.65,622.5,623.75,953543,0
2023-03-10T00:00:00+0530,616,626.45,612.3,624.5,1421904,0
2023-03-13T00:00:00+0530,619,622.35,594.05,596.45,3529195,0
2023-03-14T00:00:00+0530,596,606.9,588.3,590.65,1493303,0
2023-03-15T00:00:00+0530,596.75,599.65,580.25,583.2,862519,0
2023-03-16T00:00:00+0530,582,588.95,573.85,584,1453328,0
2023-03-17T00:00:00+0530,591.05,594.05,581.3,590.25,1049797,0
2023-03-20T00:00:00+0530,585.05,592.05,573.05,577.1,899489,0
2023-03-21T00:00:00+0530,581.2,582.6,568.8,579.6,1113971,0
2023-03-22T00:00:00+0530,584.2,586.95,577.65,579.45,854002,0
2023-03-23T00:00:00+0530,579,582,567.5,569.65,917334,0
2023-03-24T00:00:00+0530,570,570.2,548,559.9,2178563,0
2023-03-27T00:00:00+0530,562,572.75,560.05,566.9,1373334,0
2023-03-28T00:00:00+0530,566.9,569.7,551,563.55,1763884,0
2023-03-29T00:00:00+0530,563.55,589.95,562.7,585.55,2505188,0
2023-03-31T00:00:00+0530,584,591.55,578,579.2,1618002,0
2023-04-03T00:00:00+0530,580.4,580.9,560.05,562.8,1980458,0
2023-04-05T00:00:00+0530,564.9,571.2,555.75,558.4,1578872,0
2023-04-06T00:00:00+0530,558.45,571.5,553.65,569.45,2686132,0
2023-04-10T00:00:00+0530,570,572.55,560.2,564.5,1052472,0
2023-04-11T00:00:00+0530,567.95,588,559.75,576.2,1999310,0
2023-04-12T00:00:00+0530,579.8,587.5,574.2,580.15,1782378,0
2023-04-13T00:00:00+0530,630,689.9,625,679.2,30807207,0
2023-04-17T00:00:00+0530,670.05,692.95,665.1,688.65,5636506,0
2023-04-18T00:00:00+0530,688,696.55,681,693.05,3177457,0
2023-04-19T00:00:00+0530,694,699,674.45,678.6,3693818,0
2023-04-20T00:00:00+0530,682,685,674.1,679.4,1555616,0
2023-04-21T00:00:00+0530,680.45,680.85,656.85,665.95,3742874,0
2023-04-24T00:00:00+0530,662,669.75,658.65,663.9,2852500,0
2023-04-25T00:00:00+0530,667,667.75,658.55,660.15,2107327,0
2023-04-26T00:00:00+0530,649.95,655,630.85,643.4,5008439,0
2023-04-27T00:00:00+0530,643.8,649.75,639.05,644.45,2272998,0
