date,open,high,low,close,volume,empty
2023-01-04T00:00:00+0530,7.53,7.89,6.76,6.86,591941,0
2023-01-05T00:00:00+0530,7.24,7.24,6.62,6.99,240883,0
2023-01-06T00:00:00+0530,7.15,7.15,6.73,6.79,113352,0
2023-01-09T00:00:00+0530,6.85,6.94,6.66,6.75,93205,0
2023-01-10T00:00:00+0530,6.64,6.83,6.56,6.61,192730,0
2023-01-11T00:00:00+0530,6.57,6.81,6.57,6.71,97953,0
2023-01-12T00:00:00+0530,6.88,6.88,6.55,6.58,67487,0
2023-01-13T00:00:00+0530,6.59,6.64,6.27,6.36,165536,0
2023-01-16T00:00:00+0530,6.49,7.28,6.44,6.85,422053,0
2023-01-17T00:00:00+0530,7.1,7.1,6.79,6.88,201819,0
2023-01-18T00:00:00+0530,6.87,7.19,6.66,6.73,266943,0
2023-01-19T00:00:00+0530,6.81,6.93,6.64,6.84,134931,0
2023-01-20T00:00:00+0530,6.85,7.08,6.85,6.9,191115,0
2023-01-23T00:00:00+0530,6.9,6.99,6.77,6.82,71283,0
2023-01-24T00:00:00+0530,6.73,6.9,6.5,6.63,151496,0
2023-01-25T00:00:00+0530,6.64,6.71,6.43,6.47,172530,0
2023-01-27T00:00:00+0530,6.66,6.67,6.27,6.62,132055,0
2023-01-30T00:00:00+0530,6.85,6.85,6.27,6.37,185512,0
2023-01-31T00:00:00+0530,6.38,6.62,6.21,6.56,169225,0
2023-02-01T00:00:00+0530,6.66,6.7,6.36,6.51,226479,0
2023-02-02T00:00:00+0530,6.51,6.51,6.29,6.34,197670,0
2023-02-03T00:00:00+0530,6.48,6.54,6.28,6.31,151667,0
2023-02-06T00:00:00+0530,6.7,6.7,6.29,6.36,133177,0
2023-02-07T00:00:00+0530,6.47,6.47,6.27,6.34,85420,0
2023-02-08T00:00:00+0530,6.38,6.54,6.36,6.43,119233,0
2023-02-09T00:00:00+0530,6.4,6.4,6.29,6.34,93708,0
2023-02-10T00:00:00+0530,6.36,7.56,6.33,6.65,1724944,0
2023-02-13T00:00:00+0530,6.73,6.73,6.42,6.45,144096,0
2023-02-14T00:00:00+0530,6.38,6.9,6.15,6.43,161205,0
2023-02-15T00:00:00+0530,6.55,6.55,6.16,6.25,114592,0
2023-02-16T00:00:00+0530,6.45,6.53,6.27,6.34,67936,0
2023-02-17T00:00:00+0530,6.42,6.42,6.13,6.15,166648,0
2023-02-20T00:00:00+0530,6.09,6.29,6,6.03,376616,0
2023-02-21T00:00:00+0530,6.15,6.15,5.89,5.98,286940,0
2023-02-22T00:00:00+0530,5.89,6.19,5.89,5.98,378776,0
2023-02-23T00:00:00+0530,6.08,6.16,5.74,5.92,437345,0
2023-02-24T00:00:00+0530,5.92,6.06,5.76,5.84,124056,0
2023-02-27T00:00:00+0530,5.87,6.03,5.72,5.85,116538,0
2023-02-28T00:00:00+0530,6,6.08,5.94,5.98,190345,0
2023-03-01T00:00:00+0530,6.06,6.1,5.81,5.99,122484,0
2023-03-02T00:00:00+0530,6.07,6.22,5.9,5.93,499132,0
2023-03-03T00:00:00+0530,5.94,6.07,5.89,6.04,240840,0
2023-03-06T00:00:00+0530,6.15,6.15,5.99,6.04,474280,0
2023-03-08T00:00:00+0530,6.04,6.19,5.87,6.06,421016,0
2023-03-09T00:00:00+0530,6.21,6.26,5.96,6.04,770706,0
2023-03-10T00:00:00+0530,6.02,6.12,5.95,6.01,180389,0
2023-03-13T00:00:00+0530,6.17,6.17,5.79,6,287079,0
2023-03-14T00:00:00+0530,6.02,6.06,5.84,5.93,240348,0
2023-03-15T00:00:00+0530,6.13,6.13,5.65,5.74,208792,0
2023-03-16T00:00:00+0530,5.98,5.98,5.69,5.85,129969,0
2023-03-17T00:00:00+0530,5.93,6,5.81,5.86,222116,0
2023-03-20T00:00:00+0530,5.84,6.05,5.74,5.92,83698,0
2023-03-21T00:00:00+0530,5.98,6.34,5.78,5.97,889778,0
2023-03-22T00:00:00+0530,5.94,5.98,5.69,5.76,475007,0
2023-03-23T00:00:00+0530,5.83,6,5.75,5.87,223003,0
2023-03-24T00:00:00+0530,5.87,5.94,5.83,5.84,163814,0
2023-03-27T00:00:00+0530,5.83,5.87,5.61,5.72,115234,0
2023-03-28T00:00:00+0530,5.7,5.8,5.54,5.67,279187,0
2023-03-29T00:00:00+0530,5.7,5.76,5.47,5.59,324474,0
2023-03-31T00:00:00+0530,5.63,5.78,5.61,5.7,167418,0
