date,open,high,low,close,volume,empty
2024-03-20T00:00:00+0530,79,79,75.05,75.05,1497600,0
2024-03-21T00:00:00+0530,71.3,75,71.3,72.85,601600,0
2024-03-22T00:00:00+0530,69.25,71.85,69.2,69.45,268800,0
2024-03-26T00:00:00+0530,69.5,72.9,69.5,72.9,115200,0
2024-03-27T00:00:00+0530,76.45,76.5,74.1,76.5,235200,0
2024-03-28T00:00:00+0530,80.3,80.3,72.9,77.5,448000,0
2024-04-01T00:00:00+0530,80.8,80.8,75.5,77.65,147200,0
2024-04-02T00:00:00+0530,77.65,77.65,74.25,76.45,97600,0
2024-04-03T00:00:00+0530,76.45,79.8,73,75.65,284800,0
2024-04-04T00:00:00+0530,76.7,79.4,76.05,79.4,425600,0
2024-04-05T00:00:00+0530,83,86.5,80.75,81.5,644800,0
2024-04-08T00:00:00+0530,82.1,82.1,76,76.65,286400,0
2024-04-09T00:00:00+0530,76,76.65,73.5,74.75,148800,0
2024-04-10T00:00:00+0530,74.05,74.7,72.7,73.05,121600,0
2024-04-12T00:00:00+0530,72.9,73,70.8,71.4,116800,0
2024-04-15T00:00:00+0530,65,69.6,63,67.3,409600,0
2024-04-16T00:00:00+0530,66.75,70.6,66.75,69.05,163200,0
2024-04-18T00:00:00+0530,69.55,73.45,69.55,70.9,108800,0
2024-04-19T00:00:00+0530,68.4,72.6,68.4,70.25,153600,0
2024-04-22T00:00:00+0530,75,84.3,75,84.3,953600,0
2024-04-23T00:00:00+0530,89.4,98.65,89,92.35,923200,0
2024-04-24T00:00:00+0530,96,97,87.1,88.35,259200,0
2024-04-25T00:00:00+0530,87.35,88,83.4,84.1,185600,0
2024-04-26T00:00:00+0530,87,90,86,87.8,334400,0
2024-04-29T00:00:00+0530,89,92.25,86.35,87,126400,0
2024-04-30T00:00:00+0530,87,90,86,86.9,140800,0
2024-05-02T00:00:00+0530,89,91,85,85.65,188800,0
2024-05-03T00:00:00+0530,86.05,90,85.1,89.1,364800,0
2024-05-06T00:00:00+0530,91.1,91.9,87.3,88.8,166400,0
2024-05-07T00:00:00+0530,88.7,90.3,84,85.65,128000,0
2024-05-08T00:00:00+0530,87,87,84.5,86.05,83200,0
2024-05-09T00:00:00+0530,86.9,103,85.65,96.05,1240000,0
2024-05-10T00:00:00+0530,101.9,101.9,91.5,93.3,171200,0
2024-05-13T00:00:00+0530,93.3,93.3,85,87.3,174400,0
2024-05-14T00:00:00+0530,87.55,92,87.55,90.1,128000,0
2024-05-15T00:00:00+0530,90,91,86.5,86.95,91200,0
2024-05-16T00:00:00+0530,88,90,86.9,87.35,107200,0
2024-05-17T00:00:00+0530,88.7,98.9,88.7,95.2,369600,0
2024-05-18T00:00:00+0530,98.9,99.95,97.1,99.75,256000,0
2024-05-21T00:00:00+0530,99.7,99.7,93.8,95.5,244800,0
2024-05-22T00:00:00+0530,97.9,97.9,91.75,92.7,121600,0
2024-05-23T00:00:00+0530,93,101.95,93,96.95,249600,0
2024-05-24T00:00:00+0530,98.8,98.8,94.15,94.75,84800,0
2024-05-27T00:00:00+0530,98.9,100.9,90.8,98.65,409600,0
2024-05-28T00:00:00+0530,103,110.85,100,101.95,604800,0
2024-05-29T00:00:00+0530,106,106,90.15,93.7,296000,0
2024-05-30T00:00:00+0530,109.9,109.9,100.35,104.55,587200,0
2024-05-31T00:00:00+0530,108.25,109,97,106.45,476800,0
2024-06-03T00:00:00+0530,113,113,97,98.85,566400,0
2024-06-04T00:00:00+0530,99.2,99.2,85,88.7,396800,0
2024-06-05T00:00:00+0530,88.2,94.5,84.5,92.55,153600,0
2024-06-06T00:00:00+0530,95,99.6,95,98.95,174400,0
2024-06-07T00:00:00+0530,101,105.5,100.5,103.6,259200,0
2024-06-10T00:00:00+0530,113.25,124.3,109.1,123.6,1097600,0
2024-06-11T00:00:00+0530,126,132.6,118,122.25,451200,0
2024-06-12T00:00:00+0530,124.85,125,120,123.6,142400,0
2024-06-13T00:00:00+0530,124.3,142.5,124.3,133.95,569600,0
2024-06-14T00:00:00+0530,135,149.95,135,147.8,729600,0
2024-06-18T00:00:00+0530,150.7,150.7,133.05,137.4,484800,0
2024-06-19T00:00:00+0530,140,145,134,138.9,164800,0
2024-06-20T00:00:00+0530,140.85,150,136,148.8,488000,0
2024-06-21T00:00:00+0530,151.8,156.95,146.5,152.15,526400,0
2024-06-24T00:00:00+0530,156.95,156.95,145,149.4,435200,0
2024-06-25T00:00:00+0530,150,160,145.85,154.35,1024000,0
2024-06-26T00:00:00+0530,158,162.95,147,148.5,396800,0
2024-06-27T00:00:00+0530,148.5,152,136.6,139.25,497600,0
2024-06-28T00:00:00+0530,142.8,145,138,139.9,200000,0
2024-07-01T00:00:00+0530,138,153.85,129.6,150.65,1166400,0
2024-07-02T00:00:00+0530,153.8,157.6,148,149.5,385600,0
2024-07-03T00:00:00+0530,158,158,150,152.75,489600,0
2024-07-04T00:00:00+0530,157.15,157.15,149.15,151.2,307200,0
2024-07-05T00:00:00+0530,151.2,151.2,143.15,146.85,224000,0
2024-07-08T00:00:00+0530,148.8,148.8,140.1,141.45,166400,0
2024-07-09T00:00:00+0530,140.45,146.8,140.45,143.75,137600,0
2024-07-10T00:00:00+0530,146,146,133.05,137.95,243200,0
2024-07-11T00:00:00+0530,141.5,141.5,137,138.85,112000,0
2024-07-12T00:00:00+0530,135,137,133,133.55,129600,0
2024-07-15T00:00:00+0530,139,144.8,137,142.05,475200,0
2024-07-16T00:00:00+0530,145,150,142.5,146.05,307200,0
2024-07-18T00:00:00+0530,144,147.85,140.3,143,158400,0
2024-07-19T00:00:00+0530,142,142.95,132,141.35,212800,0
2024-07-22T00:00:00+0530,141,151,139,144.85,380800,0
2024-07-23T00:00:00+0530,144.85,146.95,130.4,143.15,219200,0
2024-07-24T00:00:00+0530,140,146.65,140,143.75,76800,0
2024-07-25T00:00:00+0530,142.2,144.95,140.35,142.05,75200,0
2024-07-26T00:00:00+0530,144.95,145,139,141.65,124800,0
2024-07-29T00:00:00+0530,143.25,143.8,141,141.55,80000,0
2024-07-30T00:00:00+0530,143.75,155.7,143.7,155.7,528000,0
2024-07-31T00:00:00+0530,162,162.95,146.1,147.65,284800,0
2024-08-01T00:00:00+0530,150,150,140,142.5,196800,0
2024-08-02T00:00:00+0530,136.4,150.95,136.4,142.95,174400,0
2024-08-05T00:00:00+0530,135.05,146.8,135.05,141.05,208000,0
2024-08-06T00:00:00+0530,145.8,146.45,136,136.55,164800,0
2024-08-07T00:00:00+0530,140,143.6,138.1,143.15,99200,0
2024-08-08T00:00:00+0530,143.45,148.8,143,146.65,107200,0
2024-08-09T00:00:00+0530,145.2,147.45,143.15,144.8,75200,0
2024-08-12T00:00:00+0530,141.05,160,140.6,152.95,456000,0
2024-08-13T00:00:00+0530,152.95,177,152.25,163.15,540800,0
2024-08-14T00:00:00+0530,165.8,170,161.05,164.8,209600,0
2024-08-16T00:00:00+0530,169.75,184,165.55,177.45,401600,0
2024-08-19T00:00:00+0530,177.45,179.25,163,165.55,260800,0
2024-08-20T00:00:00+0530,167.95,177.95,160.7,169.4,176000,0
2024-08-21T00:00:00+0530,170,173.75,166.65,169.9,60800,0
2024-08-22T00:00:00+0530,169,169.75,166,167.35,115200,0
2024-08-23T00:00:00+0530,168,176.95,162,173.7,195200,0
2024-08-26T00:00:00+0530,176.8,179.8,170,175.2,112000,0
2024-08-27T00:00:00+0530,175.2,175.2,170.9,173,43200,0
2024-08-28T00:00:00+0530,174,176.5,168,168.35,99200,0
2024-08-29T00:00:00+0530,178,181.7,164,171.1,238400,0
2024-08-30T00:00:00+0530,173.95,175.75,168,173.5,155200,0
2024-09-02T00:00:00+0530,178.7,192,178.6,182.3,441600,0
2024-09-03T00:00:00+0530,182,189.95,178.5,182.1,180800,0
2024-09-04T00:00:00+0530,183.5,184.5,178,178.9,102400,0
2024-09-05T00:00:00+0530,179,184.5,177,178.75,136000,0
2024-09-06T00:00:00+0530,178.75,178.8,172.3,174.4,113600,0
2024-09-09T00:00:00+0530,170.5,175.8,170.1,170.7,72000,0
2024-09-10T00:00:00+0530,171.1,178.4,171,177.2,99200,0
2024-09-11T00:00:00+0530,175,177,165,168.4,126400,0
2024-09-12T00:00:00+0530,169.1,173.5,169.1,172.65,104000,0
2024-09-13T00:00:00+0530,172.65,173.2,170,171.45,80000,0
2024-09-16T00:00:00+0530,173.95,173.95,167.5,171.1,76800,0
2024-09-17T00:00:00+0530,167.05,170.25,161.5,164.3,97600,0
2024-09-18T00:00:00+0530,164,164,155,155.55,184000,0
2024-09-19T00:00:00+0530,159,164.8,148.65,153.35,235200,0
2024-09-20T00:00:00+0530,155.5,164,153.05,161.55,128000,0
2024-09-23T00:00:00+0530,164.9,169,161.55,167.9,83200,0
2024-09-24T00:00:00+0530,169.6,169.6,161,162.25,60800,0
2024-09-25T00:00:00+0530,162,164.95,159.5,162.8,38400,0
2024-09-26T00:00:00+0530,164,165,156.35,160.5,105600,0
2024-09-27T00:00:00+0530,168.9,174.5,160,168.75,321600,0
2024-09-30T00:00:00+0530,168.75,169,162.4,164,44800,0
2024-10-01T00:00:00+0530,165,168,163,167.15,48000,0
2024-10-03T00:00:00+0530,162.2,165.35,160.2,162.7,67200,0
2024-10-04T00:00:00+0530,164.9,165,158,161,51200,0
2024-10-07T00:00:00+0530,158.35,164.45,142.15,146.05,211200,0
2024-10-08T00:00:00+0530,142.6,150,138,146.75,163200,0
2024-10-09T00:00:00+0530,154,154,145.15,146.25,35200,0
2024-10-10T00:00:00+0530,148.4,149,142,144.95,62400,0
2024-10-11T00:00:00+0530,144,149,143,145,70400,0
2024-10-14T00:00:00+0530,145,145.45,140,141.35,86400,0
2024-10-15T00:00:00+0530,144.9,145,141.05,143.5,48000,0
2024-10-16T00:00:00+0530,143.5,145.95,140.15,145.5,65600,0
2024-10-17T00:00:00+0530,145,145,140,141.5,28800,0
2024-10-18T00:00:00+0530,136,142.7,135,139.75,59200,0
2024-10-21T00:00:00+0530,139.95,140.5,135.5,136.75,44800,0
2024-10-22T00:00:00+0530,136,137,129.95,129.95,89600,0
2024-10-23T00:00:00+0530,127,132.95,123.45,125,179200,0
2024-10-24T00:00:00+0530,125,125,118.75,119.4,108800,0
2024-10-25T00:00:00+0530,119.4,125.35,113.45,125.35,102400,0
2024-10-28T00:00:00+0530,129.4,131.6,124.5,131.25,108800,0
2024-10-29T00:00:00+0530,134.8,137.2,129,135.65,83200,0
2024-10-30T00:00:00+0530,142.4,142.4,142.4,142.4,73600,0
2024-10-31T00:00:00+0530,149.5,149.5,149.5,149.5,47200,0
2024-11-01T00:00:00+0530,156.9,156.95,156.9,156.95,52800,0
2024-11-04T00:00:00+0530,161.7,164.5,150.2,164.25,148000,0
2024-11-05T00:00:00+0530,161,161,161,161,24800,0
2024-11-06T00:00:00+0530,157.8,164.2,157.8,164.2,125600,0
2024-11-07T00:00:00+0530,167.45,167.45,167.45,167.45,19200,0
2024-11-08T00:00:00+0530,170.75,170.75,170.75,170.75,20000,0
2024-11-11T00:00:00+0530,174.15,174.15,174.15,174.15,24800,0
2024-11-12T00:00:00+0530,177.6,177.6,177.6,177.6,32000,0
2024-11-13T00:00:00+0530,180.95,181.15,180.95,181.15,310400,0
2024-11-14T00:00:00+0530,184.75,184.75,184.75,184.75,74400,0
2024-11-18T00:00:00+0530,188.4,188.4,186,186,98400,0
2024-11-19T00:00:00+0530,186,186,182.3,182.3,32000,0
2024-11-21T00:00:00+0530,178.65,178.65,178.65,178.65,24000,0
2024-11-22T00:00:00+0530,175.1,175.1,175.1,175.1,28000,0
2024-11-25T00:00:00+0530,178.6,178.6,178.6,178.6,47200,0
2024-11-26T00:00:00+0530,182.15,182.15,175.5,175.5,57600,0
2024-11-27T00:00:00+0530,175.6,175.6,174.1,174.1,31200,0
2024-11-28T00:00:00+0530,177.55,177.55,177,177.5,68000,0
2024-11-29T00:00:00+0530,179.95,180.95,177.6,178.1,22400,0
2024-12-02T00:00:00+0530,178.1,178.25,174.55,174.55,45600,0
2024-12-03T00:00:00+0530,173,178,173,177.85,61600,0
2024-12-04T00:00:00+0530,178.05,178.85,177.65,178.85,22400,0
2024-12-05T00:00:00+0530,182,182,180.2,181.85,24000,0
2024-12-06T00:00:00+0530,181.85,182.55,180,182.4,37600,0
2024-12-09T00:00:00+0530,184.5,184.5,182,182,37600,0
2024-12-10T00:00:00+0530,182,183,181.95,181.95,39200,0
2024-12-11T00:00:00+0530,185,185.55,185,185.55,48800,0
2024-12-12T00:00:00+0530,189.25,189.25,189.25,189.25,13600,0
2024-12-13T00:00:00+0530,193,193,193,193,20000,0
2024-12-16T00:00:00+0530,202.65,202.65,202.65,202.65,15200,0
2024-12-17T00:00:00+0530,212.75,212.75,212.75,212.75,13600,0
2024-12-18T00:00:00+0530,223.35,223.35,213.1,223.35,208000,0
2024-12-19T00:00:00+0530,221.8,233.8,213.2,231.35,124800,0
2024-12-20T00:00:00+0530,235,237,219.8,220.75,60800,0
2024-12-23T00:00:00+0530,225,225,209.75,223.15,78400,0
2024-12-24T00:00:00+0530,216,227,212,218.1,57600,0
2024-12-26T00:00:00+0530,226,228.4,218,222.05,58400,0
2024-12-27T00:00:00+0530,219,224,215,218.8,32000,0
2024-12-30T00:00:00+0530,218.8,222,211.3,213.9,40800,0
2024-12-31T00:00:00+0530,205.2,213,203.2,208,71200,0
2025-01-01T00:00:00+0530,207,218.4,207,218.4,61600,0
2025-01-02T00:00:00+0530,225.9,229.3,222,229,47200,0
2025-01-03T00:00:00+0530,229.3,240.45,222,239.8,64000,0
2025-01-06T00:00:00+0530,251.75,251.75,251.75,251.75,104800,0
2025-01-07T00:00:00+0530,258.95,264.3,252.05,264.3,87200,0
2025-01-08T00:00:00+0530,259.05,259.05,259.05,259.05,22400,0
2025-01-09T00:00:00+0530,253.9,253.9,253.9,253.9,6400,0
