date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,108.8,110,106.95,109.2,68538,0
2023-01-03T00:00:00+0530,109.15,111,108.9,109.1,87609,0
2023-01-04T00:00:00+0530,110.2,110.3,105.95,106.7,63597,0
2023-01-05T00:00:00+0530,107.1,108.9,105,106.55,83524,0
2023-01-06T00:00:00+0530,106.5,107.5,103.95,106.95,80366,0
2023-01-09T00:00:00+0530,108.7,108.7,105.6,106.45,62929,0
2023-01-10T00:00:00+0530,105.4,107.75,105.4,106.6,36043,0
2023-01-11T00:00:00+0530,106.9,107.8,105.5,106.1,39709,0
2023-01-12T00:00:00+0530,107.25,107.25,105.55,105.8,22863,0
2023-01-13T00:00:00+0530,106.9,107.9,95.9,102.4,377826,0
2023-01-16T00:00:00+0530,103.35,108,103.35,107.25,339286,0
2023-01-17T00:00:00+0530,107.25,108.4,105.05,105.65,93570,0
2023-01-18T00:00:00+0530,105.35,106.75,103.65,104.2,78234,0
2023-01-19T00:00:00+0530,104.2,105.55,103.3,103.65,54252,0
2023-01-20T00:00:00+0530,104.7,104.85,101.55,102.75,88981,0
2023-01-23T00:00:00+0530,103,104.45,102.3,102.55,34803,0
2023-01-24T00:00:00+0530,103.05,103.7,101,101.3,72637,0
2023-01-25T00:00:00+0530,101,102.8,99.05,99.3,123154,0
2023-01-27T00:00:00+0530,99.05,100.2,96.1,96.95,127515,0
2023-01-30T00:00:00+0530,98.45,100,95,96.6,108558,0
2023-01-31T00:00:00+0530,98.4,99.7,96.15,98.15,80096,0
2023-02-01T00:00:00+0530,99,102.2,96.2,98.25,125011,0
2023-02-02T00:00:00+0530,97.2,99.75,97,97.6,64788,0
2023-02-03T00:00:00+0530,98.8,99,95.4,97.4,64602,0
2023-02-06T00:00:00+0530,98.45,98.65,97,97.8,53716,0
2023-02-07T00:00:00+0530,98.9,98.9,96.1,96.6,62589,0
2023-02-08T00:00:00+0530,96.55,103.9,95.95,101.25,304366,0
2023-02-09T00:00:00+0530,101.25,102.7,100.6,101.85,157735,0
2023-02-10T00:00:00+0530,101.8,103.35,100.6,102.75,91597,0
2023-02-13T00:00:00+0530,103.45,104.8,93,94.75,401186,0
2023-02-14T00:00:00+0530,94.75,95.2,92,92.35,105312,0
