date,open,high,low,close,volume,empty
2023-12-19T00:00:00+0530,200,204.9,190,190,35300,0
2023-12-20T00:00:00+0530,180.5,180.5,180.5,180.5,7628,0
2023-12-21T00:00:00+0530,171.5,171.5,171.5,171.5,5657,0
2023-12-22T00:00:00+0530,162.95,162.95,162.95,162.95,11500,0
2023-12-26T00:00:00+0530,154.8,154.8,154.8,154.8,6984,0
2023-12-27T00:00:00+0530,147.1,147.1,147.1,147.1,14010,0
2023-12-28T00:00:00+0530,139.75,139.75,139.75,139.75,15424,0
2023-12-29T00:00:00+0530,132.8,132.8,132.8,132.8,52368,0
2024-01-01T00:00:00+0530,126.2,139.4,126.2,131.8,2346959,0
2024-01-02T00:00:00+0530,125.25,125.25,125.25,125.25,165108,0
2024-01-03T00:00:00+0530,115,121.7,108.25,109.4,3810060,0
2024-01-04T00:00:00+0530,116.2,127.5,113.15,115.15,4521019,0
2024-01-05T00:00:00+0530,119.45,134,117.15,129.85,5490820,0
2024-01-08T00:00:00+0530,144.4,155.8,141,155.8,5639239,0
2024-01-09T00:00:00+0530,161,170.5,148.35,155.55,7930800,0
2024-01-10T00:00:00+0530,156.35,159,137.65,143.25,6768472,0
2024-01-11T00:00:00+0530,146.8,151.15,141.25,144.65,2477603,0
2024-01-12T00:00:00+0530,156,156,147.3,153.6,4822350,0
2024-01-15T00:00:00+0530,156.95,169.4,155,164.95,4161637,0
2024-01-16T00:00:00+0530,166.6,172,157,162.65,2869295,0
2024-01-17T00:00:00+0530,159.85,168,158.05,162.9,1746146,0
2024-01-18T00:00:00+0530,165.3,177,158.2,175.5,3295377,0
2024-01-19T00:00:00+0530,179.45,188.5,177.5,187.6,3537307,0
2024-01-20T00:00:00+0530,190.35,196.45,183.3,187.15,2129293,0
2024-01-23T00:00:00+0530,189,194.7,175,177.15,1656166,0
2024-01-24T00:00:00+0530,177.8,184.25,173.65,183.45,978234,0
2024-01-25T00:00:00+0530,183.3,185,178.5,179.55,760975,0
2024-01-29T00:00:00+0530,180.95,184.2,178.6,179.9,611206,0
2024-01-30T00:00:00+0530,180.9,181.8,171.6,173.65,740944,0
2024-01-31T00:00:00+0530,174.5,183.9,170,182.25,905885,0
2024-02-01T00:00:00+0530,183.45,190.2,179.35,187,1054477,0
2024-02-02T00:00:00+0530,188.95,205.7,188.8,205.7,2710396,0
2024-02-05T00:00:00+0530,218.2,226.25,211,224.9,2822537,0
2024-02-06T00:00:00+0530,229,236.1,217.25,219.45,2269047,0
2024-02-07T00:00:00+0530,224.65,228.95,212.6,215.6,892084,0
2024-02-08T00:00:00+0530,216.9,222,209,212.25,608659,0
2024-02-09T00:00:00+0530,214,222.85,201.65,222.35,1386985,0
2024-02-12T00:00:00+0530,227,232.65,211.25,223.9,2302170,0
2024-02-13T00:00:00+0530,224,227.7,212.7,214.6,1197308,0
2024-02-14T00:00:00+0530,209.1,225.3,209.1,225.3,471811,0
2024-02-15T00:00:00+0530,229.1,236.55,229,236.55,903561,0
2024-02-16T00:00:00+0530,242,248.35,226.75,229.05,2641557,0
2024-02-19T00:00:00+0530,230.15,238,225.2,228.7,855527,0
