date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,85.84,89.17,85.16,88.3,24017164,0
2023-01-03T00:00:00+0530,89.07,91.19,88.92,90.42,28822322,0
2023-01-04T00:00:00+0530,91.24,92.54,88.92,90.85,32925860,0
2023-01-05T00:00:00+0530,91.19,92.54,88.88,90.9,23254902,0
2023-01-06T00:00:00+0530,91.53,91.87,89.31,90.18,14508676,0
2023-01-09T00:00:00+0530,90.9,92.64,90.03,91.92,18826588,0
2023-01-10T00:00:00+0530,92.16,92.16,87.77,88.63,13471211,0
2023-01-11T00:00:00+0530,88.97,91.96,86.7,91.53,26419316,0
2023-01-12T00:00:00+0530,91.67,91.87,90.18,91.53,13399632,0
2023-01-13T00:00:00+0530,91.92,93.6,90.85,93.02,20195109,0
2023-01-16T00:00:00+0530,93.22,97.75,93.12,94.42,29233309,0
2023-01-17T00:00:00+0530,95.44,96.5,86.51,90.13,70466402,0
2023-01-18T00:00:00+0530,88.83,89.41,85.88,86.22,43303240,0
2023-01-19T00:00:00+0530,86.17,87.72,85.69,86.9,20169417,0
2023-01-20T00:00:00+0530,87.28,88.01,86.51,87.04,16244437,0
2023-01-23T00:00:00+0530,87.52,88.06,83.52,84.53,8169869,0
2023-01-24T00:00:00+0530,85.02,85.4,81.83,82.8,9460911,0
2023-01-25T00:00:00+0530,82.27,82.8,77.92,79.66,17793136,0
2023-01-27T00:00:00+0530,79.66,80.48,73.24,75.17,22272182,0
2023-01-30T00:00:00+0530,75.17,78.31,73.34,75.61,18527169,0
2023-01-31T00:00:00+0530,76.28,81.35,75.46,79.8,19018759,0
2023-02-01T00:00:00+0530,81.06,82.75,75.08,76.91,25489251,0
2023-02-02T00:00:00+0530,76.23,77.87,73.82,75.03,12734571,0
2023-02-03T00:00:00+0530,75.51,77.59,73.97,76.96,17282156,0
2023-02-06T00:00:00+0530,77.39,78.16,75.99,76.33,7402174,0
2023-02-07T00:00:00+0530,76.67,76.67,74.88,75.27,5804796,0
2023-02-08T00:00:00+0530,75.66,78.07,74.98,77.63,9001344,0
2023-02-09T00:00:00+0530,77.63,78.79,76.48,77.78,8404132,0
