date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,50.52,51,49.47,50.76,39961,0
2023-01-03T00:00:00+0530,51.72,54.12,50.62,53.64,190135,0
2023-01-04T00:00:00+0530,54.31,54.31,50.43,51.82,101110,0
2023-01-05T00:00:00+0530,52.3,53.44,51.63,52.44,43093,0
2023-01-06T00:00:00+0530,52.34,52.34,50.48,51.1,47206,0
2023-01-09T00:00:00+0530,51.1,52.73,50.48,50.81,32883,0
2023-01-10T00:00:00+0530,50.76,53.11,50.38,50.76,49634,0
2023-01-11T00:00:00+0530,50.91,51.67,50,50.43,35564,0
2023-01-12T00:00:00+0530,50.43,51.39,49.42,49.85,32004,0
2023-01-13T00:00:00+0530,50.24,50.57,48.9,49.28,29354,0
2023-01-16T00:00:00+0530,49.85,50.76,48.99,49.61,28528,0
2023-01-17T00:00:00+0530,50.48,50.48,48.08,48.32,94401,0
2023-01-18T00:00:00+0530,48.9,49.61,48.37,48.8,54404,0
2023-01-19T00:00:00+0530,48.22,49.04,47.89,47.99,50578,0
2023-01-20T00:00:00+0530,49.13,49.13,47.46,47.7,57110,0
2023-01-23T00:00:00+0530,48.08,49.04,47.46,48.13,93803,0
2023-01-24T00:00:00+0530,48.99,48.99,47.51,48.22,25580,0
2023-01-25T00:00:00+0530,47.46,48.37,46.21,46.98,59162,0
2023-01-27T00:00:00+0530,46.98,47.84,45.11,45.35,80016,0
2023-01-30T00:00:00+0530,46.88,46.88,45.06,45.88,30100,0
2023-01-31T00:00:00+0530,46.26,47.51,45.97,46.74,36406,0
2023-02-01T00:00:00+0530,47.03,47.94,44.35,44.82,74474,0
2023-02-02T00:00:00+0530,44.87,46.31,44.78,45.97,28402,0
2023-02-03T00:00:00+0530,46.69,46.69,42.29,44.87,84897,0
2023-02-06T00:00:00+0530,45.21,46.07,44.97,45.21,29421,0
2023-02-07T00:00:00+0530,45.93,45.93,44.49,44.63,20238,0
2023-02-08T00:00:00+0530,44.82,45.97,44.82,45.3,17682,0
2023-02-09T00:00:00+0530,45.4,45.4,44.01,44.78,23395,0
2023-02-10T00:00:00+0530,44.3,45.02,43.1,44.78,31285,0
2023-02-13T00:00:00+0530,44.2,45.11,42.19,43.05,76951,0
2023-02-14T00:00:00+0530,43.1,43.96,42.14,42.81,62059,0
2023-02-15T00:00:00+0530,42.81,44.11,42.29,42.96,56358,0
2023-02-16T00:00:00+0530,43.39,44.01,42.33,42.91,37719,0
2023-02-17T00:00:00+0530,43.34,44.06,42.33,42.62,23982,0
2023-02-20T00:00:00+0530,43.58,43.82,42.29,42.86,33098,0
2023-02-21T00:00:00+0530,42.77,43.87,42.53,43.48,226126,0
2023-02-22T00:00:00+0530,42.91,43.24,41.19,41.62,55836,0
2023-02-23T00:00:00+0530,42.1,42.1,40.23,40.85,49902,0
2023-02-24T00:00:00+0530,42.05,42.1,38.55,39.17,90371,0
2023-02-27T00:00:00+0530,39.27,40.13,35.44,36.83,117900,0
2023-02-28T00:00:00+0530,37.74,38.22,36.4,37.02,76387,0
2023-03-01T00:00:00+0530,37.4,38.84,37.26,38.31,76444,0
2023-03-02T00:00:00+0530,38.6,39.8,37.59,39.37,56030,0
2023-03-03T00:00:00+0530,38.98,40.99,38.93,40.66,40094,0
2023-03-06T00:00:00+0530,40.32,42.81,40.23,40.75,127711,0
2023-03-08T00:00:00+0530,40.23,40.99,39.6,40.42,53191,0
2023-03-09T00:00:00+0530,41.86,41.86,40.23,40.32,62276,0
2023-03-10T00:00:00+0530,40.42,41.62,39.32,40.99,86311,0
2023-03-13T00:00:00+0530,40.71,41.38,38.17,38.5,160400,0
2023-03-14T00:00:00+0530,38.46,39.22,36.92,37.35,115251,0
2023-03-15T00:00:00+0530,38.12,38.79,34.72,35.68,209736,0
2023-03-16T00:00:00+0530,35.34,36.78,35.25,36.3,79528,0
2023-03-17T00:00:00+0530,37.26,37.5,36.73,36.97,62702,0
2023-03-20T00:00:00+0530,39.03,39.03,35.73,36.54,89529,0
2023-03-21T00:00:00+0530,36.64,37.07,35.87,36.88,67328,0
2023-03-22T00:00:00+0530,36.3,37.78,36.3,36.78,60491,0
2023-03-23T00:00:00+0530,36.97,37.74,36.11,36.49,113407,0
