date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,58.7,60.3,58.25,59.9,360364,0
2023-01-03T00:00:00+0530,60.2,62.2,60.05,61.4,492154,0
2023-01-04T00:00:00+0530,61.7,61.75,59.4,59.7,298067,0
2023-01-05T00:00:00+0530,60.1,60.35,58.75,59.4,186418,0
2023-01-06T00:00:00+0530,59.75,59.85,58.5,58.95,126137,0
2023-01-09T00:00:00+0530,58.35,60.7,58.35,59.6,171324,0
2023-01-10T00:00:00+0530,59.65,59.9,58.85,59.05,102984,0
2023-01-11T00:00:00+0530,59.1,60.2,58.85,59.35,139449,0
2023-01-12T00:00:00+0530,59.65,60.1,59.1,59.5,150028,0
2023-01-13T00:00:00+0530,59.75,60.1,59.15,59.45,102012,0
2023-01-16T00:00:00+0530,59.4,60.2,59.4,59.65,131205,0
2023-01-17T00:00:00+0530,60.15,60.15,59.05,59.3,78558,0
2023-01-18T00:00:00+0530,59.6,59.6,58.1,58.3,184427,0
2023-01-19T00:00:00+0530,58.35,58.8,57.3,58.2,99391,0
2023-01-20T00:00:00+0530,58.5,60.05,57.6,58.7,172404,0
2023-01-23T00:00:00+0530,59.2,59.95,58.5,58.75,115175,0
2023-01-24T00:00:00+0530,59.2,59.4,58.1,58.45,92490,0
2023-01-25T00:00:00+0530,58.4,58.4,56.6,56.85,105165,0
2023-01-27T00:00:00+0530,57.1,57.35,54.5,55.15,146828,0
2023-01-30T00:00:00+0530,55.5,56.8,54.65,55.6,69332,0
2023-01-31T00:00:00+0530,56,57.6,55.3,57.2,85187,0
2023-02-01T00:00:00+0530,57.15,57.9,54.6,55.25,92740,0
2023-02-02T00:00:00+0530,54.8,56.1,53.1,54.3,129439,0
2023-02-03T00:00:00+0530,54.8,55.65,52.85,53,128910,0
2023-02-06T00:00:00+0530,53,54.2,53,53.45,66571,0
2023-02-07T00:00:00+0530,53.85,53.85,52.4,53.2,85301,0
2023-02-08T00:00:00+0530,53.75,53.95,53,53.55,69123,0
2023-02-09T00:00:00+0530,53.8,54.65,53,53.55,76988,0
2023-02-10T00:00:00+0530,53.6,54.75,53.35,54.45,63894,0
2023-02-13T00:00:00+0530,54.6,54.7,53.25,53.6,51452,0
2023-02-14T00:00:00+0530,54.75,55,51.15,52.15,89728,0
2023-02-15T00:00:00+0530,52.25,52.8,51.45,52.05,51363,0
2023-02-16T00:00:00+0530,51.8,53.5,51.7,52.6,61445,0
2023-02-17T00:00:00+0530,52.6,53.1,52.15,52.45,33689,0
2023-02-20T00:00:00+0530,53,54.6,51.15,51.45,195796,0
2023-02-21T00:00:00+0530,51.8,51.8,51,51.1,76095,0
2023-02-22T00:00:00+0530,50.9,51.3,49.05,49.2,137358,0
2023-02-23T00:00:00+0530,49.05,50.5,48.3,48.7,85039,0
2023-02-24T00:00:00+0530,49,50.7,49,49.15,65553,0
2023-02-27T00:00:00+0530,48.3,49,47.1,47.4,66394,0
2023-02-28T00:00:00+0530,47.85,48.6,47.55,47.95,89253,0
2023-03-01T00:00:00+0530,48.35,57.5,48.15,54.6,1709479,0
2023-03-02T00:00:00+0530,54.3,55.25,52.5,53,247780,0
2023-03-03T00:00:00+0530,53.2,53.6,51.9,52.45,128471,0
2023-03-06T00:00:00+0530,52.75,53.9,52.2,52.5,105263,0
2023-03-08T00:00:00+0530,52.05,52.85,51.85,52.35,104703,0
2023-03-09T00:00:00+0530,52.8,57.35,52.75,55.25,772956,0
2023-03-10T00:00:00+0530,54.4,56.3,53.95,54.4,159530,0
2023-03-13T00:00:00+0530,54.8,56.2,52.15,52.5,188180,0
2023-03-14T00:00:00+0530,53,53,51.3,51.85,121651,0
2023-03-15T00:00:00+0530,52.3,53.35,50.15,51.35,138827,0
2023-03-16T00:00:00+0530,51.5,51.9,49.95,50.4,125691,0
2023-03-17T00:00:00+0530,51.15,51.65,50.25,50.75,81630,0
2023-03-20T00:00:00+0530,50.65,51,49.2,49.55,68318,0
2023-03-21T00:00:00+0530,49.9,50.95,49.75,49.95,132573,0
2023-03-22T00:00:00+0530,50.65,50.65,49.75,49.95,86263,0
2023-03-23T00:00:00+0530,49.95,50.9,49.25,49.85,91122,0
2023-03-24T00:00:00+0530,49.6,50,48.5,48.75,118466,0
