date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,45.5,47,44.75,46.8,61020,0
2023-01-03T00:00:00+0530,47,47.45,45.65,46.1,19864,0
2023-01-04T00:00:00+0530,46.45,46.75,45.4,45.65,14103,0
2023-01-05T00:00:00+0530,46.25,46.25,44.3,45.3,13229,0
2023-01-06T00:00:00+0530,45.05,46.8,44.95,45.8,33651,0
2023-01-09T00:00:00+0530,45.7,46.85,45.6,45.95,8714,0
2023-01-10T00:00:00+0530,46.1,47.2,45.3,46.4,19929,0
2023-01-11T00:00:00+0530,46.4,51.6,46.05,49.2,234208,0
2023-01-12T00:00:00+0530,49.35,56.15,49.35,51.25,890805,0
2023-01-13T00:00:00+0530,50.65,52.3,49.3,50.4,140698,0
2023-01-16T00:00:00+0530,50.7,51.65,49.15,49.5,64799,0
2023-01-17T00:00:00+0530,50,50.9,47.1,47.4,74740,0
2023-01-18T00:00:00+0530,47.85,49.6,47.8,48.9,69452,0
2023-01-19T00:00:00+0530,48.85,49.55,47.9,48.15,37193,0
2023-01-20T00:00:00+0530,48.85,48.95,48,48.15,27692,0
2023-01-23T00:00:00+0530,48.2,48.6,47,47.1,18325,0
2023-01-24T00:00:00+0530,47.4,50.35,45.95,48.7,61916,0
2023-01-25T00:00:00+0530,48.35,55.4,48.35,50.55,439613,0
2023-01-27T00:00:00+0530,51.1,51.65,48,48.95,112997,0
2023-01-30T00:00:00+0530,48.95,49.9,48.25,49.55,36486,0
2023-01-31T00:00:00+0530,48.3,52.45,48.3,50.3,100646,0
2023-02-01T00:00:00+0530,51.2,51.25,48.5,49.25,55963,0
2023-02-02T00:00:00+0530,49.3,50.05,48.3,48.65,52098,0
2023-02-03T00:00:00+0530,49.3,49.55,47.55,48.55,60451,0
2023-02-06T00:00:00+0530,49.4,49.5,48.5,48.75,12893,0
2023-02-07T00:00:00+0530,48.75,49.5,47.85,48.15,33681,0
2023-02-08T00:00:00+0530,48.25,48.35,46.95,48.15,35246,0
2023-02-09T00:00:00+0530,48.3,49.2,47.8,48.25,16837,0
2023-02-10T00:00:00+0530,50,51.7,48.25,48.8,81088,0
2023-02-13T00:00:00+0530,49.4,49.85,45.85,47.85,43994,0
2023-02-14T00:00:00+0530,47,50.8,47,47.5,114705,0
2023-02-15T00:00:00+0530,49.65,49.95,47.15,47.45,46347,0
2023-02-16T00:00:00+0530,48.45,49.45,47.5,48.55,53361,0
2023-02-17T00:00:00+0530,47.75,49.65,47.65,48.85,59367,0
2023-02-20T00:00:00+0530,50.15,50.15,47.5,47.85,34101,0
2023-02-21T00:00:00+0530,48.25,49.2,47.95,49.15,25697,0
2023-02-22T00:00:00+0530,48.35,49.55,48.35,49.05,48199,0
2023-02-23T00:00:00+0530,48.8,49.3,48.55,49.1,8343,0
2023-02-24T00:00:00+0530,49,49.4,47.4,48.8,18897,0
2023-02-27T00:00:00+0530,48.5,49.2,46.15,46.9,20012,0
2023-02-28T00:00:00+0530,47.75,47.75,45.15,46.1,36639,0
2023-03-01T00:00:00+0530,46.65,47.65,46.65,47.1,16870,0
2023-03-02T00:00:00+0530,47.8,48.45,47.1,48.1,13193,0
2023-03-03T00:00:00+0530,47.45,52.4,47.45,48.9,107647,0
2023-03-06T00:00:00+0530,50.6,50.6,48.5,48.65,21581,0
2023-03-08T00:00:00+0530,48.8,49.4,48.5,48.9,19184,0
2023-03-09T00:00:00+0530,49.25,49.6,48.5,49.05,20041,0
2023-03-10T00:00:00+0530,48.4,49.55,48.4,48.9,35538,0
2023-03-13T00:00:00+0530,49.5,49.5,46.85,46.95,38281,0
2023-03-14T00:00:00+0530,47,47.45,46.5,46.85,7464,0
2023-03-15T00:00:00+0530,47.75,47.75,46.5,46.65,12987,0
2023-03-16T00:00:00+0530,46.6,47.55,46.1,46.7,12992,0
