date,open,high,low,close,volume,empty
2024-04-23T00:00:00+0530,121.3,127.35,120,127.35,769200,0
2024-04-24T00:00:00+0530,130,133.7,121,122.35,147600,0
2024-04-25T00:00:00+0530,117.05,128.45,117.05,123.5,127200,0
2024-04-26T00:00:00+0530,123.45,123.45,117.35,117.35,19200,0
2024-04-29T00:00:00+0530,111.5,111.5,111.5,111.5,6000,0
2024-04-30T00:00:00+0530,105.95,105.95,105.95,105.95,4800,0
2024-05-02T00:00:00+0530,105.95,105.95,100.65,100.7,85200,0
2024-05-03T00:00:00+0530,103,103.5,95.7,98.25,109200,0
2024-05-06T00:00:00+0530,93.6,96,93.35,93.35,18000,0
2024-05-07T00:00:00+0530,90.6,94,88.7,88.85,54000,0
2024-05-08T00:00:00+0530,88.5,106.6,88.5,95.1,93600,0
2024-05-09T00:00:00+0530,92,92,83.2,84.4,32400,0
2024-05-10T00:00:00+0530,79.55,84.15,79.55,83,24000,0
2024-05-13T00:00:00+0530,83,84,82,83,13200,0
2024-05-14T00:00:00+0530,83,83,81.5,81.5,6000,0
2024-05-15T00:00:00+0530,79.95,81,76,76.5,15600,0
2024-05-16T00:00:00+0530,77.05,81,77.05,79.75,7200,0
2024-05-17T00:00:00+0530,81.9,84,81.9,82.2,8400,0
2024-05-18T00:00:00+0530,82,86.3,82,84.15,9600,0
2024-05-21T00:00:00+0530,90.95,90.95,85,85,15600,0
2024-05-22T00:00:00+0530,88.95,88.95,80,82.85,18000,0
2024-05-23T00:00:00+0530,82.5,82.5,81,81,8400,0
2024-05-27T00:00:00+0530,78,78,71.1,75.65,14400,0
2024-05-28T00:00:00+0530,74,74,67.5,68.5,49200,0
2024-05-29T00:00:00+0530,71,73.5,68.5,68.5,7200,0
2024-05-30T00:00:00+0530,68,68,60.5,61.6,21600,0
2024-05-31T00:00:00+0530,60,60,57.25,59.2,24000,0
2024-06-03T00:00:00+0530,59.3,67.95,59.3,66.35,18000,0
2024-06-04T00:00:00+0530,67,67,58,66,7200,0
2024-06-05T00:00:00+0530,59.5,65,59.5,61.05,6000,0
2024-06-06T00:00:00+0530,67.5,67.5,66.8,66.8,9600,0
2024-06-07T00:00:00+0530,66.8,70.5,66.8,70.5,3600,0
2024-06-10T00:00:00+0530,65,65,65,65,30000,0
2024-06-11T00:00:00+0530,65,70.25,65,68.2,18000,0
2024-06-12T00:00:00+0530,68.1,68.1,66.05,66.05,4800,0
2024-06-13T00:00:00+0530,66.1,74,66.1,73.75,31200,0
2024-06-18T00:00:00+0530,72.55,78.25,70.1,75.4,18000,0
2024-06-19T00:00:00+0530,78,78.2,75.5,75.5,13200,0
