date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,72.4,72.95,72.25,72.6,38948,0
2023-01-03T00:00:00+0530,73.05,73.65,72.5,73,74926,0
2023-01-04T00:00:00+0530,72.7,73.95,71.8,71.95,73617,0
2023-01-05T00:00:00+0530,72.25,72.55,71.5,71.85,43456,0
2023-01-06T00:00:00+0530,72,72.3,71.2,71.4,70129,0
2023-01-09T00:00:00+0530,72.95,72.95,71.25,71.45,41311,0
2023-01-10T00:00:00+0530,71.45,72.5,71.05,71.55,55879,0
2023-01-11T00:00:00+0530,71.9,72.6,71.3,71.85,33001,0
2023-01-12T00:00:00+0530,72.55,72.55,71.25,71.45,52444,0
2023-01-13T00:00:00+0530,72.1,72.1,71.35,71.5,24559,0
2023-01-16T00:00:00+0530,71.95,72.25,71.05,71.35,59733,0
2023-01-17T00:00:00+0530,71,71.95,69.9,70.45,81197,0
2023-01-18T00:00:00+0530,70.35,71.55,69.8,70.65,87363,0
2023-01-19T00:00:00+0530,71.35,77,70.85,73.05,513304,0
2023-01-20T00:00:00+0530,73.5,73.6,72.4,73.1,51964,0
2023-01-23T00:00:00+0530,71.65,72.9,71.3,71.8,44982,0
2023-01-24T00:00:00+0530,71.65,72.75,71.4,71.85,38392,0
2023-01-25T00:00:00+0530,75.15,82,74,77.15,5880426,0
2023-01-27T00:00:00+0530,77.1,82,76.25,81.2,1625114,0
2023-01-30T00:00:00+0530,81,84,78.2,79.6,704126,0
2023-01-31T00:00:00+0530,78.25,79.1,77.1,78.15,227243,0
2023-02-01T00:00:00+0530,78.95,79.9,73.3,74.65,245447,0
2023-02-02T00:00:00+0530,73.15,76.3,73.15,74.35,138614,0
2023-02-03T00:00:00+0530,74.95,75.2,71.1,73.65,253185,0
2023-02-06T00:00:00+0530,73,75,70.9,74,290290,0
2023-02-07T00:00:00+0530,74.8,75.55,73.1,74.35,87507,0
2023-02-08T00:00:00+0530,75,75,73.3,74.1,68702,0
2023-02-09T00:00:00+0530,73.85,75.8,73.85,74.45,51285,0
2023-02-10T00:00:00+0530,74.5,75.7,72.7,74.3,99626,0
2023-02-13T00:00:00+0530,74,74.7,72.3,72.6,84876,0
2023-02-14T00:00:00+0530,72.7,73.3,72.05,72.35,44666,0
2023-02-15T00:00:00+0530,71.7,79.85,71.7,77.85,424527,0
2023-02-16T00:00:00+0530,78.35,79.9,76,78.7,230569,0
2023-02-17T00:00:00+0530,78.75,81,78,78.55,133024,0
2023-02-20T00:00:00+0530,79.9,81.6,78.85,79.35,331191,0
2023-02-21T00:00:00+0530,79.95,80.1,78,78.25,74146,0
2023-02-22T00:00:00+0530,78.5,79.3,76.1,76.6,96325,0
2023-02-23T00:00:00+0530,76.5,78,74.1,75.05,126474,0
2023-02-24T00:00:00+0530,74.3,81,74.3,79,602646,0
2023-02-27T00:00:00+0530,79.8,80,77.25,78.35,369886,0
2023-02-28T00:00:00+0530,78.95,81.9,77.6,79.65,111518,0
2023-03-01T00:00:00+0530,80.35,81.8,79.6,81.1,258019,0
2023-03-02T00:00:00+0530,81.5,81.6,79,79.3,65957,0
2023-03-03T00:00:00+0530,80.45,82.6,79.35,80.05,179419,0
2023-03-06T00:00:00+0530,80.95,80.95,79,79.2,88956,0
2023-03-08T00:00:00+0530,79.55,79.6,78.4,78.95,41119,0
2023-03-09T00:00:00+0530,79.6,81.9,78.5,79.95,131273,0
2023-03-10T00:00:00+0530,79.65,79.8,77,77.85,117981,0
2023-03-13T00:00:00+0530,77.1,78.15,77,77.2,58748,0
2023-03-14T00:00:00+0530,76.2,77.6,75.1,75.35,83651,0
2023-03-15T00:00:00+0530,76.05,76.65,75,75.45,43439,0
