date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,7714,7939,7684.05,7822.75,20918,0
2023-01-03T00:00:00+0530,7809,7860,7693,7814.55,25849,0
2023-01-04T00:00:00+0530,7853.65,7914.55,7760,7863.05,20177,0
2023-01-05T00:00:00+0530,7902,7902,7622,7707,40258,0
2023-01-06T00:00:00+0530,7707,7707,7632,7675.45,9420,0
2023-01-09T00:00:00+0530,7675.4,7732.1,7521.25,7580.55,7849,0
2023-01-10T00:00:00+0530,7600.6,7600.6,7375,7443.7,48079,0
2023-01-11T00:00:00+0530,7443.7,7450,7310,7349.25,18243,0
2023-01-12T00:00:00+0530,7386,7439.95,7205.05,7249.8,12407,0
2023-01-13T00:00:00+0530,7258,7285,7122.25,7160,9890,0
2023-01-16T00:00:00+0530,7114,7202,7114,7173.75,5650,0
2023-01-17T00:00:00+0530,7176,7206.85,7025.1,7066.9,15092,0
2023-01-18T00:00:00+0530,7130,7236.8,7070.15,7123.55,14591,0
2023-01-19T00:00:00+0530,7161,7292.1,7058,7203.1,11984,0
2023-01-20T00:00:00+0530,7200,7200,7100,7118.7,5315,0
2023-01-23T00:00:00+0530,7125,7175.95,6913.25,6942.1,21411,0
2023-01-24T00:00:00+0530,6976.85,7058.8,6886,6908.65,41328,0
2023-01-25T00:00:00+0530,6907,6953.6,6711.3,6748.5,34059,0
2023-01-27T00:00:00+0530,6600,6710,6499,6557.8,67252,0
2023-01-30T00:00:00+0530,6557.8,6590.1,6390,6429.8,12342,0
2023-01-31T00:00:00+0530,6525,6525,6244.6,6315.5,47365,0
2023-02-01T00:00:00+0530,6315.5,6338.45,6051,6119.8,28509,0
2023-02-02T00:00:00+0530,6100,6240,6013.35,6218.35,127121,0
2023-02-03T00:00:00+0530,6242,6250,6015,6089.65,20007,0
2023-02-06T00:00:00+0530,6089.9,6355,6072.55,6345.8,17474,0
2023-02-07T00:00:00+0530,6345.8,6646.45,6305,6566.6,54190,0
2023-02-08T00:00:00+0530,6519.95,6557.5,6421.2,6531.1,20209,0
2023-02-09T00:00:00+0530,6525,6525,6390.3,6471,15217,0
2023-02-10T00:00:00+0530,6422,6540.8,6390,6422.1,16634,0
2023-02-13T00:00:00+0530,6422.1,6450,6025.15,6130.15,24823,0
2023-02-14T00:00:00+0530,6162.4,6205.45,6009,6046.65,21386,0
2023-02-15T00:00:00+0530,6040.05,6225,6040.05,6204.85,8229,0
2023-02-16T00:00:00+0530,6235,6235,6076,6174.05,49379,0
2023-02-17T00:00:00+0530,6137,6255,6051,6177,21831,0
2023-02-20T00:00:00+0530,6195.95,6264.35,6162.35,6247.9,6678,0
2023-02-21T00:00:00+0530,6249.9,6449.9,6156,6355.1,16322,0
2023-02-22T00:00:00+0530,6350,6394.4,6289.95,6312.4,31719,0
2023-02-23T00:00:00+0530,6350,6388,6201.4,6280.35,33533,0
2023-02-24T00:00:00+0530,6255,6294.75,6166,6246.15,29039,0
2023-02-27T00:00:00+0530,6250,6310,6151.6,6291.05,12534,0
2023-02-28T00:00:00+0530,6285,6326.55,6096,6208.85,38901,0
2023-03-01T00:00:00+0530,6199.9,6350,6178.95,6335.25,8295,0
2023-03-02T00:00:00+0530,6335.25,6383.9,6270,6317.9,6570,0
