date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,79.45,80.7,78.85,80.3,176199,0
2023-01-03T00:00:00+0530,80.4,80.6,79.1,79.35,140184,0
2023-01-04T00:00:00+0530,79.35,80.4,78.3,78.9,117711,0
2023-01-05T00:00:00+0530,79.25,79.3,78.45,78.75,73925,0
2023-01-06T00:00:00+0530,78.9,79.25,77.85,78.15,97044,0
2023-01-09T00:00:00+0530,78.55,79.55,77.8,78.35,107518,0
2023-01-10T00:00:00+0530,78.65,78.7,76.55,76.8,140344,0
2023-01-11T00:00:00+0530,77.2,77.95,76,76.4,99423,0
2023-01-12T00:00:00+0530,76.8,77.4,75.15,75.6,117039,0
2023-01-13T00:00:00+0530,76,76.7,75.5,76,82181,0
2023-01-16T00:00:00+0530,76.1,76.7,75.15,76,126347,0
2023-01-17T00:00:00+0530,76.15,76.8,75.5,75.85,98484,0
2023-01-18T00:00:00+0530,75.9,76.25,75.1,75.7,82057,0
2023-01-19T00:00:00+0530,76,76,74.65,75.15,88474,0
2023-01-20T00:00:00+0530,75.7,75.7,74,74.2,112792,0
2023-01-23T00:00:00+0530,74.6,75.25,73.5,73.85,107828,0
2023-01-24T00:00:00+0530,73.85,74.3,72.5,72.9,118087,0
2023-01-25T00:00:00+0530,73.3,75.25,72.2,74.5,126363,0
2023-01-27T00:00:00+0530,74,74.45,71.15,72.15,162977,0
2023-01-30T00:00:00+0530,71.6,73.1,70.05,70.5,145577,0
2023-01-31T00:00:00+0530,70.95,72.1,70,71.1,164404,0
2023-02-01T00:00:00+0530,71.5,73.3,70,70.45,179097,0
2023-02-02T00:00:00+0530,70.55,71.25,69.4,69.7,118971,0
2023-02-03T00:00:00+0530,70.05,70.4,67.55,68.6,207369,0
2023-02-06T00:00:00+0530,69.65,69.9,67.7,69.1,152769,0
2023-02-07T00:00:00+0530,69.45,69.8,67.95,68.85,122284,0
2023-02-08T00:00:00+0530,69.2,69.25,67.85,68.9,129439,0
2023-02-09T00:00:00+0530,68.95,70.2,67.7,69.2,141498,0
2023-02-10T00:00:00+0530,69.15,70,68.05,68.95,134202,0
2023-02-13T00:00:00+0530,70,70,67.65,68.3,177312,0
2023-02-14T00:00:00+0530,68.45,69.05,67,67.7,154705,0
2023-02-15T00:00:00+0530,66,66.6,64.3,64.9,290586,0
2023-02-16T00:00:00+0530,65.25,66.45,64.1,65.15,182874,0
2023-02-17T00:00:00+0530,64.95,65.3,62.7,64.1,338671,0
2023-02-20T00:00:00+0530,64.15,66.6,64.15,65.45,422268,0
2023-02-21T00:00:00+0530,65.45,65.7,63.8,64.05,157179,0
2023-02-22T00:00:00+0530,64.35,64.35,62.35,62.65,186546,0
2023-02-23T00:00:00+0530,62.95,63.1,61.35,62.6,164638,0
2023-02-24T00:00:00+0530,62.95,64,61.25,62.95,178661,0
2023-02-27T00:00:00+0530,63,63.2,62.2,62.7,120305,0
2023-02-28T00:00:00+0530,63.05,63.05,60.85,62.45,217593,0
2023-03-01T00:00:00+0530,62.8,63.2,62.15,62.8,115075,0
2023-03-02T00:00:00+0530,63.15,63.4,62.05,62.4,111909,0
2023-03-03T00:00:00+0530,62.75,64.4,62.7,63.8,190053,0
2023-03-06T00:00:00+0530,64,65.35,63.8,64,133130,0
2023-03-08T00:00:00+0530,64.3,64.3,62.65,63.7,186971,0
2023-03-09T00:00:00+0530,64.2,67.7,64.05,67,759873,0
2023-03-10T00:00:00+0530,66.05,66.9,65.25,65.95,188474,0
2023-03-13T00:00:00+0530,65.05,66.05,63,63.3,286671,0
2023-03-14T00:00:00+0530,63.5,64,61.85,63,205398,0
2023-03-15T00:00:00+0530,63.3,64.15,60.8,61.15,222393,0
2023-03-16T00:00:00+0530,61.2,61.8,59.95,61.35,184316,0
2023-03-17T00:00:00+0530,61.35,62.5,61,61.3,153975,0
2023-03-20T00:00:00+0530,61.05,61.75,59.3,59.75,308892,0
2023-03-21T00:00:00+0530,60.05,60.9,59.75,60.1,183030,0
2023-03-22T00:00:00+0530,60.2,61,60,60.15,157896,0
2023-03-23T00:00:00+0530,60.45,60.7,59.9,60,197327,0
2023-03-24T00:00:00+0530,60,60.5,57.5,57.85,192134,0
2023-03-27T00:00:00+0530,57.95,58.5,56,56.5,435322,0
2023-03-28T00:00:00+0530,57,57.2,55,55.2,453378,0
2023-03-29T00:00:00+0530,55.45,57.2,54.95,55.75,456936,0
2023-03-31T00:00:00+0530,56.05,58.5,56,57.7,575051,0
2023-04-03T00:00:00+0530,58.95,61.8,58.6,61.1,482454,0
2023-04-05T00:00:00+0530,61.75,61.9,60.8,61,202395,0
2023-04-06T00:00:00+0530,61.35,63.3,60.8,62.7,196234,0
2023-04-10T00:00:00+0530,63.05,66.7,62.6,66.3,526879,0
2023-04-11T00:00:00+0530,66.5,66.9,65.65,66.5,178550,0
2023-04-12T00:00:00+0530,66.7,68.75,66.05,67.3,320408,0
2023-04-13T00:00:00+0530,67.7,67.7,64.5,65.45,226910,0
