date,open,high,low,close,volume,empty
2024-08-06T00:00:00+0530,130,136.5,130,136.5,840000,0
2024-08-07T00:00:00+0530,130,137.9,129.7,129.7,470400,0
2024-08-08T00:00:00+0530,125.25,132,123.25,128,117600,0
2024-08-09T00:00:00+0530,129,130,125,129,75600,0
2024-08-12T00:00:00+0530,124.25,128,123.6,127.25,118800,0
2024-08-13T00:00:00+0530,125,126.9,122.1,122.8,50400,0
2024-08-14T00:00:00+0530,122.8,122.8,116.7,116.75,56400,0
2024-08-16T00:00:00+0530,116.75,122.55,116.75,122.55,32400,0
2024-08-19T00:00:00+0530,128.65,128.65,128.65,128.65,52800,0
2024-08-20T00:00:00+0530,135.05,135.05,135.05,135.05,124800,0
2024-08-21T00:00:00+0530,137.75,144.65,130,130.7,199200,0
2024-08-22T00:00:00+0530,129,130,120,127.3,43200,0
2024-08-23T00:00:00+0530,128.55,128.55,125,126.3,13200,0
2024-08-26T00:00:00+0530,121.95,126.3,121.2,123.2,18000,0
2024-08-27T00:00:00+0530,120,133,119.4,128.5,139200,0
2024-08-28T00:00:00+0530,127.3,131.85,127,128,85200,0
2024-08-29T00:00:00+0530,124.1,129,124,126.2,67200,0
2024-08-30T00:00:00+0530,126.2,126.2,121,121.6,72000,0
2024-09-02T00:00:00+0530,117.05,121.9,117,119.95,72000,0
2024-09-03T00:00:00+0530,116.8,118,116.45,117,67200,0
2024-09-04T00:00:00+0530,114.5,114.5,111.8,113,34800,0
2024-09-05T00:00:00+0530,113.95,114,112.05,112.05,28800,0
2024-09-06T00:00:00+0530,112.05,112.05,108,110.15,46800,0
2024-09-09T00:00:00+0530,110.15,110.2,105.05,105.45,34800,0
2024-09-10T00:00:00+0530,107.6,113,107.6,111.2,120000,0
2024-09-11T00:00:00+0530,109,111.95,109,111.95,3600,0
2024-09-12T00:00:00+0530,110,110,105.5,106.35,10800,0
2024-09-13T00:00:00+0530,105,108,100,103.3,49200,0
2024-09-16T00:00:00+0530,106.75,107,105,107,12000,0
2024-09-17T00:00:00+0530,104.6,104.6,104.3,104.3,3600,0
2024-09-18T00:00:00+0530,103.3,107,101,102,27600,0
2024-09-19T00:00:00+0530,104.4,104.4,102,102,3600,0
2024-09-20T00:00:00+0530,104,104.5,100,101.1,14400,0
2024-09-23T00:00:00+0530,103.5,104.8,102,102.6,13200,0
2024-09-24T00:00:00+0530,105,106.9,104,104,10800,0
2024-09-25T00:00:00+0530,104,104,102.6,102.7,8400,0
2024-09-26T00:00:00+0530,100.6,101.8,100.6,101.05,7200,0
2024-09-27T00:00:00+0530,100.4,100.4,100,100,2400,0
2024-09-30T00:00:00+0530,100,102.75,100,100,3600,0
2024-10-01T00:00:00+0530,103,120,103,120,200400,0
2024-10-03T00:00:00+0530,125.1,133.55,121.15,121.2,240000,0
2024-10-04T00:00:00+0530,121.2,124.85,113.6,123.15,88800,0
2024-10-07T00:00:00+0530,124,124,118.9,122,63600,0
